"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","dayIdentified","coordinatePrecision","geoFlag","class","typeStatus","eventTime","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","894804","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophora","crispa","Lychnophora crispa","Mattf.","B. Maguire","44616","1959","12","18","South America","Brazil","Minas Gerais","Serra Rola Moça, 8 km. from Belo Horizonte","1311","1311","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=965969' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894804","NY00894804_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-09 11:10:46-03","UFBA","ALCB","033742","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","crispa","Lychnophora crispa","Mattf.","Roque, N; Harley, RM; Bautista, HP; Hind, DJN","PCD&nf;4427","1996","11","18","Southern America","Brasil","Bahia","Chapada Diamantina, Pé da Serra Marsalina.","1015","1015",NA,"1,80 m, muito ramificado no ápice, ramos jovens com indumento castanho-amarelado. Folhas jovens com indumento cinza, tornando-se glabros até verde-escuro; face abaxial amarelo-acinzentado-verde. Filárias verde-claro com ápice roxo; flores roxas, torn",NA,NA,"Loeuille, B","2009","07","Rio de Contas","-41.841111","-13.579167","-41.841111","-13.579167",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-10-09 11:10:46-03","UFBA","ALCB","112108","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","crispa","Lychnophora crispa","Mattf.","Roque, N; Alunos de Sistemática Evolução de Espermatófitas","4081","2014","01","25","Southern America","Brasil","Bahia","Chapada Diamantina, Trilha Ponte do Rio Cumbuca para o Córrego das Perdizes.","902","902",NA,"ca. 3 m alt. Folhas discolores, glaucas na face abaxial. Capítulos passados, brácteas involucrais castanhas, frutos em dispersão.",NA,NA,"Roque, N","2014","02","Mucugê","-41.349167","-12.988889","-41.349167","-12.988889",NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:10:46-03","UFBA","ALCB","89009","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","crispa","Lychnophora crispa","Mattf.","Roque, N; Acevedo-Rodríguez, P; Funk, V; Keeley, S","2117","2009","07","04","Southern America","Brasil","Bahia","Chapada Diamantina, ca. 3km do Cemitério em direção à Mucugê","987","987",NA,"ca. 2,5m alt.; folhas discolores. Brácteas involucrais verdes, flores lilases passando a alvas.",NA,NA,"Ogasawara, HA","2014","05","Mucugê","-41.385833","-13.000833","-41.385833","-13.000833","15",NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:10:46-03","UFBA","ALCB","97476","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","crispa","Lychnophora crispa","Mattf.","Roque, N","2926","2010","10","06","Southern America","Brasil","Bahia","Chapada Diamantina, Trilha para o rio Tiburtino",NA,NA,NA,"1,5m de altura. Folhas discolores. Brácteas involucrais verde-castanhas. Capítulos em dispersão.",NA,NA,"Ogasawara, HA","2014","11","Mucugê","-41.3708000183105","-13.0052995681763",NA,NA,NA,"52493","auto",NA,NA,NA,NA,NA
"6","2019-10-09 11:10:46-03","UFBA","ALCB","98994","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","crispa","Lychnophora crispa","Mattf.","Roque, N; Alves, M","2979","2011","04","29","Southern America","Brasil","Bahia","Chapada Diamantina, campo rupestre da margem oposta à entrada do Hotel Alpina",NA,NA,NA,"ca. de 1m de alt. Folhas discolores, capítulos dispersando. Brácteas involucrais verdes.",NA,NA,"Ogasawara, HA","2011","05","Mucugê","-41.3708000183105","-13.0052995681763",NA,NA,NA,"52493","auto",NA,NA,NA,NA,NA
"7","2021-03-01 16:24:32-03","UNICAMP","UEC","173668","S","Plantae","Magnoliopsida",NA,"Asteraceae","Lychnophora","crispa","Lychnophora crispa","Mattf.","Romero, R; Almeda, F; Martins, AB; Belinello, R","5795","1999","05","16",NA,"Brazil","Bahia","Estrada Andaraí-Mucugê, ca. 14 km do trevo de Mucugê. Beira da estrada.","1200","1200",NA,"Árvore, ca. 2 m. Corola e ramos do estilete lavanda.; Campo rupestre.","UEC120837","UEC120837","Semir, J; Monge, M","2013","04","Mucugê","-41.3165","-12.9615","-41.3165","-12.9615",NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-08-20 10:05:56-03","UNICAMP","UEC","169506","S","Plantae","Magnoliopsida",NA,"Asteraceae","Lychnophora","crispa","Lychnophora crispa","Mattf.","Verola, CF; Costa, IR","452007","2007","04","20",NA,"Brazil","Bahia","Estrada para Mucugê - Andaraí, ca. 11 km, em frente ao resort.","1102","1102",NA,NA,"UEC120838","UEC120838","Semir, J","2007",NA,"Mucugê","-41.477889","-12.456028","-41.477889","-12.456028",NA,NA,NA,NA,NA,NA,NA,NA
"9","2014-10-14 15:56:23-03","BS","M","M-0029458","S","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophora","crispa","Lychnophora crispa","Mattf.","Luetzelburg, P. von",NA,"1913","06","30",NA,"Brasil",NA,"Carrasco - Gebiet, Bahia, Minas de Contas Carrasco.",NA,NA,NA,NA,"M0029458",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida","HOLOTYPE","21:00",NA,NA
"10","2020-12-11 11:33:10-03","UFMG","BHCB","181547","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","crispa","Lychnophora crispa","Mattf.","Tameirão Neto, E; Mansur, T","5347","2013","07","17","Southern America","Brasil","Minas Gerais","Serra do Gandarela",NA,NA,NA,"Subarbustivo; 0,5m.; Campo rupestre sobre canga.","BHCB038098",NA,NA,NA,NA,"Santa Bárbara","-43.688067","-20.079186","-43.688067","-20.079186",NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-01-28 15:06:00-03","MO","MOBOT","101245927","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lychnophora","crispa","Lychnophora crispa","Mattf.","Ph. von Lützelburg","Lützelburg 59","1913","7",NA,"South America","Brazil","Bahia","Carrascogebiet, minas de Contas",NA,NA,NA,NA,NA,NA,"fide Loeuille et al.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holotype",NA,"1",NA
"12","2009-08-28 05:32:00-03","MO","MOBOT","3355530","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lychnophora","crispa","Lychnophora crispa","Mattf.","Robert M. King|Luther E. Bishop","King 8618","1981","1","24","South America","Brazil","Bahia","5 Km NW from the town of Rio das Contas toward Pico das Almas.","853.44000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-08-02 10:21:08-03","CPATSA","HTSA","5964","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lychnophora","crispa","Lychnophora crispa","Mattf.","Martins, C.T.V.D.","312","2013","11","30",NA,"Brasil","Bahia","Riacho Sertãozinho","981","981",NA,"Arbusto ca. 2m alt. Folhas discolores. Flores brancas a lilás.; Mata ciliar.",NA,NA,NA,NA,NA,"Mucugê","-41.658056","-13.006667","-41.658056","-13.006667",NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-09-12 05:00:02-03","US","US","3118553","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Lychnophora","crispa","Lychnophora crispa","Mattf.","G. Hatschbach, M. M. Hatschbach & O. S. Ribas","52059","1988","5","16","South America - Neotropics","Brazil","Minas Gerais","Grão Mogol, arredores",NA,NA,NA,NA,"US01636132","US01636132_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,"1",NA
"15","2020-09-12 05:00:02-03","US","US","3633821","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Lychnophora","crispa","Lychnophora crispa","Mattf.","N. Roque & M. Alves","2979","2011","4","29","South America - Neotropics","Brazil","Bahia","Chapada Diamantina, Mucugê, campo rupestre da margem oposta à entrada do Hotel Alpina",NA,NA,NA,NA,"US01636130","US01636130_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,"1",NA
"16","2020-09-12 05:00:02-03","US","US","2922475","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Lychnophora","crispa","Lychnophora crispa","Mattf.","R. M. King & L. E. Bishop","8618","1981","1","24","South America - Neotropics","Brazil","Bahia","5 km NW from the town of Rio das Contas toward Pico das Almas","853",NA,NA,NA,"US01636133","US01636133_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,"1",NA
"17","2020-09-12 05:00:02-03","US","US","3491767","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Lychnophora","crispa","Lychnophora crispa","Mattf.","R. Romero, J. N. Nakajima, R. B. Oliveira, P. Oliveira & I. Schiavini","2380","1995","7","15","South America - Neotropics","Brazil","Minas Gerais","Morro próximo à sede administrativa, PARNA Serra da Canastra, São Roque de Minas",NA,NA,NA,NA,"US01636131","US01636131_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,"1",NA
"18","2019-10-07 09:11:39-03","UEFS","HUEFS","142757","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Lychnophora","crispa","Lychnophora crispa","Mattf.","Ferreira, S.C.","259","2007","05","19",NA,"Brasil","Bahia","Parque Estadual de Mucugê, trilha das Andorinhas.",NA,NA,NA,NA,"HUEFS0142757","HUEFS0142757","H.A.Ogasawara","2011","11","Mucugê","-41.116667","-11.55","41W7'0''","11S33'0''",NA,NA,NA,"Asteranae",NA,NA,NA,NA
