"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","county","coordinatePrecision","geoFlag","yearIdentified","class","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","fieldNumber","individualCount","typeStatus","relatedCatalogItem","infraspecificEpithet"
"1","2021-03-15 16:37:00-03","NY","NYBG","884992","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","rutilans","Begonia rutilans","(Klotzsch) Van Houtte ex A.DC.","S. F. Smith","P. E. Gibbs","3244","1976","10","26","South America","Brazil","São Paulo","Ca. 50 km S de Itapetininga, estrada de Registro. Reserva Florestal de Carlos Botelho.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=970308' target='other'> <mi>dwc_moreinfo</mi></a>","NY00884992","NY00884992_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01195985","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","rutilans","Begonia rutilans","(Klotzsch) Van Houtte ex A.DC.","S. F. Smith","A. M. Amorim","5844","2006","04","22","South America","Brazil","Minas Gerais","Santa Maria do Salto, divisa entre Bahia e Minas Gerais, Fazenda Duas Barras, Reserva do Alto Cariri. Trilha da caixa d'agua.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1320481' target='other'> <mi>dwc_moreinfo</mi></a>","NY01195985","NY01195985_01","-40.0544","-16.4064","950","950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","884991","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","rutilans","Begonia rutilans","(Klotzsch) Van Houtte ex A.DC.","S. F. Smith","D. M. Vital","s.n.","1977","03","22","South America","Brazil","São Paulo","Reserva Florestal Carlos Botelho, ca. 55 km S de Itapetininga.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=970282' target='other'> <mi>dwc_moreinfo</mi></a>","NY00884991","NY00884991_01","-47.989753","-24.144027",NA,NA,"Sao Miguel Arcanjo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-06-29 11:29:25-03","UFRJ","RFA","4224","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","valdensium","Begonia valdensium","A.DC.","E. Pereira","P. Occhioni; Liene; Sucre; Duarte & E.Pereira (n° 3814)","1541","1958","08","11",NA,"Brasil","Rio de Janeiro","Estrada do Sumaré.",NA,"Flores alvas.","RFA24968",NA,"-43.2075004577637","-22.9027996063232",NA,NA,"Rio de Janeiro","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-13 09:19:07-03","UFRJ","RFA","22710","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","valdensium","Begonia valdensium","A.DC.","L.B. Smith","F. Segadas-Vianna","88","1943","06","00",NA,"Brasil","Rio de Janeiro",NA,NA,NA,"RFA18682",NA,"-44.5633010864258","-22.4960994720459",NA,NA,"Itatiaia","19648","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-13 09:19:07-03","UFRJ","RFA","5443","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","valdensium","Begonia valdensium","A.DC.","L.B. Smith","P. Occhioni","738","1946","10","29",NA,"Brasil","Rio de Janeiro","Alto da Serra.",NA,"Arbusto, flores alvas.","RFA25633",NA,"-43.1786003112793","-22.5049991607666",NA,NA,"Petrópolis","36524","auto","1975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-13 09:19:07-03","UFRJ","RFA","4658","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","valdensium","Begonia valdensium","A.DC.","L.B. Smith","P. Occhioni","130","1945","04","25",NA,"Brasil","Rio de Janeiro","Estrada Redentor.",NA,NA,"RFA25209",NA,"-43.2075004577637","-22.9027996063232",NA,NA,"Rio de Janeiro","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-08 17:37:19-03","EAO","IAN","81429","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Begoniaceae","Begonia","rutilans","Begonia rutilans","Hort.Van-Houtte ex A.DC.",NA,"Berol, H","s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN081429",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-08 17:37:19-03","EAO","IAN","612","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Begoniaceae","Begonia","valdensium","Begonia valdensium","A.DC.",NA,"Godet","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,"IAN000612","IAN000612_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:35:24-03","EAO","IAN","72533","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Begoniaceae","Begonia","valdensium","Begonia valdensium","A.DC.","Brade, AK","Pereira, EC","281","1942","12","17","Southern America","Brasil","Minas Gerais","Corcovado Sumaré.",NA,NA,"IAN072533",NA,NA,NA,NA,NA,NA,NA,NA,"1946",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-02-08 08:59:06-03","NBC","NL-BOTANY","U.1144593","PreservedSpecimen","Plantae",NA,"Cucurbitales","Begoniaceae","Begonia","rutilans","Begonia rutilans","(Klotzsch) A.DC.",NA,"Lindeman JC; Haas JH de",NA,"1967","02","23","Southern America","Brazil",NA,"Brasiliae Australis, Est. Paraná, forest on atlantic slop of Serra do Mar above Bela Vista an old road Curitiba-Morretes.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1144593 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1144593","NL-U1144593",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-02-08 08:59:11-03","NBC","NL-BOTANY","L.2481280","PreservedSpecimen","Plantae",NA,"Cucurbitales","Begoniaceae","Begonia","valdensium","Begonia valdensium","A.DC.",NA,"Brade AC",NA,"1949","05","15","Southern America","Brazil",NA,"Brasil, Estado do Espirito Santo, Municipio de Castelo - Forno Grande.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2481280 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2481280","NL-L2481280",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-11-04 11:03:02-03","ESALQ","ESA","80060","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Begoniaceae","Begonia","valdensium","Begonia valdensium","A.DC.","Savassi-Coutinho, A.P.","Farias, R.; Rolim, S.G.; Uliana, V.L.C.R.; Righi, C.A.; Scaramuzza, C.A.M.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Franco, G.C.; Forster, W.; Ivanauskas, N.M.",NA,"2002","04","21",NA,"Brasil","São Paulo","Parque Estadual de Carlos Botelho, Núcleo Sete Barras Estrada Estadual São Miguel Arcanjo - Sete Barras (SP139). Floresta Ombrófila Densa Montana ao longo e no entorno do Rio Bonito. Borda de Floresta.",NA,"Erva de 50 cm. Flores femininas branco-avermelhadas com estigma amarelo. Fruto branco-esverdeado.","ESA080060",NA,"-475.939","-240.829",NA,NA,"Sete Barras",NA,NA,"2002",NA,"-475,939","-240,829",NA,NA,NA,NA,NA,NA,NA
