"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","occurrenceRemarks","imagecode"
"1","2019-08-27 13:28:39-03","IAP","PACA-AGP","102239","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Caryophyllales","Cactaceae","Parodia","oxycostata","Parodia oxycostata","(Buining & Brederoo) Hofacker","M. Machado","934","2006","11","22","Brasil","RS","Jari","Estrada Toropi - Jari.","-54.24175","-29.376361","54°14'30,30W","29°22'34,90S","401","401","PACA102239",NA,NA
"2","2019-08-27 13:28:39-03","IAP","PACA-AGP","102250","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Caryophyllales","Cactaceae","Parodia","oxycostata","Parodia oxycostata","(Buining & Brederoo) Hofacker","M. Machado","930","2006","11","21","Brasil","RS","Nova Esperança do Sul","Na entrada de Santiago, rodovia BR 287.","-54.76375","-29.392806","54°45'49,50W","29°23'34,10S","221","221","PACA102250",NA,NA
"3","2019-08-27 13:28:39-03","IAP","PACA-AGP","102271","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Caryophyllales","Cactaceae","Parodia","oxycostata","Parodia oxycostata","(Buining & Brederoo) Hofacker","M. Machado","877","2006","11","11","Brasil","RS","Lavras do Sul","Na entrada de Lavras do Sul, caminho para Três Passos.","-53.773139","-30.856472","53°46'23,30W","30°51'23,30S","258","258","PACA102271",NA,NA
"4","2019-08-27 13:28:39-03","IAP","PACA-AGP","102274","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Caryophyllales","Cactaceae","Parodia","oxycostata","Parodia oxycostata","(Buining & Brederoo) Hofacker","M. Machado","987","2006","11","22","Brasil","RS","Jari","Estrada de Jari para Turupi.","-54.3575","-29.377778","54°21'27,00W","29°22'40,00S","401","401","PACA102274",NA,NA
"5","2019-08-27 13:28:39-03","IAP","PACA-AGP","102279","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Caryophyllales","Cactaceae","Parodia","oxycostata","Parodia oxycostata","(Buining & Brederoo) Hofacker","M. Machado","890","2006","11","13","Brasil","RS","São Sepé","Cerca de 13 Km ao norte de Vila Nova do Sul.","-53.8235","-30.248333","53°49'24,60W","30°14'54,00S","251","251","PACA102279",NA,NA
"6","2019-08-27 13:28:39-03","IAP","PACA-AGP","102291","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Caryophyllales","Cactaceae","Parodia","oxycostata","Parodia oxycostata","(Buining & Brederoo) Hofacker","M. Machado","830","2006","10","21","Brasil","RS","São Lourenço do Sul","Distrito de São Judas Tadeu do Sítio, 5 Km ao norte da entrada de São Lourenço do Sul.","-52.056111","-31.250722","52°03'22,00W","31°15'02,60S","175","175","PACA102291",NA,NA
"7","2019-08-27 13:28:39-03","IAP","PACA-AGP","102293","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Caryophyllales","Cactaceae","Parodia","oxycostata","Parodia oxycostata","(Buining & Brederoo) Hofacker","M. Machado","832","2006","10","21","Brasil","RS","São Lourenço do Sul","Distrito de São Judas Tadeu do Sítio.","-52.050444","-31.263861","52°03'01,60W","31°15'49,90S","186","186","PACA102293",NA,NA
"8","2019-10-07 09:18:43-03","UEFS","HUEFS","135126","PreservedSpecimen","Plantae","Angiospermae","Caryophyllanae","Caryophyllales","Cactaceae","Parodia","oxycostata","Parodia oxycostata","(Buining & Brederoo) Hofacker","Machado, M.","830","2006","10","21","Brasil","Rio Grande do Sul","São Lourenço","district of São Judas Tadeu do Sítio. 5Km north of entrance to São Lourenço do Sul on the BR 116, take a turn to the left on unpaved road. After 4Km turn to the left junction. After 2.5Km is the location, within farm Fazenda Nossa Senhora Aparecida.","-52.056111","-31.25","52W3'22''","31S15'0''","175","175","HUEFS0135126","Granitic rock.","HUEFS0135126"
"9","2019-10-07 09:18:43-03","UEFS","HUEFS","135128","PreservedSpecimen","Plantae","Angiospermae","Caryophyllanae","Caryophyllales","Cactaceae","Parodia","oxycostata","Parodia oxycostata","(Buining & Brederoo) Hofacker","Machado, M.","832","2006","10","21","Brasil","Rio Grande do Sul","São Lourenço","district of São Judas Tadeu do Sítio. 5Km north of entrance to São Lourenço do Sul on the BR 116, take a turn to the left on unpaved road. After 4Km turn to the left junction. After 2.5Km is the location, within farm Fazenda Nossa Senhora Aparecida.","-52.050278","-31.263889","52W3'1''","31S15'50''","186","186","HUEFS0135128","Granitic rock.","HUEFS0135128"
"10","2019-10-07 09:18:43-03","UEFS","HUEFS","104827","PreservedSpecimen","Plantae","Angiospermae","Caryophyllanae","Caryophyllales","Cactaceae","Parodia","oxycostata","Parodia oxycostata","(Buining & Brederoo) Hofacker","Machado, M.","500","2005","11","02","Brasil","Rio Grande do Sul","Barão","sudoeste de Garibaldi, estrada para Carlos Barbosa, daí estrada para Barão, 5.5 km após Barão entrada à direita para Poço de Antas, ca. 6 km nesta estrada (ca. 1 km após passar a vila de Campestre Alto), afloramentos planos de rocha à direita da estrada, circundado por vegetação arbustiva.","-51.541111","-29.429167","51W32'28''","29S25'45''","470","470","HUEFS0104827",NA,"HUEFS0104827"
