"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","dayIdentified","typeStatus","individualCount","class","fieldNumber","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","1747929","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","mendoncaei","Inga mendoncaei","Harms","F. C. P. Garcia","R. R. Guedes","2535","1995","03","27","South America","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia. Três Picos.","-44.5667","-22.25","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2015574' target='other'> <mi>dwc_moreinfo</mi></a>","NY01747929","NY01747929_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-09 11:16:16-03","UFBA","ALCB","62115","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Inga","mendoncaei","Inga mendoncaei","Harms","Queiroz, LP de","Queiroz, LP de","4740","1997","02","09","Southern America","Brasil","Bahia","Vera Cruz","Ilha de Itaparica, praia de Coroa, ramal que liga a BA 001 a praia de Coroa.","-38.6086006164551","-12.9603004455566",NA,NA,NA,"copada, ca. 8 m alt. Folhas com nectários verde-amarelados. Frutos verde-amarelados.; degradada","ALCB028552","ALCB028552","1997","08","27816","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:30:41-03","UNICAMP","UEC","173608","S","Plantae","Magnoliopsida",NA,"Fabaceae","Inga","mendoncaei","Inga mendoncaei","Harms","Silva, ED","Silva, ED","951","2007","09","09",NA,"Brazil","São Paulo","Ubatuba","Parque Estadual da Serra do Mar, Fazenda Capricórnio, trilha do picadão.","-45.075278","-23.375556","707","707",NA,"Árvore 12 m, frutos imaturos.; Floresta Ombrófila Densa Montana.","UEC089709","UEC089709","2008","02",NA,NA,"-45.075278","-23.375556",NA,NA,NA,NA,NA,NA
"4","2019-08-20 10:13:48-03","UNICAMP","UEC","108860","S","Plantae","Magnoliopsida",NA,"Fabaceae","Inga","mendoncaei","Inga mendoncaei","Harms","Garcia, FCP","Garcia, FCP; Lima, HC","751","1995","03","18",NA,"Brazil","Rio de Janeiro","Nova Friburgo","Macaé de Cima, Mata Atlântica de altitude.","-42.5311012268066","-22.2819004058838",NA,NA,NA,"Arvoreta ca. 5 m. de altura, rebroto de uma árvore cortada. Flores brancas, aroma doce.",NA,NA,"1995","03","33190","auto",NA,NA,"18",NA,NA,NA,NA,NA
"5","2019-08-20 10:13:48-03","UNICAMP","UEC","107968","S","Plantae","Magnoliopsida",NA,"Fabaceae","Inga","mendoncaei","Inga mendoncaei","Harms","Pennington, TD","Martinelli, G","2439","1977","06","08",NA,"Brazil","Rio de Janeiro","Nova Friburgo","Morro do Nova Caledônia","-42.5311012268066","-22.2819004058838","1400","1600",NA,"Árvore com cerca de 8 metros de altura; heliófila; ramos com tomento ferrugínea; flores de cor alva.",NA,NA,"1996",NA,"33190","auto",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:26:45-03","MBM","MBM","425463","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","mendoncaei","Inga mendoncaei","Harms","Lima, H.C.","Martinelli, G.; Maurenza, D.; Negrão, R.; Moraes, M.; Maurenza, D.; Negrão, R.; Moraes, M.","19359","2016","08","10","Southern America","Brazil","Rio de Janeiro","Nova Friburgo","Área de Proteção Ambiental de Macaé de Cima, Nascente do Rio das Flores, acima do Sítio Sophronitis.","-42.521944","-22.436111","1000","1000",NA,"Àrvore, 12 m , frequenete na margem de rio; folhas verdes, discolores; flores com cálice verde, estames alvos; botões florais de cor verde.; Mata Atlântica de Altitude.","MBM425463",NA,"2016","12",NA,NA,"-42.521944","-22.436111",NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:26:45-03","MBM","MBM","304212","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","mendoncaei","Inga mendoncaei","Harms",NA,"Lima, H.C. de; et al.; et al.","3682","1989","09","12","Southern America","Brazil","Rio de Janeiro","Nova Friburgo","Reserva Ecológica Municipal de Macaé de Cima","-42.5311012268066","-22.2819004058838",NA,NA,NA,NA,"MBM304212","MBM304212",NA,NA,"33190","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-11 11:36:04-03","UFMG","BHCB","24413","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Inga","mendoncaei","Inga mendoncaei","Harms",NA,"Lima, HC de","3682","1989","09","12","Southern America","Brasil","Rio de Janeiro","Nova Friburgo","Reserva Ecológica Municipal de Macaé de Cima, Estrada para Sitio Sophronites, próximo à segunda ponte, margens do Rio Macaé.","-42.05","-22","1000","1000",NA,"Árvore pequena, flores perfumadas, cálice verde-fuvescente, sementes com sarcosteca tênue, alva e adocicada.",NA,NA,NA,NA,NA,NA,"-42.05","-22",NA,NA,NA,NA,NA,NA
"9","2020-12-11 11:36:04-03","UFMG","BHCB","24414","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Inga","mendoncaei","Inga mendoncaei","Harms",NA,"Lima, HC de","3427","1988","09","26","Southern America","Brasil","Rio de Janeiro","Nova Friburgo","Reserva Ecológica Municipal de Macaé de Cima, Nascente do Rio das Flores,Sitio Sophronites.","-42.05","-22","1100","1100",NA,"Árvore, flores com cálice e corola verde-fuvescente, estames alvos. Frutos jovens esverdeados.Frequente na mata de encosta.",NA,NA,NA,NA,NA,NA,"-42.05","-22",NA,NA,NA,NA,NA,NA
"10","2021-03-19 17:58:27-03","UFMG","BHCB","201792","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Inga","mendoncaei","Inga mendoncaei","Harms",NA,"Guedes, R; et al.","2535","1995","03","27","Southern America","Brasil","Rio de Janeiro","Itatiaia","PARNA do Itatiaia, Três Picos","-44.566667","-25.25","1200","1200",NA,"Árvore com ca. 15m, ramos ferrugíneos, folhas verdes breve discolores, inflorescência com pelos ferrugíneos, cálice verde, corola e androceu alvos. Flores visitadas com grande frequênciia por diferentes espécies de borboletas. Flores","BHCB201792",NA,"2002",NA,NA,NA,"-44.566667","-25.25",NA,NA,NA,NA,NA,NA
