"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","individualCount","recordNumber","continentOcean","preparationType","barcode","imagecode","infraspecificEpithet","class","fieldNumber","typeStatus","relatedCatalogItem","sex"
"1","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","422","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","bituminosa","Vriesea bituminosa","Wawra.","Elton. C. M. Leme","2009","05","Elton. M. C. Leme;","1997","04","28","Brasil","Rio de Janeiro","Nova Friburgo","Pico da Caledônia","-42.5311012268066","-22.2819004058838","33190","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","1452","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","bituminosa","Vriesea bituminosa","Wawra.","Carlos A. Ferreira Jr.","2010","04","Carlos Alberto F. Jr.; Rainna Souza Gomes e Allysson Rezende","2010","04","01","Brasil","Minas Gerais","Caeté","Serra da Piedade, área lateral (Leste) da última curva anterior ao topo da Serra","-43.6697006225586","-19.8799991607666","22051","254","auto","01","43°40.319'","19°49.293'","1667","1667","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","1111","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","cf. bituminosa","Vriesea cf. bituminosa","Wawra.",NA,"2008","04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"254",NA,"28",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","1112","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","cf. bituminosa","Vriesea cf. bituminosa","Wawra.",NA,"2008","04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"254",NA,"28",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","1309","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","cf. bituminosa","Vriesea cf. bituminosa","Wawra.","Carlos A. Ferreira Jr.","2009","05","Carlos Alberto F. Jr.;","2009","05","24","Brasil","Minas Gerais","Caeté","Serra da Piedade - Caminho do milagre","-43.6697006225586","-19.8799991607666","22051","254","auto","25",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","1151","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","cf. bituminosa","Vriesea cf. bituminosa","Wawra.",NA,"2008","04",NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,"254",NA,"28",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","486361","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","bituminosa","Vriesea bituminosa","Wawra","H. E. Luther",NA,NA,"R. C. Forzza","1999","04","12","Brazil","Bahia","Rio de Contas","Pico do Itobira","-41.8114","-13.5792",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=288149' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,"1201","South America","sheet","NY00486361","NY00486361_01",NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","400428","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","bituminosa","Vriesea bituminosa","Wawra","L. B. Smith",NA,NA,"F. C. Hoehne","1930","11","05","Brazil","São Paulo","Sao Paulo","Parque do Estado S. Paulo","-46.621883","-23.654505",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=288148' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,"26677","South America","sheet","NY00400428","NY00400428_01",NA,NA,NA,NA,NA,NA
"9","2020-01-28 13:11:07-03","MCN-PUC-MINAS","HPUC-MG","ANG2034","S","Plantae",NA,NA,"Bromeliaceae","Vriesea","bituminosa","Vriesea bituminosa",NA,NA,NA,NA,"M.F.Vasconcelos","2013","03","30","Brasil","Minas Gerais","Camanducaia","Spiller, Monte Verde","-46.016667","-22.866667",NA,"Exsicata A e B.",NA,NA,"46º01'W","22º52'S","1.6","1.6",NA,"13-146",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-12-12 15:31:38-03","UFABC","HUFABC","000687","PreservedSpecimen","Plantae","Angiospermas",NA,"Bromeliaceae","Vriesea","bituminosa","Vriesea bituminosa","Wawra","Ivanauskas, N",NA,NA,"Amaral, BC; Teixeira-Costa, L","2014","08",NA,"Brasil","São Paulo","São Paulo","Horto Oswaldo Cruz, Horto botânico dentro da área do Instituto Butantan","-46.717222","-23.566667",NA,NA,NA,NA,"-46.717222","-23.566667",NA,NA,NA,"65",NA,NA,"HUFABC000687","HUFABC000687",NA,NA,NA,NA,NA,NA
