"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","typeStatus","relatedCatalogItem","individualCount","coordinatePrecision","geoFlag","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","687350","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Hoehnephytum","almasense","Hoehnephytum almasense","D.J.N.Hind","D. J. N. Hind","R. M. Harley","26338","1988","11","10","South America","Brazil","Bahia","Rio de Contas","Pico das Almas. Vertente leste. Subida do pico do campo norte do Queiroz.","-41.97","-13.53","1600","1600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=874295' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687350","NY00687350_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-09 11:10:31-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Hoehnephytum","almasense","Hoehnephytum almasense","D.J.N.Hind","Hind, DJN","Harley, RM; Hind, DJN; Bautista, HP","PCD&nf;4279","1996","11","15","Southern America","Brasil","Bahia","Rio de Contas","Chapada Diamantina, Sopé do Pico do Itobira","-42","-13",NA,NA,NA,NA,NA,NA,"1996","11","-42","-13",NA,NA,NA,NA,NA,NA,NA
"3","2019-10-09 11:10:31-03","UFBA","ALCB","114650","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Hoehnephytum","almasense","Hoehnephytum almasense","D.J.N.Hind","Alves, M","Guedes, ML; Alunos de Botânica BIOC05","21763a","2014","06","14","Southern America","Brasil","Bahia","Piatã","Caminho para Inúbia","-41.946111","-13.096944","1245","1245",NA,"Folhas cartáceas, levemente discolores. Inflorescência capítulo com flores de pappus cerdosos, corela creme.",NA,NA,"2014","02","-41.946111","-13.096944",NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:10:31-03","UFBA","ALCB","033497","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Hoehnephytum","almasense","Hoehnephytum almasense","D.J.N.Hind","Hind, DJN","Bautista, HP; Hind, DJN","PCD&nf;4465","1996","11","18","Southern America","Brasil","Bahia","Rio de Contas","Chapada Diamantina, Serra Marsalina (Serra da antena de TV)","-41.831944","-13.5925","1020","1020",NA,"Até 80 cm alt., com poucos caules, totalmente enfolhados. Folhas concolores, verde-claro, com cera, margens vermelhas. Filárias amarelo-esverdeadas. Flores creme. Anteras castanhas. Ramos do estilete amarelo-alaranjados. Raro.; Solo arenoso e litólic",NA,NA,"1996","11","-41.831944","-13.5925",NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:10:31-03","UFBA","ALCB","033501","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Hoehnephytum","almasense","Hoehnephytum almasense","D.J.N.Hind","Hind, DJN","Harley, RM; Hind, DJN; Bautista, HP","PCD&nf;4279","1996","11","15","Southern America","Brasil","Bahia","Rio de Contas","Chapada Diamantina, Sopé do Pico do Itabira","-41.888611","-13.3675","1540","1540",NA,"Ca. 70 cm alt. Caule e ramos amarelo-esverdeados, estriados. Folhas semi-crassas, verde-acinzentadas, concolores com reticulado visível. Pecíolo com nuances de vermelho. Filárias amarelas. Flores com corola alva, anteras castanho-amarelo-alaranjadas,",NA,NA,"1996","11","-41.888611","-13.3675",NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:10:31-03","UFBA","ALCB","033819","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Hoehnephytum","almasense","Hoehnephytum almasense","D.J.N.Hind","Hind, DJN","Hind, DJN; Bautista, HP","PCD&nf;4067","1996","11","05","Southern America","Brasil","Bahia","Piatã","Chapada Diamantina, Pai Inácio. Três Morros","-41.886389","-13.060556","1300","1300",NA,"Até 1,10 m alt., ereto. Caule enfolhado desde a base, amarelo esverdeado, passando a castanho-claro, estriado. Folhas coriáceas, translúcidas, verde-amareladas (verde#?#limão quando maduras), margens creme, ascendentes. Filárias castanha. Aquênios marr",NA,NA,"1996","11","-41.886389","-13.060556",NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:10:31-03","UFBA","ALCB","92072","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Hoehnephytum","almasense","Hoehnephytum almasense","D.J.N.Hind","Roque, N; Abreu, IS","Abreu, IS","24","2009","09","22","Southern America","Brasil","Bahia","Rio de Contas","Chapada Diamantina, Caminho de Arapiranga para Ouro Verde, na área do Porco Gordo","-42.261111","-13.742222","1219","1219",NA,"ca. 2m alt., folhas concolores. Brácteas involucrais verde-acinzentadas, flores com corola alva e estames amarelos.",NA,NA,"2009","10","-42.261111","-13.742222",NA,NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:10:31-03","UFBA","ALCB","62667","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Hoehnephytum","almasense","Hoehnephytum almasense","D.J.N.Hind",NA,"Ganev, W","1866","1993","07","16","Southern America","Brasil","Bahia","Abaíra","Chapada Diamantina, Rio de Contas, Gerais do Porco-Gordo","-42.416667","-13.75","1170","1170",NA,"Até 1,8 m. Folhas verde-claro com maragem creme, pedúndullo, pedicelo e cálice verde-claro. Flores alvas. Caule verde-amarelado com vináceo.; Solo arenoso.",NA,NA,NA,NA,"-42.416667","-13.75",NA,NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:10:31-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Hoehnephytum","almasense","Hoehnephytum almasense","D.J.N.Hind","Hind, DJN","Roque, N; Harley, RM; Bautista, HP; Hind, DJN","PCD&nf;4465","1996","11","18","Southern America","Brasil","Bahia","Rio de Contas","Chapada Diamantina, Serra do Marcelino (Serra da antena de TV)","-42","-13","1020","1020",NA,"0,80 m, poucos caules, caule simples, totalmente enfolhados.; Solo arenoso e litólico.",NA,NA,"1996","11","-42","-13",NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 08:50:01-03","NBC","NL-BOTANY","U 0001294","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Hoehnephytum","almasense","Hoehnephytum almasense","D.J.N.Hind",NA,"Harley RM",NA,"1988","12","18","Southern America","Brazil","Bahia",NA,"Bahia. Mun.: Rio de Contas. Pico das Almas. Vertente leste. Escarpa ao oeste do Campo do Queiroz.","-41.966667","-13.533333",NA,NA,NA,"Sopé da escarpa.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200001294 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0001294","NL-U0001294",NA,NA,"-41.966667","-13.533333","Magnoliopsidae","isotype","56300",NA,NA,NA,NA
"11","2019-02-15 11:34:15-02","IPA","IPA","61710","S","Plantae","Plantae",NA,"Asteraceae","Hoehnephytum","almasense","Hoehnephytum almasense","D.J.N. Hind","Hind, D.J.N.","Harley, R.M.","27297","1988","05","18","Southern America","Brasil","Bahia","Rio de Contas","Pico das Almas. Vertente leste. Escarpa ao oeste do Campo Queiroz. Sopé da escarpa.","-41.966667","-13.533333",NA,NA,NA,NA,"IPA0061710","IPA0061710","1989","05","-41.966667","-13.533333",NA,NA,NA,NA,NA,NA,NA
"12","2019-02-15 11:34:15-02","IPA","IPA","88796","S","Plantae","Plantae",NA,"Asteraceae","Hoehnephytum","almasense","Hoehnephytum almasense","D.J.N. Hind","Rita Pereira","Martins, F.R.; et al.; et al.","263","1980","10","15","Southern America","Brasil","Minas Gerais","Poços de Caldas","Santa Rosália.","-46.564722","-21.838889",NA,NA,NA,"Arbusto 50cm; flores brancas, em campo secundário.","IPA0088796",NA,"2014","02","-46.564722","-21.838889",NA,NA,NA,NA,NA,NA,NA
"13","2020-12-21 16:16:08-03","MBM","MBM","280769","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Hoehnephytum","almasense","Hoehnephytum almasense","Hind, D.J.N.","Hind, D.J.N.","Harley, R.M.; Stannard, B.; Stannard, B.","26161","1988","11","15","Southern America","Brazil","Bahia","Rio de Contas","Pico das Almas, Vertente leste. Ao norte do Campo do Queiroz.","-41.966667","-13.516667","1525","1525",NA,"Campo rupestre. Em costa pedregosa, entre rochas; Erva ereta até 1m. Ramos verdes e vináceos. Folhas glaucas, eretas. Cálices verde-amarelados. corolas brancas. Estiletes amarelos.; Campo rupestre. Encosta pedregosa, entre rochas.","MBM280769","MBM280769",NA,NA,"-41.966667","-13.516667",NA,"PARATYPE",NA,NA,NA,NA,NA
"14","2015-08-13 05:50:00-03","MO","MOBOT","2705685","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Hoehnephytum","almasense","Hoehnephytum almasense","D.J.N. Hind","D.J.N. Hind","R.M. Harley","Harley 27297","1988","12","18","South America","Brazil","Bahia",NA,"Rio de Contas. Pico das Almas. Vertente leste. Escarpa ao oeste do Campo do Queiroz. Sopé de escarpa.",NA,NA,"1500.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type",NA,NA,NA,NA,NA
"15","2020-09-12 05:00:02-03","US","US","3263268","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Hoehnephytum","almasense","Hoehnephytum almasense","D.J.N. Hind",NA,"W. Ganev","680","1992","7","18","South America - Neotropics","Brazil","Bahia",NA,"Catoles, Municipio de Abaira, Estrada Catoles-Abaira, proximo a Tomboro","-41.75","-13.27","950",NA,NA,NA,"US01827161","US01827161_01",NA,NA,NA,NA,"Dicotyledonae",NA,NA,"1",NA,NA,NA
"16","2020-09-12 05:00:02-03","US","US","3263308","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Hoehnephytum","almasense","Hoehnephytum almasense","D.J.N. Hind",NA,"W. Ganev","575","1992","6","25","South America - Neotropics","Brazil","Bahia",NA,"Catoles, Municipio de Abaira, Estrada Catoles-Abaira, entroncamento de Piata-Abaira, cade 1 km do entroncamento, proximo ao Rio do Tromboro",NA,NA,"1100",NA,NA,NA,"US01827160","US01827160_01",NA,NA,NA,NA,"Dicotyledonae",NA,NA,"1",NA,NA,NA
"17","2020-09-12 05:00:02-03","US","US","3276762","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Hoehnephytum","almasense","Hoehnephytum almasense","D.J.N. Hind",NA,"W. Ganev","1866","1993","7","16","South America - Neotropics","Brazil","Bahia",NA,"Catoles, Municipio de Abaira, Rio de Contas, Gerais do Porco-gordo",NA,NA,"1170",NA,NA,NA,"US01827162","US01827162_01",NA,NA,NA,NA,"Dicotyledonae",NA,NA,"1",NA,NA,NA
"18","2020-09-12 05:00:02-03","US","US","3278413","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Hoehnephytum","almasense","Hoehnephytum almasense","D.J.N. Hind",NA,"R. M. Harley & D. J. N. Hind","27297","1988","12","18","South America - Neotropics","Brazil","Bahia","Rio de Contas","Pico das Almas, vertente leste, escarpa ao oeste do Campo do Queiroz.","-41.9667","-13.5333","1500","1500",NA,NA,"US00432886","US00432886_01",NA,NA,NA,NA,"Dicotyledonae","Isotype",NA,"1",NA,NA,NA
