"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","country","stateProvince","locality","occurrenceRemarks","barcode","recordNumber","day","imagecode","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","phylum","continentOcean","coordinatePrecision","geoFlag","class","order","typeStatus","individualCount"
"1","2021-03-24 16:39:42-03","MN","R","189841","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","cacuminis","Vriesea cacuminis","L.B. Sm.","Costa, A.F.","1997","02","06","Magalhães, H.","1896","07","Brasil","Minas Gerais","Serra de Ibitipoca","Commissão Geographica e Geologica de Minas nº 1586","R010011927",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-02-07 08:35:08-03","MN","R","237794","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","cacuminis","Vriesea cacuminis","L.B. Sm.","Neves, B.F.S.","2019","08","21","Neves, B.F.S.","2015","11","Brasil","Minas Gerais","Parque Estadual do Ibitipoca",NA,"R010066788","392","29","R010066788",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-02-07 08:35:08-03","MN","R","237994","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","cacuminis","Vriesea cacuminis","L.B. Sm.","Couto, D.R.","2014","08",NA,"Couto, D.R. 2819; Sadala, R.","2014","08","Brasil","Minas Gerais","Conceição do Ibitipoca",NA,"R010067398,R010067399,R010067400",NA,"29",NA,"Lima Duarte","-43.899444","-21.713611","43°53'58W","21°42'49S","1367","1367",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-06-30 18:32:06-03","UFJF","CESJ","30567","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","cacuminis","Vriesea cacuminis","L.B.Sm.","C.C.de Paula","1999","06","22","L.G.Rodela","1998","08","Brasil","Minas Gerais","Parque Estadual do Ibitipoca","Planta rupestre, ocorre em rocha quartzítica nesta parcela.","CESJ030567","2b-6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Angiosperma","América do Sul",NA,NA,NA,NA,NA,NA
"5","2019-11-21 14:32:59-03","UFJF","CESJ","29573","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","cacuminis","Vriesea cacuminis","L.B.Sm.","C.C.de Paula","1999","06","20","L.M.R.Gomes; J.F.L. Santos","1996","08","Brasil","Minas Gerais","Parque Estadual do Ibitipoca - Cruzeiro","Folhas lisas lanceoladas em arranjo do tipo roseta, de cor verde-clara amarelada. Inflorescência em pedúnculo amarelo. Hábito rupícola.","CESJ029573","s.n.,","17",NA,NA,NA,NA,NA,NA,NA,NA,"Angiosperma","América do Sul",NA,NA,NA,NA,NA,NA
"6","2019-11-21 14:32:59-03","UFJF","CESJ","9298","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","cacuminis","Vriesea cacuminis","L.B.Sm.","C.C.de Paula","1999","06","20","L. Krieger; U.C. Câmara","1970","09","Brasil","Minas Gerais","Serra de Ibitipoca","Saxícola, roseta fechada, ponta das folhas vermelhas, pedúnculo e brácteas vinho, ovário e corola amarelas.","CESJ009298","CESJ9298","28",NA,NA,NA,NA,NA,NA,NA,NA,"Angiosperma","América do Sul",NA,NA,NA,NA,NA,NA
"7","2020-06-30 18:32:06-03","UFJF","CESJ","36828","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","cacuminis","Vriesea cacuminis","L.B.Sm.","M.G.C.Nogueira","2012","08","23","L.G. Rodela","1998","09","Brasil","Minas Gerais","Parque Estadual do Ibitipoca","Campo rupestre.","CESJ036828","2b-6",NA,NA,"Lima Duarte","-43.793098449707","-21.8425006866455",NA,NA,NA,NA,"Angiosperma","América do Sul","30417","auto",NA,NA,NA,NA
"8","2020-06-30 18:32:06-03","UFJF","CESJ","28913","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","cacuminis","Vriesea cacuminis","L.B.Sm.","M.G.C.Nogueira","2012","08","23","L.G.Rodela","1996","02","Brasil","Minas Gerais","Parque Estadual do Ibitipoca, Próx. ao Morro da Cruz. Alt. aprox.: 1650m.","Flor vermelha e laranja em cacho.","CESJ028913","Q2-25","08",NA,"Lima Duarte","-43.793098449707","-21.8425006866455",NA,NA,NA,NA,"Angiosperma","América do Sul","30417","auto",NA,NA,NA,NA
"9","2020-06-30 18:32:06-03","UFJF","CESJ","32593","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","cacuminis","Vriesea cacuminis","L.B.Sm.","R.F.Monteiro","2006","08","04","R.C. Forzza; M.Heluey; F.S. Araújo; A.S.M. Valente","2001","02","Brasil","Minas Gerais","Parque Estadual do Ibitipoca, trilha para a Lombada.","Erva rupícola. Flores passadas. Frutos amarelos a castanhos. Material prensado em álcool.","CESJ032593","1799","08",NA,"Lima Duarte","-43.793098449707","-21.8425006866455",NA,NA,NA,NA,"Angiosperma","América do Sul","30417","auto",NA,NA,NA,NA
"10","2020-06-30 18:32:06-03","UFJF","CESJ","36541","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","cacuminis","Vriesea cacuminis","L.B.Sm.","M.G.C.Nogueira","2012","08","23","L.G. Rodela","1998","09","Brasil","Minas Gerais","Parque Estadual do Ibitipoca","Campo Rupestre","CESJ036541","2b-11",NA,NA,"Lima Duarte","-43.793098449707","-21.8425006866455",NA,NA,NA,NA,"Angiosperma","América do Sul","30417","auto",NA,NA,NA,NA
