"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","typeStatus","class","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","895078","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Minasia","scapigera","Minasia scapigera","H.Rob.","H. E. Robinson","H. S. Irwin","28086","1970","03","22","South America","Brazil","Minas Gerais","Diamantina","Serra do Espinhaço, ca. 10 km N. of São João da Chapada, road to Inhaí","-43.7296","-18.0062","1050","1050","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=969472' target='other'> <mi>dwc_moreinfo</mi></a>","NY00895078","NY00895078_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","895080","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Minasia","scapigera","Minasia scapigera","H.Rob.","H. E. Robinson","E. Pereira","1459","1955","05","22","South America","Brazil","Minas Gerais","Diamantina","Água Limpa.","-43.6003","-18.2494",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=969479' target='other'> <mi>dwc_moreinfo</mi></a>","NY00895080","NY00895080_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","895079","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Minasia","scapigera","Minasia scapigera","H.Rob.","H. E. Robinson","A. F. M. Glaziou","19545","1892",NA,NA,"South America","Brazil",NA,NA,"Brazil.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=969476' target='other'> <mi>dwc_moreinfo</mi></a>","NY00895079","NY00895079_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1144745","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Minasia","scapigera","Minasia scapigera","H.Rob.","B. Loeuille","B. Loeuille","97","2007","01","23","South America","Brazil","Minas Gerais","Diamantina","Km 685 da rodovia para Mendanha (BR-367), lado esquerdo da estrada, topo de elevação, altos da Trilha dos Escravos.","-43.5933","-18.2178","1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1299096' target='other'> <mi>dwc_moreinfo</mi></a>","NY01144745","NY01144745_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","895077","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Minasia","scapigera","Minasia scapigera","H.Rob.","H. E. Robinson","H. S. Irwin","28085a","1970","03","22","South America","Brazil","Minas Gerais","Diamantina","Serra do Espinhaço, ca. 10 km N. of São João da Chapada, road to Inhaí","-43.7296","-18.0062","1050","1050","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=969468' target='other'> <mi>dwc_moreinfo</mi></a>","NY00895077","NY00895077_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-08 17:37:11-03","EAO","IAN","34808","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Vernonia","scapigera","Vernonia scapigera","(Mart.) Baker",NA,"Martins-da-Silva, RCV","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN034808","IAN034808_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:35:17-03","EAO","IAN","107906","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Vernonia","scapigera","Vernonia scapigera","(Mart.) Baker","Barroso, GM","Magalhães, MG","17997","1960","06",NA,"Southern America","Brasil","Minas Gerais","Diamantina","Nas pedras (rupestre) da Serra de Diamantina.","-43.6002998352051","-18.2493991851807",NA,NA,NA,"Herba; flor violácea-rosea. Frequência regular.","IAN107906",NA,"101169","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:10:56-03","UFBA","ALCB","106012","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Minasia","scapigera","Minasia scapigera","H.Rob.",NA,"Roque, N; Quaresma, AS; Franco, IM; Gonçalves, DJP","3075","2011","06","24","Southern America","Brasil","Minas Gerais","São Gonçalo do Rio Preto","Instituto Estadual de Floresta, Parque Estadual do Rio Preto, trilha para Vargem das Estrelas acima da Casa de Hóspede","-43.376111","-18.119167","1121","1121",NA,"com folhas em roseta, 40-60cm diâm., folhas argênteas. Brácteas involucrais vináceas, corola lilás.; borda de mata ciliar",NA,NA,NA,NA,"-43.376111","-18.119167",NA,NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:10:56-03","UFBA","ALCB","131967","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Minasia","scapigera","Minasia scapigera","H.Rob.","Bringel Júnior, JBA; Chaves, DA","Martinelli, G; Baez, C","18876","2015","10","13","Southern America","Brasil","Minas Gerais","São Gonçalo do Rio Preto","Parque estadual do Rio Preto, campo do Mocambo","-43.375","-18.119167","1155","1155",NA,"saxícola ou terrestre, crescendo em campo de areia de quartzo, heliofila, folhas verdes, concolores, inflorescencia com pedúnculo verde, flores alvas.; Campo rupestre com capões de cerrado.","ALCB048646","ALCB048646",NA,NA,"-43.375","-18.119167","2018","07",NA,NA,NA,NA,NA
"10","2020-11-04 11:01:57-03","ESALQ","ESA","120770","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Minasia","scapigera","Minasia scapigera","H. Rob.","Loeuille, B.","Delfini, C.","346.0","2012","05","01",NA,"Brasil","Minas Gerais","Milho Verde","BR 259, estrada de Serro para Datas, a 16km para o entroncamento para Millho Verde, proximidades da Nascente do Rio Jequitinhonha.","-43.487552","-18.57294","1049","1049",NA,"Erva, base rosulada, capítulos lilases, haste do capítulo até 1m alt.","ESA120770","ESA120770",NA,NA,"-43.487552","-18.57294","2015",NA,NA,NA,NA,NA,NA
"11","2020-11-04 11:01:57-03","ESALQ","ESA","73326","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Minasia","scapigera","Minasia scapigera","H.Rob.","Hind, D.J.N.","Souza, V.C.; Souza, J.P.; Romão, G.O.; Araújo, A.O.","25075.0","2001","07","05",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó. Rodovia Belo Horizonte - Conceição do Mato Dentro. Próximo à Bifurcação para Morro do Pilar. Campo rupestre com mata ciliar no fundo do vale.","-434.992","-192.203","1500","1500",NA,"Erva; flores roxas.","ESA073326","ESA073326",NA,NA,"-434,992","-192,203","2002","12","06",NA,NA,NA,NA
"12","2020-11-04 11:01:57-03","ESALQ","ESA","41504","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Minasia","scapigera","Minasia scapigera","H. Rob.","Leuille, B.","Souza, V.C.; Souza, J.P.; Capellari Jr., L.; Scalon, V.R.","12006.0","1996","07","06",NA,"Brasil","Minas Gerais","Diamantina","9 Km de Diamantina em direção a Curvelo. Campo rupestre.","-43.6002998352051","-18.2493991851807",NA,NA,NA,"Erva; flores róseas.","ESA041504","ESA041504","101169","auto",NA,NA,"2015",NA,NA,NA,NA,NA,NA
"13","2021-01-14 15:24:28-03","MN","R","6267","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Vernonia","scapigera","Vernonia scapigera","(Mart.) Baker","Barroso, G.M.","Glaziou, A.F.M.","19545","1892","04","02",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,"Plantas do Brasil Central","R000006267","R000006267_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-02-15 11:56:52-03","UNICAMP","UEC","119790","S","Plantae","Magnoliopsida",NA,"Asteraceae","Minasia","scapigera","Minasia scapigera","H.Rob.","Loeuille, B","Lewinsohn, TM; Prado, PIKL; Solferini, VN; Jesus, FF","PIC97027","1997","04","29",NA,"Brazil","Minas Gerais","Diamantina","Serra da Guiné","-43.734444","-18.116667",NA,NA,NA,NA,"UEC069326","UEC069326",NA,NA,"-43.734444","-18.116667","2011",NA,NA,NA,NA,NA,NA
"15","2019-08-20 10:06:17-03","UNICAMP","UEC","119791","S","Plantae","Magnoliopsida",NA,"Asteraceae","Minasia","scapigera","Minasia scapigera","H.Rob.","Semir, J","Lewinsohn, TM; Solferini, VN; Jesus, FF; Prado, PI","PIC97037","1997","04","29",NA,"Brazil","Minas Gerais","Diamantina","Estrada Guinda-S.J., Chapada, campo arenoso encharcado com pedras.","-43.726667","-18.166111",NA,NA,NA,NA,NA,NA,NA,NA,"-43.726667","-18.166111",NA,NA,NA,NA,NA,NA,NA
"16","2019-08-20 10:06:17-03","UNICAMP","UEC","119792","S","Plantae","Magnoliopsida",NA,"Asteraceae","Minasia","scapigera","Minasia scapigera","H.Rob.","Semir, J","Lewinsohn, TM; Solferini, VN; Jesus, FF; Prado, PI","PIC97038","1997","04","29",NA,"Brazil","Minas Gerais","Diamantina","Próx. à segunda ponte, Após Sopa","-43.716389","-18.208611",NA,NA,NA,NA,NA,NA,NA,NA,"-43.716389","-18.208611",NA,NA,NA,NA,NA,NA,NA
