"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","typeStatus","individualCount","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","01197854","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Neomitranthes","obtusa","Neomitranthes obtusa","Sobral & Zambom","M. C. Souza","P. Fiaschi","2059","2004","03","18","South America","Brazil","Bahia","Uruçuca","Estrada de Serra Grande para Uruçuca. Área do inventário do plano de manejo do Parque Estadual da Serra do Conduru. Mata da torre do celular","-39.115","-14.4997","380","380","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1105203' target='other'> <mi>dwc_moreinfo</mi></a>","NY01197854","NY01197854_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02714725","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Neomitranthes","obtusa","Neomitranthes obtusa","Sobral & Zambom","M. Sobral","J. G. Jardim","302","1993","09","16","South America","Brazil","Bahia","Una","Km 50 da Rod. Ilhéus/Una. Estaçao da Embrapa (EDJAB)","-39.032793","-15.1988373",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=623045' target='other'> <mi>dwc_moreinfo</mi></a>","NY02714725","NY02714725_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02674925","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Neomitranthes","obtusa","Neomitranthes obtusa","Sobral & Zambom","D. Piotto","D. Piotto","2809","2010","06","10","South America","Brazil","Bahia","Uruçuca","Parque Est. Serra do Conduru","-39.08","-14.42","120","300","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3671398' target='other'> <mi>dwc_moreinfo</mi></a>","NY02674925",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02714743","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Neomitranthes","obtusa","Neomitranthes obtusa","Sobral & Zambom","M. Sobral","J. G. Jardim","233","1993","07","15","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-leao (IBAMA). Entreda no km 46 da Rod. BA-001 Ilhéus/Una. Entrada à direita no km 10.4 Rod. Una/Ilhéus.","-39.08","-15.15",NA,NA,"sheet","Site: R <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742423' target='other'> <mi>dwc_moreinfo</mi></a>","NY02714743","NY02714743_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1522502","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Neomitranthes","obtusa","Neomitranthes obtusa","Sobral & Zambom","M. C. Souza","C. Farney","4852","2007","11","09","South America","Brazil","Bahia","Caravelas","Tapera, propriedade do Sr. Loão Heleno, restina com moitas de Aechmea nudicaulis.","-39.2658004760742","-17.7318992614746",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1753145' target='other'> <mi>dwc_moreinfo</mi></a>","NY01522502","NY01522502_01","106553","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-02-24 18:14:02-03","UFBA","ALCB","50719","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Neomitranthes","obtusa","Neomitranthes obtusa","Sobral & Zambom","Sobral, M","Guedes, ML; Jesus, NG de","8098","2001","03","29","Southern America","Brasil","Bahia","Entre Rios","Litoral Norte, Massarandupió, a 25 km, próximo & região de brejos","-38.083333","-11.933333",NA,NA,NA,"com folhas crassas revoluta com bastante glandulas translúcidas. Botões esverdeados.; dunas de Massarandupió.","ALCB060550",NA,NA,NA,"2012","03","-38.083333","-11.933333",NA,NA,NA,NA,NA
"7","2019-11-25 16:51:17-03","UFBA","ALCB","138275","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Neomitranthes","obtusa","Neomitranthes obtusa","Sobral & Zambom","Stadnik, A","Stadnik, A; Melo, JDO; Roque, N; Sulivan, BK; Rodrigues, R; Menezes, CM","338","2015","08","28","Southern America","Brasil","Bahia","Mata de São João","REserva de Sapiranga","-38.0375","-12.564722",NA,NA,NA,"ca. 10m. Folhas discolores, com muitas glandulas de tamanhos diferentes. Frutos maduros atropurpureos.","ALCB069114","ALCB069114",NA,NA,"2019","09","-38.0375","-12.564722",NA,NA,NA,NA,NA
"8","2019-11-25 16:51:17-03","UFBA","ALCB","138271","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Neomitranthes","obtusa","Neomitranthes obtusa","Sobral & Zambom","Stadnik, A","Stadnik, A; Melo, JDO; Roque, N; Lucresia, L","453","2017","10","14","Southern America","Brasil","Bahia","Mata de São João","Praia do Forte.","-38.2991981506348","-12.5303001403809",NA,NA,NA,"ca. 5m. Folhas discolores com muitas glândulas. Fruto maduro atropúrpureo.","ALCB069110",NA,"47329","auto","2017","10",NA,NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:21:41-03","UFBA","ALCB","131471","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Neomitranthes","obtusa","Neomitranthes obtusa","Sobral & Zambom",NA,"Souza, MC; Pereira, OJ; Menezes, LFT","342","2006","04","04","Southern America","Brasil","Espírito Santo","Vila Velha","Parque Nacional de Jacarenema.","-40.2924995422363","-20.3297004699707",NA,NA,NA,"ca 2 m de altura, com botões florais, material coletado para extração de DNA.; Restinga de moitas.","ALCB048181","ALCB048181","27156","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-02-15 11:46:30-02","IPA","IPA","60596","S","Plantae","Plantae",NA,"Myrtaceae","Neomitranthes","obtusa","Neomitranthes obtusa","Sobral & Zambom","Souza, M.C.","Félix, L.P.","7302","1995","08","08","Southern America","Brasil","Bahia","Morrinhos do Sul","Morrão, em grupamento arbóreo. Sítio rupestre.",NA,NA,NA,NA,NA,"Arvoreta, flores alvas.","IPA0060596",NA,NA,NA,"2008","08",NA,NA,"12",NA,NA,NA,NA
