"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","individualCount","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","occurrenceRemarks","barcode","yearIdentified","monthIdentified","dayIdentified","class","order","imagecode","phylum","coordinatePrecision","geoFlag","relatedCatalogItem"
"1","2015-08-13 05:50:00-03","MO","MOBOT","100730200","PreservedSpecimen","Plantae","Fabaceae","Senegalia","irwinii","Senegalia irwinii","Seigler, Ebinger & P.G. Ribeiro","fide Seigler et al., (Typus)","Howard S. Irwin|R.M. Harley|Eunice Onishi","Irwin 30523","1971","1","16","South America","Brazil","Minas Gerais","Wooded middle slopes of Serra da Piedade ca. 40 km E. of Belo Horizonte, near BR-31.","1800.00000000","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2014-08-23 05:36:00-03","MO","MOBOT","100730201","PreservedSpecimen","Plantae","Fabaceae","Senegalia","irwinii","Senegalia irwinii","Seigler, Ebinger & P.G. Ribeiro","fide Seigler et al.","Howard S. Irwin|R. Reis dos Santos|R. Souza|S.F. da Fonsêca","Irwin 22870","1969","1","29","South America","Brazil","Minas Gerais","Rocky slopes with shrubs and low trees, ca. 17km N.E. of Diamantina, road to Mendanha.","1250.00000000","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-07-10 09:47:01-03","MBML","MBML-HERBARIO","31878",NA,"Plantae","Leguminosae Mimosoideae","Senegalia","irwinii","Senegalia irwinii",NA,"Pétala G. Ribeiro/02-05-2013","V. Demuner; T. A. Cruz e R. R. Vervloet.","4512","2007","11","07",NA,"Brasil","Espírito Santo","Pedra de Santa Luzia, prop.: Firmino Sottele","420",NA,"Governador Lindenberg","-40.465556","-19.288056","40W27'56","19S17'17","420","Liana 8m inflorescência verde. Interior de mata secundária.","MBML031878",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-02-09 10:13:20-03","UENF","HUENF","9732","PreservedSpecimen","Plantae","Leguminosae","Senegalia","irwinii","Senegalia irwinii","Seigler, Ebinger, & P.G. Ribeiro","Lima, H.C.","Gaglianone, M.C.; et al.",NA,"2006","03","17",NA,"Brasil","Rio de Janeiro","Mata do Funil","31",NA,"São Francisco de Itabapoana","-41.204167","-21.554722","41º12'15''W","21º33'17''S","31","Borda; Arbusto.","HUENF00009736","2016","09","20",NA,NA,NA,NA,NA,NA,NA
"5","2021-02-09 10:13:20-03","UENF","HUENF","9660","PreservedSpecimen","Plantae","Leguminosae","Senegalia","irwinii","Senegalia irwinii","Seigler, Ebinger, & P.G. Ribeiro","Lima, H.C.","Lima, H.C.; Pennington, T.; Souza, T.P.",NA,"2015","03","17",NA,"Brasil","Rio de Janeiro","Morro do Itaoca - Estrada para as torres. Fragmento de mata seca (Pt 156).","416",NA,"Campos dos Goytacazes","-41.4475","-21.794167","41º26'51''W","21º47'39''S","416","Trepadeira com ramos flexuosos, aculeados. Inflorescência erecta, flores com cálice e corola alvo-esverdeadas, estames alvos, levemente amarelados. Frequente nas áreas degradadas.","HUENF00009664","2016","09","20",NA,NA,NA,NA,NA,NA,NA
"6","2020-09-12 05:00:02-03","US","US","2984844","PreservedSpecimen","Plantae","Fabaceae","Senegalia","irwinii","Senegalia irwinii","Seigler et al.",NA,"H. S. Irwin, R. Reis dos Santos, R. Souza & S. F. Fonsêca","22870","1969","1","29","South America - Neotropics","Brazil","Minas Gerais","Serra do Espinhaco, ca. 17 km. N.E. of Diamantina, road to Mendanha","1250","1",NA,NA,NA,NA,NA,NA,NA,"US02200759",NA,NA,NA,"Dicotyledonae","Rosales","US02200759_01",NA,NA,NA,NA
"7","2020-05-08 11:11:07-03","UEFS","HUEFS","251078","PreservedSpecimen","Plantae","Leguminosae Subfam. Caesalpinioideae (Mimosoide)","Senegalia","irwinii","Senegalia irwinii","Seigler, Ebinger, & P.G. Ribeiro",NA,"Nascimento, F.H.F.","1999","2013","03","15",NA,"Brasil","Espírito Santo","Reserva Natural Vale.",NA,NA,"Linhares","-40.05","-19.15","40W3'","19S9'",NA,"Floresta Estacional Perenifólia.","HUEFS0251078",NA,NA,NA,"Rosanae","Fabales",NA,"Angiospermae",NA,NA,NA
"8","2020-05-08 11:11:07-03","UEFS","HUEFS","242137","PreservedSpecimen","Plantae","Leguminosae Subfam. Caesalpinioideae (Mimosoide)","Senegalia","irwinii","Senegalia irwinii","Seigler, Ebinger, & P.G. Ribeiro","V.Terra & D.S.Seigler","Morim, M.P.","272","1993","04","14",NA,"Brasil","Distrito Federal","Reserva Biológica do IBGE. Córrego Monjolo, Chacará 4.",NA,NA,"Brasília","-47.9296989440918","-15.7797002792358",NA,NA,NA,NA,"HUEFS0242137","2018",NA,NA,"Rosanae","Fabales",NA,"Angiospermae","70570","auto",NA
"9","2016-02-19 11:09:58-02","F","FMNH-SEEDPLANTS","V0365495F","PreservedSpecimen","Plantae","Fabaceae","Senegalia","irwinii","Senegalia irwinii",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"V0365495F",NA,NA,NA,"Dicotyledoneae",NA,"V0365495F_01","Spermatophyta",NA,NA,NA
"10","2016-02-19 11:09:59-02","F","FMNH-SEEDPLANTS","V0365496F","PreservedSpecimen","Plantae","Fabaceae","Senegalia","irwinii","Senegalia irwinii",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"V0365496F",NA,NA,NA,"Dicotyledoneae",NA,"V0365496F_01","Spermatophyta",NA,NA,NA
