"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","month","day","stateProvince","county","decimalLongitude","decimalLatitude","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","class","relatedCatalogItem","individualCount","fieldNumber","infraspecificEpithet"
"1","2021-03-15 16:37:00-03","NY","NYBG","650046","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Leersia","hexandra","Leersia hexandra","Sw.","G. Gardner","1176","1836","South America","Brazil","Brasilia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=150892' target='other'> <mi>dwc_moreinfo</mi></a>","NY00650046","NY00650046_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","650036","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Leersia","hexandra","Leersia hexandra","Sw.","D. S. D. de Araújo","5503","1983","South America","Brazil","Lagoa de Cabiúnas, margem direita","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=150893' target='other'> <mi>dwc_moreinfo</mi></a>","NY00650036","NY00650036_01","04","05","Rio de Janeiro","Macaé","-41.7867","-22.3708",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-27 02:29:00-03","NY","NYBG","650047","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Leersia","hexandra","Leersia hexandra",NA,"T. M. Pedersen","4562","1957","South America","Argentina","Estancia Les Tres Marias","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=150887' target='other'> <mi>dwc_moreinfo</mi></a>","NY00650047",NA,"05","11","Corrientes","Empedrado",NA,NA,"L. R. Parodi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00863189","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Leersia","hexandra","Leersia hexandra","Sw.","G. Schaller","295","1979","South America","Brazil","Pantanal. Miranda fazenda","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=950716' target='other'> <mi>dwc_moreinfo</mi></a>","NY00863189","NY00863189_01","04","05","Mato Grosso do Sul",NA,NA,NA,"G. Davidse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00863190","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Leersia","hexandra","Leersia hexandra","Sw.","G. Schaller","293","1979","South America","Brazil","Pantanal. Miranda fazenda","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=950718' target='other'> <mi>dwc_moreinfo</mi></a>","NY00863190","NY00863190_01","04","05","Mato Grosso do Sul",NA,NA,NA,"G. Davidse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00863165","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Leersia","hexandra","Leersia hexandra","Sw.","Col. Exp. General Rondon","s.n.","1921","South America","Brazil","Rio Paraná","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=950723' target='other'> <mi>dwc_moreinfo</mi></a>","NY00863165","NY00863165_01",NA,NA,"Mato Grosso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","650043","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Leersia","hexandra","Leersia hexandra","Sw.","J. R. Swallen","7634","1945","South America","Brazil","Posto Zootecnico, Uruaguaiana","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=150898' target='other'> <mi>dwc_moreinfo</mi></a>","NY00650043","NY00650043_01","12","09","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02618154","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Leersia","hexandra","Leersia hexandra","Sw.","S. A. Mori","21895","1991","South America","Brazil","Rio Solimões. Lago Aracá in the region of Lago Piranha. Manacapurú Lake area.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2913907' target='other'> <mi>dwc_moreinfo</mi></a>","NY02618154",NA,"08","02","Amazonas",NA,"-60.73","-3.23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","650038","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Leersia","hexandra","Leersia hexandra","Sw.","R. M. Harley","16502","1974","South America","Brazil","Serra da Jacobina, 8km. N. of Senhor do Bonfim on the BA 130 to Juazeiro, on side road from Carrapichel towards the Serra","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=150895' target='other'> <mi>dwc_moreinfo</mi></a>","NY00650038","NY00650038_01","02","27","Bahia",NA,"-40.25","-10.38",NA,"600","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","650044","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Leersia","hexandra","Leersia hexandra","Sw.","R. A. Wasum","s.n.","1995","South America","Brazil","Erechim - IBDF","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=150885' target='other'> <mi>dwc_moreinfo</mi></a>","NY00650044","NY00650044_01","12","27","Rio Grande do Sul",NA,NA,NA,"S. F. Smith","780","780",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
