"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","individualCount","class","typeStatus","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","442431","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Banisteriopsis","sepium","Banisteriopsis sepium","(A.Juss.) B.Gates","W. R. Anderson","S. A. Mori","11148","1978","11","18","South America","Brazil","Bahia","Maracás","Rod BA-250, 13-25 km a E de Maracás. Folha SD-24 (14-40a)","-40.4306","-13.4411","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=276808' target='other'> <mi>dwc_moreinfo</mi></a>","NY00442431","NY00442431_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","442430","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Banisteriopsis","sepium","Banisteriopsis sepium","(A.Juss.) B.Gates","W. R. Anderson","T. S. dos Santos","3446","1979","02","13","South America","Brazil","Bahia","Itiruçu","Km 18 da Rodovia Itiruçu/Maracás (BA 554). Folha SD 24 (13-40c)","-40.1503","-13.5319","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=276809' target='other'> <mi>dwc_moreinfo</mi></a>","NY00442430","NY00442430_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","642403","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Banisteriopsis","sepium","Banisteriopsis sepium","(A.Juss.) B.Gates","W. R. Anderson","W. W. Thomas","12645","2001","10","25","South America","Brazil","Bahia","Boa Nova","Fazenda Cotermaia (owner Alipe Maia); entrance 1.2 km E of Boa Nova on road to Dario Meira","-40.188483","-14.37315","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=276811' target='other'> <mi>dwc_moreinfo</mi></a>","NY00642403","NY00642403_01","790","790",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","442429","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Banisteriopsis","sepium","Banisteriopsis sepium","(A.Juss.) B.Gates","B. Gates","R. P. Belém","1219","1965","06","25","South America","Brazil","Bahia","Vitória da Conquista","Rodovia BR-4, 60 km N da divisa com o Estado de Minas Gerais","-40.8392","-14.8661","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=276812' target='other'> <mi>dwc_moreinfo</mi></a>","NY00442429","NY00442429_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02499254","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Diplopterys","sepium","Diplopterys sepium","(A.Juss.) W.R.Anderson & C.Cav.Davis","A. M. Amorim","W. W. Thomas","12501","2001","05","18","South America","Brazil","Bahia","Boa Nova","Fazenda Cotermaia (owner Alipe Maia) entrance 1.2 km E of Boa Nova on road to Dario Meira","-40.18842","-14.37365",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=303715' target='other'> <mi>dwc_moreinfo</mi></a>","NY02499254","NY02499254_01","810","810",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","886141","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Diplopterys","sepium","Diplopterys sepium","(A.Juss.) W.R.Anderson & C.Cav.Davis","W. R. Anderson","P. Fiaschi","1418","2003","03","08","South America","Brazil","Bahia","Boa Nova","Fazenda Cotermaia (proprietário Alipe Maia), entrada à esq., ca. 1.2 km E de Boa Nova, na estrada para Dario Meira.","-40.1875","-14.3736","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1001876' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886141","NY00886141_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-08 11:09:13-03","UNESP-IBB","BOTU","23920","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Banisteriopsis","sepium","Banisteriopsis sepium","A.Juss. (Griseb)","Almeida, R.F.","Ferreira, R.C.C.","230","1998","06","12",NA,"Brasil","São Paulo","Botucatu",NA,"-49.733333","-22.816667",NA,"Trepadeira, flores brancas.","BOTU023920",NA,NA,NA,"2016","10","10","49° 44' w","22°49's",NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:43:34-03","EAO","IAN","119609","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Malpighiaceae","Diplopterys","sepium","Diplopterys sepium","(A.Juss.) W.R. Anderson & C.C.Davis","Lombardi, JA","Belém, RP","1219","1965","06","25","Southern America","Brasil","Bahia",NA,"Rodovia BR-4, 60km da divisa com o Estado de Minas Gerais.",NA,NA,NA,"Árvorezinha prostrada, frutos verdes. Mata de cipó.","IAN119609",NA,NA,NA,"2015","04","27",NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-02-15 11:44:59-02","IPA","IPA","12856","S","Plantae","Plantae",NA,"Malpighiaceae","Diplopterys","sepium","Diplopterys sepium","(A. Juss.) W.R. Anderson & C.Davis","Amorim, A.M.A.","Andrade-Lima","61-3935","1961","10","06","Southern America","Brasil","Bahia",NA,"Resto de mata entre Jequié e Milagres.",NA,NA,NA,"Cipó vigoroso subindo as árvores. Frutos.","IPA0012856",NA,NA,NA,"2011","10","11",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-11-19 14:08:18-03","UFRPE","PEUFR","48988","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Banisteriopsis","sepium","Banisteriopsis sepium","(A. Juss.) B. Gates","A. Amorim","G.E.L. Macedo; N.B. Souza","331","2003","08","13",NA,"Brasil","Bahia","Jequié","Fazenda Brejo Novo","-40.109417","-13.944833",NA,"Parcela 1. Ind. 13 UTM 8457972","PEUFR048988",NA,"648","648","2006","04","19","40°06'33,9''W","13°56'41.4''S",NA,NA,NA,NA,NA,NA
