"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","infraspecificEpithet","scientificNameAuthorship","identifiedBy","year","month","day","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","imagecode","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","coordinatePrecision","geoFlag","fieldNumber","individualCount"
"1","2020-09-23 10:43:03-03","E","E","130433","PreservedSpecimen","Plantae","Rubiaceae","Borreria","remota","Borreria remota","isotype","Smith, Herbert Huntington","321","W. Tropical South America","CO","herbarium specimen of unspecif","BGBASE:144384","<a href=http://data.rbge.org.uk/herb/E00130433 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00130433",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","130922","PreservedSpecimen","Plantae","Rubiaceae","Borreria","laevis","Borreria laevis edentata","holotype","H. F. Pittier","9829","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=491463' target='other'> <mi>dwc_moreinfo</mi></a>","NY00130922","Magnoliophyta","Gentianales","edentata","Steyerm.","J. A. Steyermark","1921","09","18","Distrito Capital","Around Caracas. Upper Cotiza Savanna.","1300","1300","NY00130922_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1109498","PreservedSpecimen","Plantae","Rubiaceae","Borreria","remota","Borreria remota",NA,"M. J. P. Pires-O'Brien","1315","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1365109' target='other'> <mi>dwc_moreinfo</mi></a>","NY01109498","Magnoliophyta","Gentianales",NA,"(Lam.) Bacigalupo & E.L.Cabral","R. M. Salas",NA,NA,NA,"Pará",NA,NA,NA,"NY01109498_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-30 22:34:00-03","NY","NYBG","02447358","PreservedSpecimen","Plantae","Rubiaceae","Borreria","remota","Borreria remota",NA,"P. G. Delprete","6130A","South America","Ecuador","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2704066' target='other'> <mi>dwc_moreinfo</mi></a>","NY02447358","Magnoliophyta","Gentianales",NA,NA,"C. M. Taylor","1992","08","05","Napo","1 km atras de la escuela Fisco-Misional.","100","200","NY02447358_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1005896","PreservedSpecimen","Plantae","Rubiaceae","Borreria","remota","Borreria remota",NA,"G. Eiten","10796","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1100187' target='other'> <mi>dwc_moreinfo</mi></a>","NY01005896","Magnoliophyta","Gentianales",NA,"(Lam.) Bacigalupo & E.L.Cabral","R. M. Salas","1970","02","27","Maranhão","Ilha de Balsas region between the Balsas & Parnaíba Rivers. 35 km S of Loreto, by main house of Fazenda Morros.","300","300","NY01005896_01","Loreto","-45.07","-7.38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1109469","PreservedSpecimen","Plantae","Rubiaceae","Borreria","remota","Borreria remota",NA,"M. J. P. Pires-O'Brien","1153","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1364804' target='other'> <mi>dwc_moreinfo</mi></a>","NY01109469","Magnoliophyta","Gentianales",NA,"(Lam.) Bacigalupo & E.L.Cabral","R. M. Salas",NA,NA,NA,"Pará",NA,NA,NA,"NY01109469_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1136679","PreservedSpecimen","Plantae","Rubiaceae","Borreria","remota","Borreria remota",NA,"M. R. Mulford","1192","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1365238' target='other'> <mi>dwc_moreinfo</mi></a>","NY01136679","Magnoliophyta","Gentianales",NA,"(Lam.) Bacigalupo & E.L.Cabral","R. M. Salas",NA,NA,NA,"Amazonas",NA,NA,NA,"NY01136679_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","191344","PreservedSpecimen","Plantae","Rubiaceae","Borreria","remota","Borreria remota",NA,"B. C. Bennett","3352","South America","Ecuador","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=564467' target='other'> <mi>dwc_moreinfo</mi></a>","NY00191344","Magnoliophyta","Gentianales",NA,"(Lam.) Bacigalupo & E.L.Cabral","R. M. Salas","1988","08","27","Morona-Santiago","Centro Shuar Yukutais. 10km S Sucua, Rio Upano, chacra of J. Cristobal Antuash",NA,NA,"NY00191344_01",NA,"-78.15","-2.52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","2713346","PreservedSpecimen","Plantae","Rubiaceae","Borreria","remota","Borreria remota",NA,"W. H. Camp","E2652","South America","Ecuador","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3132537' target='other'> <mi>dwc_moreinfo</mi></a>","NY02713346","Magnoliophyta","Gentianales",NA,"(Lam.) Bacigalupo & E.L.Cabral",NA,"1945","04","14","Azuay","Vicinity of Cuenca. Near union of ríos Tarqui and Yununcay.","2499","2713","NY02713346_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1038552","PreservedSpecimen","Plantae","Rubiaceae","Borreria","remota","Borreria remota",NA,"M. J. P. Pires-O'Brien","984","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1360579' target='other'> <mi>dwc_moreinfo</mi></a>","NY01038552","Magnoliophyta","Gentianales",NA,"(Lam.) Bacigalupo & E.L.Cabral","R. M. Salas",NA,NA,NA,"Pará",NA,NA,NA,"NY01038552_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
