"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","recordNumber","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","typeStatus","sex"
"1","2021-04-05 14:33:32-03","UNESC","CRI","4729","PreservedSpecimen","Plantae","Gentianaceae","Voyria","aphylla","Voyria aphylla","(Jacq.) Pers.","Vanilde Citadini- Zanette","V. Citadini-Zanette; J. C. Caetano","1996","01","24","Brasil","Santa Catarina","Governador Celso Ramos","Lot. Palmar, Praia das Palmas.","-48.559444","-27.315278","48º33'34''W","27º18'55''S","24","24","Habito: saprófita","CRI003209","CRI003209",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:32-03","UNESC","CRI","13878","PreservedSpecimen","Plantae","Gentianaceae","Voyria","aphylla","Voyria aphylla","(Jacq.) Pers.","Alexandre Medeiros","Alexandre Medeiros","2018","07","09","Brasil","Santa Catarina","Balneário Camboriú","Laranjeiras APA Costa Brava","-48.593333","-27.006944","48º35'36''W","27º0'25''S",NA,NA,"Flor amarela Habitat: Terrestre Habito: Herbácea","CRI012489",NA,"2018","07","09","979",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:32-03","UNESC","CRI","11500","PreservedSpecimen","Plantae","Gentianaceae","Voyria","aphylla","Voyria aphylla","(Jacq.) Pers.","Vanilde C. Zanette","Aline Votri Guislon; Humberto de B. M; Altamir R. A e Vanilde C. Z.","2014","04","17","Brasil","Santa Catarina","Urussanga","Rio Deserto.","-49.373611","-28.542222","49º22'25''W","28º32'32''S",NA,NA,"Floresta Ombrófila Densa Submontana Habitat: mata ciliar Habito: saprófita","CRI003207","CRI003207","2014","04","17","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02341929","PreservedSpecimen","Plantae","Gentianaceae","Voyria","aphylla","Voyria aphylla","(Jacq.) Pers.",NA,"G. T. Prance","1973","09","15","Brazil","Amazonas",NA,"Rio Cuieras, 2 Km from Rio Cuieras at 2 Km. below mouth of Rio Branquinho.","-60.3208","-2.5636",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2530840' target='other'> <mi>dwc_moreinfo</mi></a>","NY02341929","NY02341929_01",NA,NA,NA,"17978","Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","2109335","PreservedSpecimen","Plantae","Gentianaceae","Voyria","aphylla","Voyria aphylla","(Jacq.) Pers.",NA,"G. T. Prance","1973","08","08","Brazil","Amazonas",NA,"Reserva Ducke, Igarapé Acará.","-59.9292","-2.9519",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2288976' target='other'> <mi>dwc_moreinfo</mi></a>","NY02109335","NY02109335_01",NA,NA,NA,"18737","Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","970495","PreservedSpecimen","Plantae","Gentianaceae","Voyria","aphylla","Voyria aphylla","(Jacq.) Pers.",NA,"Y. E. J. Mexia","1930","02","22","Brazil","Minas Gerais","Viçosa","Agricultural College lands; crest of hill northwest of main buildings.","-42.868031","-20.7613428",NA,NA,"700","700","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1049433' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970495","NY00970495_01",NA,NA,NA,"4384","Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","2109340","PreservedSpecimen","Plantae","Gentianaceae","Voyria","aphylla","Voyria aphylla","(Jacq.) Pers.",NA,"G. T. Prance","1973","08","10","Brazil","Amazonas",NA,"Reserva Campina, Manaus-Caracarai km 62","-60.0274569","-2.4369262",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2288981' target='other'> <mi>dwc_moreinfo</mi></a>","NY02109340","NY02109340_01",NA,NA,NA,"18741","Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","644300","PreservedSpecimen","Plantae","Gentianaceae","Voyria","aphylla","Voyria aphylla","(Jacq.) Pers.","P. J. M. Maas","S. E. Clemants","1982","06","12","Peru","Amazonas",NA,"Ca. 2 km S of Rodríguez de Mendoza",NA,NA,NA,NA,"1737.4","1737.4","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=155102' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644300",NA,NA,NA,NA,"2020","Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","2109348","PreservedSpecimen","Plantae","Gentianaceae","Voyria","aphylla","Voyria aphylla","(Jacq.) Pers.",NA,"G. T. Prance","1969","01","24","Brazil","Roraima",NA,"Summit of Serra da Lua","-60.208","2.467",NA,NA,"1400","1400","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2288990' target='other'> <mi>dwc_moreinfo</mi></a>","NY02109348","NY02109348_01",NA,NA,NA,"9411","Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02341926","PreservedSpecimen","Plantae","Gentianaceae","Voyria","aphylla","Voyria aphylla","(Jacq.) Pers.",NA,"G. T. Prance","1975","07","01","Brazil","Amazonas",NA,"Estrada Terra Preta Km 2, branch of Manaus - Manacapuru 5 Km from Cacau Pirêra.","-60.1158","-3.1794",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2530849' target='other'> <mi>dwc_moreinfo</mi></a>","NY02341926","NY02341926_01",NA,NA,NA,"23529","Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","2109346","PreservedSpecimen","Plantae","Gentianaceae","Voyria","aphylla","Voyria aphylla","(Jacq.) Pers.",NA,"G. T. Prance","1984","02","25","Brazil","Amazonas","Barcelos","Plateau of northern massif of Serra Aracá. Vicinity of S. River on S part of N. Serra.","-63.3745909","0.9016571",NA,NA,"1200","1400","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2288988' target='other'> <mi>dwc_moreinfo</mi></a>","NY02109346","NY02109346_01",NA,NA,NA,"29259","Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","2109336","PreservedSpecimen","Plantae","Gentianaceae","Voyria","aphylla","Voyria aphylla","(Jacq.) Pers.",NA,"G. T. Prance","1973","09","14","Brazil","Amazonas",NA,"Rio Cuieras, 2 Km from Rio Cuieras at 2 Km. below mouth of Rio Branquinho.","-60.3208","-2.5636",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2288977' target='other'> <mi>dwc_moreinfo</mi></a>","NY02109336","NY02109336_01",NA,NA,NA,"17911","Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","970494","PreservedSpecimen","Plantae","Gentianaceae","Voyria","aphylla","Voyria aphylla","(Jacq.) Pers.",NA,"H. S. Irwin","1966","02","20","Brazil","Distrito Federal","Brasília","Ca. 25 km S.W. of Brasília","-48.0816667","-15.94305",NA,NA,"1000","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1049414' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970494","NY00970494_01",NA,NA,NA,"13071","Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","644302","PreservedSpecimen","Plantae","Gentianaceae","Voyria","aphylla","Voyria aphylla","(Jacq.) Pers.","M. H. Nee","T. J. Killeen","1986","04","17","Bolivia","Santa Cruz","Ñuflo de Chávez","Serrania San Lorenzo 10 km W of San Javier","-62.62","-16.25",NA,NA,"500","900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=155094' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644302",NA,NA,NA,NA,"1973","Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","2109339","PreservedSpecimen","Plantae","Gentianaceae","Voyria","aphylla","Voyria aphylla","(Jacq.) Pers.",NA,"K. Kubitzki","1974","03","30","Brazil","Amazonas",NA,"Rio Cuieiras, farm of Sr. Nemerio","-60.3942275","-2.7025996",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2288980' target='other'> <mi>dwc_moreinfo</mi></a>","NY02109339","NY02109339_01",NA,NA,NA,"21700","Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
