"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","class","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","relatedCatalogItem","coordinatePrecision","geoFlag","individualCount","minimumElevationInMeters","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","01203344","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Rhodostemonodaphne","parvifolia","Rhodostemonodaphne parvifolia","Madriñán","H. H. van der Werff","W. A. Rodrigues","7390","1966","01","12","South America","Brazil","Amazonas","Manaus","Reserva Florestal Ducke, Q.7, ao lado da árvore no. 997","-59.9281883","-2.9548699","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1305418' target='other'> <mi>dwc_moreinfo</mi></a>","NY01203344","NY01203344_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01203346","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Rhodostemonodaphne","parvifolia","Rhodostemonodaphne parvifolia","Madriñán","S. R. Madriñán","W. A. Rodrigues","5763","1964","04","15","South America","Brazil","Amazonas","Manaus","Reserva Florestal Ducke, depois do igarapé ao lado direito da estrada","-59.9281883","-2.9548699","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1305416' target='other'> <mi>dwc_moreinfo</mi></a>","NY01203346","NY01203346_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01203347","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Rhodostemonodaphne","parvifolia","Rhodostemonodaphne parvifolia","Madriñán","S. R. Madriñán","W. A. Rodrigues","5649","1963","12","31","South America","Brazil","Amazonas","Manaus","Reserva Florestal Ducke, próximo a árvore 2868.","-59.9281883","-2.9548699","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1323239' target='other'> <mi>dwc_moreinfo</mi></a>","NY01203347","NY01203347_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01203343","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Rhodostemonodaphne","parvifolia","Rhodostemonodaphne parvifolia","Madriñán","A. Vicentini","P. A. C. L. Assunção","327","1996","07","02","South America","Brazil","Amazonas",NA,"Reserva Florestal Ducke, Manaus-Itacoatiara, km 26. Próximo a estação meteorológica.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1305407' target='other'> <mi>dwc_moreinfo</mi></a>","NY01203343","NY01203343_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01203345","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Rhodostemonodaphne","parvifolia","Rhodostemonodaphne parvifolia","Madriñán","S. R. Madriñán","W. A. Rodrigues","5717","1964","02","20","South America","Brazil","Amazonas","Manaus","Reserva Florestal Ducke, Q.I, próximo a árvore no. 128","-59.9281883","-2.9548699","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1305412' target='other'> <mi>dwc_moreinfo</mi></a>","NY01203345","NY01203345_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","76885","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Rhodostemonodaphne","parvifolia","Rhodostemonodaphne parvifolia","Madriñán",NA,"W. A. Rodrigues","5435","1963","08","15","South America","Brazil","Amazonas",NA,"Manaus, Reserva Florestal Ducke, bosque de Palmeiras (P.381)","-59.9281883","-2.9548699","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=111622' target='other'> <mi>dwc_moreinfo</mi></a>","NY00076885","NY00076885_01","holotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01203341","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Rhodostemonodaphne","parvifolia","Rhodostemonodaphne parvifolia","Madriñán","S. R. Madriñán","G. T. Prance","2148","1966","09","01","South America","Brazil","Amazonas","Manaus","Reserva Florestal Ducke km 25","-59.9281883","-2.9548699","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1305409' target='other'> <mi>dwc_moreinfo</mi></a>","NY01203341","NY01203341_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01203342","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Rhodostemonodaphne","parvifolia","Rhodostemonodaphne parvifolia","Madriñán","S. R. Madriñán","G. T. Prance","2148","1966","09","01","South America","Brazil","Amazonas","Manaus","Reserva Florestal Ducke km 25","-59.9281883","-2.9548699","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1418185' target='other'> <mi>dwc_moreinfo</mi></a>","NY01203342","NY01203342_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 09:36:54-03","NBC","NL-BOTANY","U.1417974","PreservedSpecimen","Plantae",NA,"Laurales","Lauraceae","Rhodostemonodaphne","parvifolia","Rhodostemonodaphne parvifolia","Madriñán","Vicentini A","Assunção PACL",NA,"1996","07","02","Southern America","Brazil","Amazonas",NA,NA,"-59.966667","-2.883333",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1417974 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1417974","NL-U1417974",NA,"Magnoliopsidae","1997","07","01","-59.966667","-2.883333","U 0036405",NA,NA,NA,NA,NA
"10","2021-03-01 16:32:49-03","UNICAMP","UEC","102597","S","Plantae","Magnoliopsida",NA,"Lauraceae","Rhodostemonodaphne","parvifolia","Rhodostemonodaphne parvifolia","Madriñán","Vicentini, A","Assunção, PACL","327","1996","07","02",NA,"Brazil","Amazonas","Manaus","Próximo a estação meteorológica. Km 26","-59.966667","-2.883333",NA,"Árvore. Tronco circular escuro com manchas de líquens esbranquiçadas e verdes. Lenticelas espaçadas ao corte casca morta despreende em pequenas tiras finas e irregulares; casca viva amarela; alburno amarelo-pardacento; odor suave agrad","UEC066955","UEC066955",NA,NA,"1997","07",NA,"-59.966667","-2.883333",NA,NA,NA,NA,NA,NA
"11","2020-12-21 16:31:25-03","MBM","MBM","319410","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Rhodostemonodaphne","parvifolia","Rhodostemonodaphne parvifolia","Madriñán","van der Werff, H.","Rodrigues, W.; Osmarino; Osmarino","8273","1966","12","03","Southern America","Brazil","Amazonas","Manaus","Reserva Florestal Ducke","-60.0250015258789","-3.10193991661072",NA,"Árvore de 8m por 6cm de diâmetro; fruto ainda verde.; Mata de terra firme, argilosa.","MBM319410","MBM319410",NA,NA,"1996",NA,NA,NA,NA,NA,"138090","auto",NA,NA,NA
"12","2020-12-21 16:31:25-03","MBM","MBM","319408","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Rhodostemonodaphne","parvifolia","Rhodostemonodaphne parvifolia","Madriñán","Madriñán, S.","Rodrigues, W.; Loureiro, A.; Loureiro, A.","5763","1964","04","15","Southern America","Brazil","Amazonas","Manaus","Reserva Florestal Ducke, Depois do igarapé ao lado direito da estrada.","-60.0250015258789","-3.10193991661072",NA,"Arvoreta de 4m x 5cm de diâmetro, frutos roxos quando maduros, cálice vermelho.; Terra firme, solo argiloso.","MBM319408","MBM319408",NA,NA,"1996",NA,NA,NA,NA,NA,"138090","auto",NA,NA,NA
"13","2015-08-13 11:26:00-03","MO","MOBOT","100850277","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Rhodostemonodaphne","parvifolia","Rhodostemonodaphne parvifolia","Madriñán","Madriñán, S. R.","William A. Rodrigues|O.P. Monteiro","Rodrigues 5717","1964","2","20","South America","Brazil","Amazonas","Manaus","Reserva Florestal Adolfo Ducke: Reserva Florestal Ducke, Q.I. próximo a árvore no. 128.","-60.0250015258789","-3.10193991661072",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"138090","auto","1",NA,NA
"14","2008-05-27 22:02:00-03","MO","MOBOT","1703465","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Rhodostemonodaphne","parvifolia","Rhodostemonodaphne parvifolia","Madriñán","Henk van der Werff (MO)","M.A.D. de Souza|et al.","Souza 281","1996","12","12","South America","Brazil","Amazonas",NA,"Reserva Florestal Ducke, manaus-Itacoatiara, km 26.","-59.96666","-2.88333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2008-05-27 22:02:00-03","MO","MOBOT","1163467","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Rhodostemonodaphne","parvifolia","Rhodostemonodaphne parvifolia","Madriñán","Henk van der Werff (MO)","Apparicio P. Duarte","Duarte 6881","1962","9","4","South America","Brazil","Amazonas",NA,"Manáus - Reserva Ducke.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA
"16","2014-04-05 06:07:00-03","MO","MOBOT","1502895","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Rhodostemonodaphne","parvifolia","Rhodostemonodaphne parvifolia","Madriñán","A. Vicentini","P. A. Costa Lima Assunção","Assunção 327","1996","7","2","South America","Brazil","Amazonas",NA,"Manaus, Reserva Florestal Ducke. Próximo a estacao meterológica. Floresta de Platô.","-59.96944","-2.88611",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70.00000000",NA
"17","2011-02-23 16:27:00-03","MO","MOBOT","1703468","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Rhodostemonodaphne","parvifolia","Rhodostemonodaphne parvifolia","Madriñán","H. van der Werff (MO)","William A. Rodrigues|Osmarino","Rodrigues 8273","1966","12","3","South America","Brazil","Amazonas",NA,"Reserva Florestal Ducke; mata de terra firme; solo argiloso.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2008-05-27 22:02:00-03","MO","MOBOT","1703471","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Rhodostemonodaphne","parvifolia","Rhodostemonodaphne parvifolia","Madriñán","H. van der Werff (MO)","Ghillean T. Prance|et al.","Prance 2148","1966","9","1","South America","Brazil","Amazonas",NA,"Manaus - Itacoatiara Highway. Reserva Florestal Ducke.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2012-05-24 05:04:00-03","MO","MOBOT","54856","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Rhodostemonodaphne","parvifolia","Rhodostemonodaphne parvifolia","Madriñán","H. van der Werff (MO)","Alwyn H. Gentry|Juan Revilla","Gentry 69291","1990","1","19","South America","Brazil","Amazonas",NA,"Ducke Forest, Km 26 Manaus-Itacoatiara Hwy.","-59.96666","-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","80.00000000","362"
"20","2015-08-13 11:23:00-03","MO","MOBOT","100850273","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Rhodostemonodaphne","parvifolia","Rhodostemonodaphne parvifolia","Madriñán","Vicentini, A.","William A. Rodrigues","Rodrigues 5379","1963","7","17","South America","Brazil","Amazonas",NA,"Reserva Florestal Adolfo Ducke; Reserva Florestal Ducke, bosque de palmeiras (.350).","-59.9666667","-2.8833333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"21","2014-04-05 06:07:00-03","MO","MOBOT","1703470","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Rhodostemonodaphne","parvifolia","Rhodostemonodaphne parvifolia","Madriñán","A. Vicentini","P. A. Costa Lima Assunção|C. Fernandes da Silva","Assunção 589","1997","8","5","South America","Brazil","Amazonas",NA,"Reserva Florestal Ducke.","-59.96666","-2.88333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
