"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","158618","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Aspilia","almasensis","Aspilia almasensis","D.J.N.Hind","isotype","R. M. Harley","27287","1988","12","17","South America","Brazil","Bahia","Rio de Contas","Pico das Almas. Vertente leste. Campo do Queiroz","-41.95","-13.53","1500","1500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=628200' target='other'> <mi>dwc_moreinfo</mi></a>","NY00158618","NY00158618_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02629628","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Aspilia","almasensis","Aspilia almasensis","D.J.N.Hind",NA,"F. A. Santana","90","2011","12","20","South America","Brazil","Bahia","Licínio de Almeida","Serra Geral, Serra do Saco da Onça.","-42.5739","-14.7408","980",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2893031' target='other'> <mi>dwc_moreinfo</mi></a>","NY02629628","NY02629628_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-02-18 09:28:44-03","UNESP-IBB","BOTU","17630","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Aspilia","almasensis","Aspilia almasensis","D.J.N. Hind",NA,"Castilho, R.M.M.","81","1989","10","09",NA,"Brasil","Minas Gerais","Lagoa Santa",NA,NA,NA,NA,NA,NA,"Flores amarelas, estames marron","BOTU017630","BOTU017630","Magenta, M.A.G.","1999","02","9999","9999",NA,NA,NA,NA,NA
"4","2019-10-09 11:09:48-03","UFBA","ALCB","93145","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Aspilia","almasensis","Aspilia almasensis","D.J.N.Hind",NA,"Gomes, FS; Guedes, ML; Guaré, F; Silveira, ER; et al.","475","2009","12","19","Southern America","Brasil","Bahia","Piatã","Chapada Diamantina, Estrada para Inúbia","-41.806667","-13.069722","1375","1375",NA,"de ca 1 m de altura. Folhas lineares, vilosas. Inflorescência capítulos heteromorfos, flores amarelas.",NA,NA,"Roque, N","2010","02","-41.806667","-13.069722",NA,NA,NA,NA,NA
"5","2019-10-09 11:09:48-03","UFBA","ALCB","033500","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Aspilia","almasensis","Aspilia almasensis","D.J.N.Hind",NA,"Harley, RM; Hind, DJN; Bautista, HP","PCD&nf;4284","1996","11","15","Southern America","Brasil","Bahia","Rio de Contas","Chapada Diamantina, Pico do Itabira","-41.884167","-13.368611",NA,NA,NA,"ca. 80 cm alt. Folhas cart, estrigosas, face abaxial verde-acinzentada, adaxial verde, margens reflexas. Flores do raio amarelas, flores do disco amarelo-forte; anteras escuras, talvez negras, ramos do estilete amarelos. Frequente.",NA,NA,"Hind, DJN","1996","11","-41.884167","-13.368611",NA,NA,NA,NA,NA
"6","2019-10-09 11:09:48-03","UFBA","ALCB","033743","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Aspilia","almasensis","Aspilia almasensis","D.J.N.Hind",NA,"Harley, RM; Bautista, HP; Hind, DJN; Roque, N","PCD&nf;4463","1996","11","18","Southern America","Brasil","Bahia","Rio de Contas","Chapada Diamantina, Serra Marsalina (Serra da antena de TV)","-41.831944","-13.5925","1020","1020",NA,"1,0 m, muito ramificado no ápice, ramos jovens verde-claros. Folhas discolores, face abaxial verde-claro, adaxial verde-escuro. Filárias amarelo-esverdeadas na parte inferior verde, até o ápice, nervura mediana roxa. Flores do raio amarelo-claro, do",NA,NA,"Roque, N","2003",NA,"-41.831944","-13.5925",NA,NA,NA,NA,NA
"7","2019-10-09 11:09:48-03","UFBA","ALCB","033796","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Aspilia","almasensis","Aspilia almasensis","D.J.N.Hind",NA,"Saar, E; Passos Júnior, LA; Guedes, ML; Stannard, B; Atkins, S","PCD4888","1997","02","02","Southern America","Brasil","Bahia","Rio de Contas","Chapada Diamantina, Serra do Marcelino","-41.834722","-13.595278","1170","1170",NA,"0,80 m. Brácteas involucrais verdes. Flores amarelas. Frequente.",NA,NA,"Roque, N","2003",NA,"-41.834722","-13.595278",NA,NA,NA,NA,NA
"8","2019-10-09 11:09:48-03","UFBA","ALCB","033873","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Aspilia","almasensis","Aspilia almasensis","D.J.N.Hind",NA,"Bautista, HP; Hind, DJN; Harley, RM; Roque, N","PCD&nf;4361","1996","11","16","Southern America","Brasil","Bahia","Rio de Contas","Chapada Diamantina, Pico do Itobira","-41.884167","-13.368611","1800","1800",NA,"0,80 m, xilopódio, ramos castanhos. Folhas com face abaxial verde-amareladas, adaxial amarelo-forte; anteras pretas, estilete amarelo-claro, ramos do estilete amarelo-alaranjados. Ocasional.",NA,NA,"Roque, N","2003",NA,"-41.884167","-13.368611",NA,NA,NA,NA,NA
"9","2019-10-09 11:09:48-03","UFBA","ALCB","058495","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Aspilia","almasensis","Aspilia almasensis","D.J.N.Hind",NA,"Turma de Sistemática de Fanerógamas","s/n","2000","12","02","Southern America","Brasil","Bahia","Rio de Contas","Chapada Diamantina","-41.938056","-13.520278","1489","1489",NA,"Ca. 1 m alt. Folhas verde-escuras. Flores com corola amarela. Inflorescência com brácteas verdes. Obs.: Foi encontrado em déptero (agente polinizador).; Solo argiloso e profundo.",NA,NA,"Roque, N","2003",NA,"-41.938056","-13.520278",NA,NA,NA,NA,NA
"10","2019-10-09 11:09:48-03","UFBA","ALCB","105771","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Aspilia","almasensis","Aspilia almasensis","D.J.N.Hind",NA,"Ogasawara, HA; Stadnik, A; Borges, RL; Hurbath, F","291","2013","01","21","Southern America","Brasil","Bahia","Licínio de Almeida","Riacho de areia. Subida.","-42.553333","-14.754444","1036","1036",NA,"ca. 20-60 cm alt. Folhas discolores. Brácteas involucrais verdes de ápice mais escuros. Corolas e ramos do estilete amarelos, anteras negras.",NA,NA,"Alves, M","2013","01","-42.553333","-14.754444",NA,NA,NA,NA,NA
"11","2019-10-09 11:09:48-03","UFBA","ALCB","105819","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Aspilia","almasensis","Aspilia almasensis","D.J.N.Hind",NA,"Ogasawara, HA; Stadnik, A; Borges, RL; Hurbath, F","315","2013","01","22","Southern America","Brasil","Bahia","Licínio de Almeida","Xaxá. Trilha para gruta.","-42.544722","-14.654167","942","942",NA,"ca. 1,2m alt. Folhas discolores. Brácteas involucrais verdes. Corolas e ramos do estilete amarelos. Anteras negras.",NA,NA,"Alves, M","2013","01","-42.544722","-14.654167",NA,NA,NA,NA,NA
"12","2019-10-09 11:09:48-03","UFBA","ALCB","105832","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Aspilia","almasensis","Aspilia almasensis","D.J.N.Hind",NA,"Ogasawara, HA; Stadnik, A; Borges, RL; Hurbath, F","319","2013","01","22","Southern America","Brasil","Bahia","Licínio de Almeida","Xaxá. Trilha para o Cachoeirão.","-42.546389","-14.693056","885","885",NA,"ca. 40 cm de alt. Folhas discolores. Brácteas involucrais verdes a marrons. Capítulos em fruto. Pápus creme.",NA,NA,"Alves, M","2013","01","-42.546389","-14.693056",NA,NA,NA,NA,NA
"13","2019-10-09 11:09:48-03","UFBA","ALCB","105840","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Aspilia","almasensis","Aspilia almasensis","D.J.N.Hind",NA,"Ogasawara, HA; Stadnik, A; Borges, RL; Hurbath, F","326","2013","01","23","Southern America","Brasil","Bahia","Licínio de Almeida","Caminho para o Cachoeirão.","-42.546389","-14.693056","885","885",NA,"ca. 40cm alt. Folhas discolores. Brácteas involucrais verdes. Corolas e ramos do estilete amarelos. Anteras negras.",NA,NA,"Alves, M","2013","01","-42.546389","-14.693056",NA,NA,NA,NA,NA
"14","2019-10-09 11:09:48-03","UFBA","ALCB","60170","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Aspilia","almasensis","Aspilia almasensis","D.J.N.Hind",NA,"Harley, RM; Lewis, GP; Mello-Silva, R de; Pirani, JR; Stannard, B; Furlan, A","7375","1984","12","21","Southern America","Brasil","Bahia","Piatã","Chapada Diamantina, Próximo à Serra do gentio. 'Gerais', entre Piatã e Serra da Tromba","-41.766667","-13.15",NA,NA,NA,"Até 40 cm. Flores amarelas. Anteras negras.",NA,NA,"Roque, N","2003",NA,"-41.766667","-13.15",NA,NA,NA,NA,NA
"15","2019-10-09 11:09:48-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Aspilia","almasensis","Aspilia almasensis","D.J.N.Hind",NA,"Turma de Sistemática de Fanerógamas","s/n","2000","12","02","Southern America","Brasil","Bahia","Rio de Contas","Chapada Diamantina","-41.938056","-13.520278","1489","1489",NA,"Com aproximadamente 1,00m de altura. Folhas verde-escuras. Flores com corola amarela. Inflorescência com brácteas verdes.; Solo argiloso e profundo.",NA,NA,"Roque, N","2003",NA,"-41.938056","-13.520278",NA,NA,NA,NA,NA
"16","2019-10-09 11:09:48-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Aspilia","almasensis","Aspilia almasensis","D.J.N.Hind",NA,"Turma de Sistemática de Fanerógamas","s/n","2000","12","02","Southern America","Brasil","Bahia","Rio de Contas","Chapada Diamantina","-41.938056","-13.520278","1489","1489",NA,"Com aproximadamente 1,00m de altura. Folhas verde-escuras. Flores com corola amarela. Inflorescência com brácteas verdes.; Solo argiloso e profundo.",NA,NA,"Roque, N","2003",NA,"-41.938056","-13.520278",NA,NA,NA,NA,NA
"17","2019-10-09 11:09:48-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Aspilia","almasensis","Aspilia almasensis","D.J.N.Hind",NA,"Harley, RM; Pirani, JR; Stannard, B; Cordeiro, I; Kameyama, C","24419","1987","02","19","Southern America","Brasil","Bahia","Rio de Contas","Chapada Diamantina, Pico das Almas","-41.8","-13.566667","1400","1400",NA,"Ereto até ca. 70cm de altura. Brácteas externas verde-claras, com ápice acastanhado. Flores amarelas com anteras castanhas.",NA,NA,"Roque, N","2003",NA,"-41.8","-13.566667",NA,NA,NA,NA,NA
