"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","country","stateProvince","individualCount","occurrenceRemarks","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","year","month","day","recordNumber","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","barcode","imagecode","verbatimLongitude","verbatimLatitude","relatedCatalogItem","typeStatus","dayIdentified"
"1","2019-06-10 10:10:47-03","FZB-BH","CVJBFZB","640","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Portea","nana","Portea nana","Leme & H.Luther","Elton. C. M. Leme","2009","05","Luiz Felipe Nevares de Carvalho;","Brasil","Bahia","2","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:47-03","FZB-BH","CVJBFZB","417","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Portea","nana","Portea nana","Leme & H.Luther","Elton. C. M. Leme","2009","05","Jardim ;","Brasil","Bahia","1","254","Una","Estrada Santa Luzia-Uma, km 11,3 a E da sede do município. Serra da Onça, 4,5 km do ramal da estrada","-39.0752983093262","-15.2932996749878","36070","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:47-03","FZB-BH","CVJBFZB","310","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Portea","nana","Portea nana","Leme & H.Luther","Elton. C. M. Leme","2009","05","Elton M. C. Leme; Pedro Nahoum; A. Amorim; L. A. Mattos; Jones Caldas da Silva","Brasil","Bahia","1","254","Una","Estrada São José-Una, Km 9","-39.0752983093262","-15.2932996749878","36070","auto","1995","04","07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:47-03","FZB-BH","CVJBFZB","307","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Portea","nana","Portea nana","Leme & H.Luther","Elton. C. M. Leme","2011","08","Elton M. C. Leme; Pedro Nahoum; A. Amorim; L. A. Mattos; Jones Caldas da Silva","Brasil","Bahia","1","254","Una","Estrada São José-Una, Km 9","-39.0752983093262","-15.2932996749878","36070","auto","1995","04","07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:47-03","FZB-BH","CVJBFZB","696","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Portea","nana","Portea nana","Leme & H.Luther","Elton. C. M. Leme","2011","08","A. Amorim;","Brasil","Bahia","1","254","Arataca","Serra Peito de Moça, RPPN Caminho das Pedras","-39.4143981933594","-15.2632999420166","19859","auto",NA,NA,NA,"Amorim6597",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","376886","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Portea","nana","Portea nana","Leme & H.Luther","J. Nunes",NA,NA,"J. G. Jardim","Brazil","Bahia",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=174024' target='other'> <mi>dwc_moreinfo</mi></a>","Santa Luzia","Estrada Santa Luzia/Una, entrada a 11,3 km a E da sede do município. Serra da Onça, ca. 4,5 km da entrada","-39.2569077","-15.3417536",NA,NA,"1996","07","23","834","South America","510","510","sheet","NY00376886","NY00376886_01",NA,NA,NA,NA,NA
"7","2020-07-23 12:01:00-03","CEPLAC","CEPEC","95182","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Portea","nana","Portea nana",NA,"T. Fontoura",NA,NA,"A. M. Amorim","Brasil","Bahia",NA,NA,"SÃO JOSÉ DA VITÓRIA","Estrada São José/Una. Ramal a 1Km a partir da BR-101. Coletas a 3Km a partir da entrada do ramal em acesso a Pedra Branca.","-39.32","-15.096667",NA,NA,"2000","06","27","3543",NA,NA,NA,NA,NA,NA,"39W19'12","15S5'48","30/09/2010",NA,NA
"8","2020-07-23 12:01:00-03","CEPLAC","CEPEC","114719","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Portea","nana","Portea nana",NA,"E.M.C.Leme",NA,NA,"Amorim, A. M.","Brasil","Bahia",NA,"Em cultivo no viveiro de E. Leme.","arataca","RPPN Caminho das Pedras. Serra do Peito-de-Moça, entrada a 9,5km no Assent. Santo Antônio, mais 8,9km até a sede da RPPN. Trilha de acesso ao Mormaço. Ca.","-39.339444","-15.174167",NA,NA,"2006","11","25","6597",NA,"400","400",NA,NA,NA,"39W20'22","15S10'27",NA,NA,NA
"9","2020-07-23 12:01:00-03","CEPLAC","CEPEC","70265","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Portea","nana","Portea nana",NA,"E. M. C. Leme",NA,NA,"J. G. Jardim","Brasil","Bahia",NA,NA,"santa luzia","Sta. Luzia/Una, entrada a 11,3Km a E da sede do municipio. Serra da Onça. Ca. 4,5Km da entrada.","-39.3342018127441","-15.4294004440308","33804","auto","1996","07","23","834",NA,NA,NA,NA,NA,NA,NA,NA,"21/09/2005","Paratipo",NA
"10","2021-02-08 12:50:46-03","UFRGS","ICN","181216","S","Plantae","Monocotyledon",NA,"Bromeliaceae","Portea","cf. nana","Portea cf. nana","Leme & H.Luther","Maciel, JR; Nogueira, FN","2014","11","Nogueira, FM; Pessoa, EM; Amorim, BS; Maciel, JR","Brasil","PE",NA,"epífita, rupícula","Jaqueira","RPPN, Usina Frei Caneca","-35.843611","-8.713056",NA,NA,"2014","11","26","s.n.","América do Sul","69","69",NA,"ICN00030089",NA,"-35.843611","-8.713056",NA,NA,"26"
