"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","typeStatus","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","1145283","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Araeococcus","alvimii","Araeococcus alvimii","L.B.Sm. & Read","P. J. Edwards","2345","1987","02","14","South America","Brazil","Bahia","Ilhéus","49 km S of Ilheús (Pontal) on Olivença - Una road.","-39.0492","-14.7892","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1309255' target='other'> <mi>dwc_moreinfo</mi></a>","NY01145283","NY01145283_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","585818","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Lymania","alvimii","Lymania alvimii","(L.B.Sm. & Read) Read","J. G. Jardim","3024","2000","05","01","South America","Brazil","Bahia","Una","Reserva Biológica de Una, lado W. Rod. Una/Sao José, entrada ca. 26 km de Una para Vila Brasil, ca. 10 km da entrada","-39.1511","-15.1794","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=28914' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585818","NY00585818_01","H. E. Luther",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","376831","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Lymania","alvimii","Lymania alvimii","(L.B.Sm. & Read) Read","A. M. Amorim","1077","1993","03","08","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-leao (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una. Estrada paralela ao rumo da reserva","-39.08","-15.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=28913' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376831","NY00376831_01","H. E. Luther",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","884808","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Lymania","alvimii","Lymania alvimii","(L.B.Sm. & Read) Read","A. M. Amorim","1205","1993","04","14","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-leão (IBAMA). Entrada no km 46 da Rod. BA-001. Ilhéus/Una. Picada paralela ao rumo da reserva.","-39.08","-15.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=967547' target='other'> <mi>dwc_moreinfo</mi></a>","NY00884808","NY00884808_01","H. E. Luther",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-29 21:21:00-03","NY","NYBG","884807","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Lymania","alvimii","Lymania alvimii",NA,"A. M. Amorim","1392","1993","04","14","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-leão (IBAMA). Entrada no km 46 da Rod. BA-001. Ilhéus/Una. Coletas efetuadas na Picada Paralela do Rumo da Reserva.","-39.08","-15.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=967543' target='other'> <mi>dwc_moreinfo</mi></a>","NY00884807","NY00884807_01","H. E. Luther",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02103722","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Lymania","alvimii","Lymania alvimii","(L.B.Sm. & Read) Read","A. M. V. de Carvalho","4092",NA,NA,NA,"South America","Brazil","Bahia","Una","Reserva Biológica do Mico-leão (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una. 8-10 Kms na estrada que margeia ao Rio Maruim. Picada paralela ao rio Maruim.","-39.08","-15.15","sheet","Site: R <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=246236' target='other'> <mi>dwc_moreinfo</mi></a>","NY02103722","NY02103722_01","H. E. Luther",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02104351","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Lymania","alvimii","Lymania alvimii","(L.B.Sm. & Read) Read","J. G. Jardim","27",NA,NA,NA,"South America","Brazil","Bahia","Una","Reserva Biológica do Mico-leao (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus-Una","-39.1326088","-15.1730243","sheet","Site: R <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=246233' target='other'> <mi>dwc_moreinfo</mi></a>","NY02104351","NY02104351_01","H. E. Luther",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","884806","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Lymania","alvimii","Lymania alvimii","(L.B.Sm. & Read) Read","A. M. Amorim","1203","1993","04","14","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-leão (IBAMA). Entrada no km 46 da Rod. BA-001. Ilhéus/Una. Picada paralela ao rumo da reserva.","-39.08","-15.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=967539' target='other'> <mi>dwc_moreinfo</mi></a>","NY00884806","NY00884806_01","H. E. Luther",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-06-29 11:29:40-03","UFRJ","RFA","32400","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Lymania","alvimii","Lymania alvimii","(L.B.Sm. & R.W.Read) R.W.Read","Read",NA,NA,NA,NA,NA,"Brasil","Bahia","Bahia","Floresceu em cultivo em 22/VII/2004. Material do Marie Selby Garden número 1989-0280A",NA,NA,NA,NA,"RFA52200",NA,"L. O. F. de Sousa","2004","08","06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-11-19 14:05:21-03","UFRPE","PEUFR","1911","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Lymania","alvimii","Lymania alvimii","(L.B. Sm. & Read) Read","I. Pontual","308","1966","11","29",NA,"Brasil","Alagoas",NA,"Entre União dos Palmares e Ibateguara",NA,NA,NA,"Planta epífita","PEUFR001911",NA,"G.M. Sousa","2000","06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
