"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00898435","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Syngonanthus","itambeensis","Syngonanthus itambeensis","Silveira","L. Echternacht","N. Hensold","596","1982","04","04","South America","Brazil","Minas Gerais","Serro","Along foot trail from Sto. Antônio do Itambé to Pico Itambé.","-43.3306","-18.3944","1700","1700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=970524' target='other'> <mi>dwc_moreinfo</mi></a>","NY00898435","NY00898435_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00103690","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Syngonanthus","pulchellus","Syngonanthus pulchellus","Moldenke","H. N. Moldenke","W. R. Anderson","35843","1972","02","12","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço; Eastern slopes of Pico do Itambé",NA,NA,"1550","1550","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=71348' target='other'> <mi>dwc_moreinfo</mi></a>","NY00103690","NY00103690_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:06:58-03","ESALQ","ESA","41249","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Eriocaulaceae","Syngonanthus","itambeensis","Syngonanthus itambeensis",NA,"Andrade, E.L.","Souza, V.C.; Souza, J.P.; Mazine, F.F.; Romão, G.O.","21068.0","1998","04","07",NA,"Brasil","Minas Gerais","Santo Antônio do Itambé",NA,"-43.3067016601562","-18.465799331665",NA,NA,NA,NA,"ESA041249",NA,NA,"2009","19014","auto",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-01 16:19:48-03","UNICAMP","UEC","156347","S","Plantae","Liliopsida",NA,"Eriocaulaceae","Syngonanthus","itambeensis","Syngonanthus itambeensis","Silveira","Trovó, MLO; Echternacht, LA","Souza, VC; Souza, JP; Capellari Jr, L; Elias, SI; Foster, W","21068","1998","04","07",NA,"Brazil","Minas Gerais","Santo Antônio do Itambé","Pico do Itambé, Campo rupestre.","-43.317194","-18.401556","1500","1500",NA,"Erva; capítulos creme.","UEC062037","UEC062037",NA,"2009",NA,NA,"08","26","-43.317194","-18.401556",NA,NA,NA
"5","2016-03-09 18:11:27-03","MNHN","RECOLNAT_MNHN_P","P00847893","PreservedSpecimen",NA,NA,NA,"Eriocaulaceae","Syngonanthus","itambeensis","Syngonanthus itambeensis","Silveira",NA,"Echternacht, L.|Bastos, T.V.",NA,"2012","4","30",NA,"Brasil","Minas Gerais","São Gonçalo do Rio Preto","Parque Estadual do Rio Preto. Chapada do Couto. Subida para o Pico Dois Irmãos, platô na base do Pico.","-43.31417","-18.20861","1636",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00847893' target='other'> <mi>dwc_moreinfo</mi></a>","P00847893","P00847893_01",NA,NA,NA,NA,NA,NA,NA,NA,"2255",NA,NA
"6","2013-06-20 10:16:22-03","MNHN","RECOLNAT_MNHN_P","P00732296","PreservedSpecimen",NA,NA,NA,"Eriocaulaceae","Syngonanthus","pulchellus","Syngonanthus pulchellus","Moldenke","Moldenke","Anderson, W.R.|Stieber, M.|Kirkbride, J.H.",NA,"1972","2","12",NA,"brésil",NA,NA,"Estado de Minas Gerais, Serro do Espinhaço, eastern slopes of Pico de Itambé",NA,NA,"1550",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00732296' target='other'> <mi>dwc_moreinfo</mi></a>","P00732296","P00732296_01","isotype",NA,NA,NA,NA,NA,NA,NA,"35843",NA,NA
"7","2020-12-11 11:44:10-03","UFMG","BHCB","136693","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Syngonanthus","itambeensis","Syngonanthus itambeensis","Silveira",NA,"Souza, VC de; Souza, JP; Capellari Jr, L; Elias, SI; Forster, W","21068","1998","04","07","Southern America","Brasil","Minas Gerais","Santo Antônio do Itambé","Pico do Itambé., Campo rupestre.","-43.317194","-18.401556","1500","1500",NA,"Erva; capítulos creme.",NA,NA,NA,NA,NA,NA,NA,NA,"-43.317194","-18.401556",NA,NA,NA
"8","2020-12-11 11:44:10-03","UFMG","BHCB","166415","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Syngonanthus","itambeensis","Syngonanthus itambeensis","Silveira",NA,"Echternacht, LA; Bastos, TV","2255","2012","04","30","Southern America","Brasil","Minas Gerais","São Gonçalo do Rio Preto","Parque Estadual do Rio Preto, Chapada do Couto. Subida para o pico Dois Irmãos, platô na base do","-43.314167","-18.208611","1636","1636",NA,"NULL; Campo rupestre, vegetação herbácea rala. Solo de areia branca, quartzí",NA,NA,NA,"2012",NA,NA,"04","30","-43.314167","-18.208611",NA,NA,NA
"9","2020-12-11 11:44:10-03","UFMG","BHCB","166423","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Syngonanthus","itambeensis","Syngonanthus itambeensis","Silveira",NA,"Echternacht, LA; Bastos, TV","2245","2012","04","29","Southern America","Brasil","Minas Gerais","São Gonçalo do Rio Preto","Parque Estadual do Rio Preto, Chapada do Couto. Nos arredores do alojamento de pesquisadores.","-43.353611","-18.216111","1494","1494",NA,"Planta perene. Rizoma originando rosetas de folhas basais, das quais surgem eixo; Campo rupestre, vegetação herbácea rala. Solo de areia branca, quartzí",NA,NA,NA,"2013",NA,NA,"10","10","-43.353611","-18.216111",NA,NA,NA
"10","2020-09-12 05:00:02-03","US","US","2709885","PreservedSpecimen","Plantae",NA,"Eriocaulales","Eriocaulaceae","Syngonanthus","pulchellus","Syngonanthus pulchellus","Moldenke",NA,"W. R. Anderson","35843","1972","2","12","South America - Neotropics","Brazil","Minas Gerais",NA,"Serro do Espinhaco, eastern slopes of Pico do Itambe.",NA,NA,"1550","1550",NA,NA,"US00088495","US00088495_01","Isotype",NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae","1"
"11","2021-03-15 18:26:47-03","USP","SPF","220609","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Syngonanthus","itambeensis","Syngonanthus itambeensis","Silveira","Watanabe, MTC","Watanabe, MTC","327","2012","06","12",NA,"Brasil","Minas Gerais","Santo Antônio do Itambé","Parque Estadual do Pico do Itambé, Trilha para o Pico do Itambé, acesso por Santo Antônio do Itambé.","-43.324722","-18.398333",NA,NA,NA,"Erva até 45 cm alt. Eixo da sinflorescência curto. Brácteas involucrais mais externas castanhas, as mais internas alvas.; Solo brejoso.","SPF00220609",NA,NA,"2013",NA,NA,"05","23","-43.324722","-18.398333",NA,NA,NA
"12","2021-03-15 18:26:47-03","USP","SPF","221604","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Syngonanthus","itambeensis","Syngonanthus itambeensis","Silveira","Echternacht, L","Echternacht, L","2255","2012","04","30",NA,"Brasil","Minas Gerais","São Gonçalo do Rio Preto","Parque Estadual do Rio Preto, Chapada do Couto. Subida para o pico Dois Irmãos, platô na base do pico.","-43.314167","-18.208611","1636","1636",NA,"Campo rupestre, vegetação herbácea rala. Solo de areia branca, quartzítico, úmido.","SPF00221604",NA,NA,"2012",NA,NA,"04","30","-43.314167","-18.208611",NA,NA,NA
"13","2021-03-15 18:26:47-03","USP","SPF","223310","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Syngonanthus","itambeensis","Syngonanthus itambeensis","Silveira","Watanabe, MTC","Echternacht, L","2245","2012","04","29",NA,"Brasil","Minas Gerais","São Gonçalo do Rio Preto","Parque Estadual do Rio Preto, Chapada do Couto. Nos arredores do alojamento de pesquisadores.","-43.353611","-18.216111","1494","1494",NA,"Planta perene. Rizoma originando rosetas de folhas basais, das quais surgem eixos primários de inflorescências, portando pedúnculos.; Campo rupestre, vegetação herbácea rala. Solo de areia branca, quartzítico.","SPF00223310",NA,NA,"2019",NA,NA,"04",NA,"-43.353611","-18.216111",NA,NA,NA
"14","2021-03-15 18:26:47-03","USP","SPF","223248","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Syngonanthus","itambeensis","Syngonanthus itambeensis","Silveira","Watanabe, MTC","Watanabe, MTC","159","2009","01","28",NA,"Brasil","Minas Gerais","Santo Antônio do Itambé","Pico do Itambé, No platô do Pico do Itambé.","-43.3067016601562","-18.465799331665",NA,NA,NA,"Erva, ca. 30 cm alt. Brácteas involucrais mais externas castanho-escuras, mais internas alvas.; Pequena população sob arbustos.","SPF00223248",NA,NA,"2012","19014","auto","08","22",NA,NA,NA,NA,NA
"15","2019-10-07 09:21:28-03","UEFS","HUEFS","82068","PreservedSpecimen","Plantae","Angiospermae","Poales","Eriocaulaceae","Syngonanthus","itambeensis","Syngonanthus itambeensis","Silveira",NA,"Menezes, N.L.","CFCR193","1980","07","19",NA,"Brasil","Minas Gerais","Diamantina","Estrada Diamantina - Curralinho (Extração). a 3 Km de Diamantina - MG.","-43.330556","-18.394444",NA,NA,NA,NA,"HUEFS0082068","HUEFS0082068",NA,NA,NA,NA,NA,NA,"43W19'50''","18S23'40''",NA,"Lilianae",NA
