"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","typeStatus","recordNumber","continentOcean","preparationType","previousCatalogNumber","phylum","order","imagecode","infraspecificEpithet","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2021-04-05 14:25:20-03","UNESC","CRI","13716","PreservedSpecimen","Plantae","Gesneriaceae","Seemannia","sylvatica","Seemannia sylvatica","(Kunth) Hanst.","Alexandre Medeiros","2018","05","19","Alexandre Medeiros","2018","05","19","Brasil","Santa Catarina","Balneário Camboriú","Barra","-48.6347007751465","-26.9906005859375","8793","Coleta 953 Flor vermelha Habitat: Terrestre Habito: Herbácea","CRI012323","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:39:26-03","E","E","62353","PreservedSpecimen","Plantae","Gesneriaceae","Gloxinia","sylvatica","Gloxinia sylvatica",NA,NA,NA,NA,NA,"Bang, Miguel","1905","03","05","BO","Departamento Cochabamba",NA,"[Espirito Santo]. Vic. Cochabamba",NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00062353 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00062353",NA,"isotype","1211","W. Tropical South America","herbarium specimen of unspecif","BGBASE:106893",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:39:26-03","E","E","201598","PreservedSpecimen","Plantae","Gesneriaceae","Gloxinia","sylvatica","Gloxinia sylvatica",NA,NA,NA,NA,NA,"Gibbs, P.E.",NA,NA,NA,"PE",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00201598 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00201598",NA,NA,NA,"W. Tropical South America","herbarium specimen of unspecif","BGBASE:210440",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:39:26-03","E","E","201599","PreservedSpecimen","Plantae","Gesneriaceae","Gloxinia","sylvatica","Gloxinia sylvatica",NA,NA,NA,NA,NA,"Buchtien, Otto",NA,NA,NA,"BO",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00201599 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00201599",NA,NA,"824","W. Tropical South America","herbarium specimen of unspecif","BGBASE:210439",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:39:26-03","E","E","201594","PreservedSpecimen","Plantae","Gesneriaceae","Gloxinia","sylvatica","Gloxinia sylvatica",NA,NA,NA,NA,NA,"Mathews, Andrew","1905","01","08","PE",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00201594 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00201594",NA,NA,"1997","W. Tropical South America","herbarium specimen of unspecif","BGBASE:210444",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:39:26-03","E","E","201597","PreservedSpecimen","Plantae","Gesneriaceae","Gloxinia","sylvatica","Gloxinia sylvatica",NA,NA,NA,NA,NA,"Steinbach, Jose","1929","02","22","BO",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00201597 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00201597",NA,NA,"9317","W. Tropical South America","herbarium specimen of unspecif","BGBASE:210441",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:39:26-03","E","E","201593","PreservedSpecimen","Plantae","Gesneriaceae","Gloxinia","sylvatica","Gloxinia sylvatica",NA,NA,NA,NA,NA,"Hooker",NA,NA,NA,"PE",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00201593 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00201593",NA,NA,NA,"W. Tropical South America","herbarium specimen of unspecif","BGBASE:210445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:39:26-03","E","E","62351","PreservedSpecimen","Plantae","Gesneriaceae","Gloxinia","sylvatica","Gloxinia sylvatica",NA,NA,NA,NA,NA,"Bang, Miguel","1905","03","05","BO","Departamento Cochabamba",NA,"[Espirito Santo]. Vic. Cochabamba",NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00062351 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00062351",NA,"isotype","1212","W. Tropical South America","herbarium specimen of unspecif","BGBASE:106873",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:39:26-03","E","E","201592","PreservedSpecimen","Plantae","Gesneriaceae","Gloxinia","sylvatica","Gloxinia sylvatica",NA,NA,NA,NA,NA,"Balfour Gourlay, W.","1939","03","29","PE",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00201592 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00201592",NA,NA,"78","W. Tropical South America","herbarium specimen of unspecif","BGBASE:210446",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-23 10:39:26-03","E","E","201591","PreservedSpecimen","Plantae","Gesneriaceae","Gloxinia","sylvatica","Gloxinia sylvatica",NA,NA,NA,NA,NA,"Ferreyra, R.","1946","08","15","PE",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00201591 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00201591",NA,NA,"1088","W. Tropical South America","herbarium specimen of unspecif","BGBASE:210447",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
