"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","stateProvince","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","relatedCatalogItem","recordNumber","county","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","infraspecificEpithet","individualCount","phylum"
"1","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L.1857967","PreservedSpecimen","Plantae","Magnoliopsidae","Malpighiales","Podostemaceae","Podostemum","rutifolium","Podostemum rutifolium","Warm.","Herter","1934","11","30","Southern America","Uruguay","Dept. Salto, Salto Chico, Uruguay river.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1857967 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1857967","NL-L1857967",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L.1857968","PreservedSpecimen","Plantae","Magnoliopsidae","Malpighiales","Podostemaceae","Podostemum","rutifolium","Podostemum rutifolium","Warm.","Fiebrig K","1908","02","01","Southern America","Paraguay","N. Paraguay: Zwischen Rio Apa und Rio Aquidaban. Caballero.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1857968 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1857968","NL-L1857968",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L.1857969","PreservedSpecimen","Plantae","Magnoliopsidae","Malpighiales","Podostemaceae","Podostemum","rutifolium","Podostemum rutifolium","Warm.","Schwacke CAW","1880","03","12","Southern America","Brazil","Rio Grande do Sul, Serra des Taypes.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1857969 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1857969","NL-L1857969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L.1857970","PreservedSpecimen","Plantae","Magnoliopsidae","Malpighiales","Podostemaceae","Podostemum","rutifolium","Podostemum rutifolium","Warm.","Lindman CAM","1893","03","02","Southern America","Brazil","Rio grande do Sul, Silveira martius, Arroio Grande.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1857970 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1857970","NL-L1857970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L.1857971","PreservedSpecimen","Plantae","Magnoliopsidae","Malpighiales","Podostemaceae","Podostemum","rutifolium","Podostemum rutifolium","Warm.","Fiebrig K","1908","02","01","Southern America","Paraguay","N. Paraguay: Zwischen Rio Apa und Rio Aquidaban. Caballero.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1857971 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1857971","NL-L1857971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L.1857972","PreservedSpecimen","Plantae","Magnoliopsidae","Malpighiales","Podostemaceae","Podostemum","rutifolium","Podostemum rutifolium","Warm.","Berro",NA,NA,NA,"Southern America","Uruguay","Barra de Vera.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1857972 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1857972","NL-L1857972",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L.1857973","PreservedSpecimen","Plantae","Magnoliopsidae","Malpighiales","Podostemaceae","Podostemum","rutifolium","Podostemum rutifolium","Warm.","Schenck","1886","09","22","Southern America","Brazil","Garcia brook near Blumenau.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1857973 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1857973","NL-L1857973",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L.1857974","PreservedSpecimen","Plantae","Magnoliopsidae","Malpighiales","Podostemaceae","Podostemum","rutifolium","Podostemum rutifolium","Warm.","Glaziou AFM","1888","01","01","Southern America","Brazil",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1857974 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1857974","NL-L1857974",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L.1857975","PreservedSpecimen","Plantae","Magnoliopsidae","Malpighiales","Podostemaceae","Podostemum","rutifolium","Podostemum rutifolium","Warm.","Schenck","1886","10","09","Southern America","Brazil","Blumenau.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1857975 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1857975","NL-L1857975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L.1857976","PreservedSpecimen","Plantae","Magnoliopsidae","Malpighiales","Podostemaceae","Podostemum","rutifolium","Podostemum rutifolium","Warm.","Glaziou AFM","1886","07","01","Southern America","Brazil","Iporanga, Rio Iguape.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1857976 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1857976","NL-L1857976",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
