"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","identifiedBy","yearIdentified","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","barcode","imagecode","monthIdentified","occurrenceRemarks","dayIdentified","coordinatePrecision","geoFlag","phylum","class","order","relatedCatalogItem"
"1","2015-08-13 05:50:00-03","MO","MOBOT","1407169","PreservedSpecimen","Plantae","Apocynaceae","Cynanchum","morrenioides","Cynanchum morrenioides","Goyder","Holotype","R.M. Harley|et al.","Harley 27541","1988","12","16","South America","Brazil","Bahia","Mpio. Agua Quente, Pico das Almas, W side, between Paramirim das Crioulas and the NNW side of the Pico","1250.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-12 16:33:19-03","USP","SPF","62406","PreservedSpecimen","Plantae","Apocynaceae","Cynanchum","morrenioides","Cynanchum morrenioides","Goyder","isotype","Harley, RM; Stannard, BL; Pirani, JR; Furlan, A","27541","1988","12","16",NA,"Brasil","Bahia","Pico das Almas, Vertente oeste. Entre Paramirim das Crioulas e a face NNW do pico. Cerrado de altitude e campo com afloramentos de rochas.","1250","Goyder, D","1993","Água Quente","-42","-13.516667","-42","-13.516667","1250","SPF00062406","SPF00062406",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-11-13 11:14:54-03","USP","SPF","104422","PreservedSpecimen","Plantae","Apocynaceae","Cynanchum","morrenioides","Cynanchum morrenioides","Goyder",NA,"Harley, RM","26324","1988","11","10",NA,"Brasil","Bahia","Pico das Almas, Vertente leste. Subida do pico do campo norte do Queiroz. Afloramento rochoso conglomerado com campo pedregoso.","1600","Rapini, A","1997","Rio de Contas","-41.966667","-13.533333","-41.966667","-13.533333","1600","SPF00104422",NA,"07","Trepadeira com látex branco. Botões verdes com sépalas vináceas.",NA,NA,NA,NA,NA,NA,NA
"4","2019-11-13 11:14:54-03","USP","SPF","95671","PreservedSpecimen","Plantae","Apocynaceae","Cynanchum","morrenioides","Cynanchum morrenioides","Goyder",NA,"Atkins, S","CFCR14739","1994","03","01",NA,"Brasil","Bahia","Estrada entre o Distrito de Mato Grosso e o pé do Morro do Itabira. Campo rupestre com mata no pé do morro.","1400","Fontella Pereira, J","2003","Rio de Contas","-41.853611","-13.408333","-41.853611","-13.408333","1600","SPF00095671",NA,"05","Escandente; cálice catanho; corola alva.","28",NA,NA,NA,NA,NA,NA
"5","2019-11-13 11:14:54-03","USP","SPF","135716","PreservedSpecimen","Plantae","Apocynaceae","Cynanchum","morrenioides","Cynanchum morrenioides","Goyder",NA,"Rapini, A","861","1998","01","02",NA,"Brasil","Bahia","Pico das Almas",NA,"Omlor, R","1999","Rio de Contas","-41.8114013671875","-13.5789003372192",NA,NA,NA,"SPF00135716",NA,"02","Trepadeira, látex leitoso, em campo rupestre. Corola internamente esverdeada, externamente roxo-amarronzado, corona branca.",NA,"49773","auto",NA,NA,NA,NA
"6","2019-10-07 09:13:17-03","UEFS","HUEFS","37852","PreservedSpecimen","Plantae","Apocynaceae","Cynanchum","morrenioides","Cynanchum morrenioides","Goyder",NA,"Harley, R.M.","53664","1999","03","27",NA,"Brasil","Bahia","Subida para o Pico das Almas.","1840",NA,NA,"Rio de Contas","-41.962778","-13.524722","41W57'46''","13S31'29''","1900","HUEFS0037852","HUEFS0037852",NA,"Campo rupestre. Solo pedregoso.",NA,NA,NA,"Angiospermae","Asteranae","Gentianales",NA
"7","2019-10-07 09:13:17-03","UEFS","HUEFS","70657","PreservedSpecimen","Plantae","Apocynaceae","Cynanchum","morrenioides","Cynanchum morrenioides","Goyder",NA,"Costa, J.","373","2003","01","18",NA,"Brasil","Bahia","Pico das Almas","1970",NA,NA,"Rio de Contas","-41.933333","-13.516667","41W56'","13S31'","1970","HUEFS0070657","HUEFS0070657",NA,"Topo do pico",NA,NA,NA,"Angiospermae","Asteranae","Gentianales",NA
"8","2019-10-07 09:13:17-03","UEFS","HUEFS","74343","PreservedSpecimen","Plantae","Apocynaceae","Cynanchum","morrenioides","Cynanchum morrenioides","Goyder",NA,"Harley, R.M.","54615","2003","03","20",NA,"Brasil","Bahia","Pico das Almas, caminho do Campo do Queiroz para o pico.",NA,"A.Rapini","2004","Rio de Contas","-41.866667","-13.516667","41W52'","13S31'",NA,"HUEFS0074343","HUEFS0074343","07","Campo Rupestre.",NA,NA,NA,"Angiospermae","Asteranae","Gentianales",NA
"9","2019-10-07 09:13:17-03","UEFS","HUEFS","86006","PreservedSpecimen","Plantae","Apocynaceae","Cynanchum","morrenioides","Cynanchum morrenioides","Goyder",NA,"Rapini, A.","1138","2004","02","22",NA,"Brasil","Bahia","Pico das Almas",NA,NA,NA,"Rio de Contas","-41.933333","-13.516667","41W56'","13S31'",NA,"HUEFS0086006","HUEFS0086006",NA,NA,NA,NA,NA,"Angiospermae","Asteranae","Gentianales",NA
"10","2019-10-07 09:13:39-03","UEFS","HUEFS","215221","PreservedSpecimen","Plantae","Apocynaceae","Monsanima","morrenioides","Monsanima morrenioides","(Goyder) Liede & Meve",NA,"Rapini, A.","2055","2015","04","19",NA,"Brasil","Bahia","Vale do Paty, trilha para o Cacheirão pela Fenda.","1260","A.Rapini","2015","Mucugê","-41.443056","-12.796389","41W26'35''","12S47'47''","1260","HUEFS0215221","HUEFS0215221","09",NA,NA,NA,NA,"Angiospermae","Asteranae","Gentianales",NA
