"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","locality","decimalLongitude","decimalLatitude","county","yearIdentified","monthIdentified","fieldNumber","minimumElevationInMeters","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","01177648","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Jacaranda","egleri","Jacaranda egleri","Sandwith","A. H. Gentry","W. R. Anderson","10933","1974","02","13","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1417059' target='other'> <mi>dwc_moreinfo</mi></a>","NY01177648","NY01177648_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01177649","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Jacaranda","egleri","Jacaranda egleri","Sandwith","A. H. Gentry","M. G. Vieira","132","1979","09","24","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1417060' target='other'> <mi>dwc_moreinfo</mi></a>","NY01177649","NY01177649_01","Amazonia: Transamazonica-Trecho de Humaitá-Itaituba, Km. 135 da Humaitá, perto do Km. 895 da Transamazonica,","-61.82","-8.1181",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:35:35-03","EAO","IAN","102267","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Bignoniaceae","Jacaranda","egleri","Jacaranda egleri","Sandwith","Gentry, AH","Egler, WA; Silva, RR","950","1959","07","19","Southern America","Brasil","Pará",NA,"Campo alagável.Subarb. 50cm, flor violeta.","IAN102267",NA,"Rio Cururu, Missão Velha.",NA,NA,"Alto Tapajós",NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:35:35-03","EAO","IAN","147344","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Bignoniaceae","Jacaranda","egleri","Jacaranda egleri","Sandwith","Gentry, AH","Anderson, WR","10933","1974","02","13","Southern America","Brasil","Pará",NA,"Shrublet to 25cm tall, from underground base, corolla pale purple.","IAN147344",NA,"Region of Missão Velha, a Mundurukú village ca. 2Km N of the Rio Cururú.Sandy floodplain between the river & the village, with scattered shrubs & small trees, partly inundated wiyh runoff water at this season.",NA,NA,"Alto Tapajós","1975","02",NA,NA,NA,NA
"5","2015-09-04 08:30:17-03","MNHN","RECOLNAT_MNHN_P","P02852962","PreservedSpecimen",NA,NA,NA,"Bignoniaceae","Jacaranda","egleri","Jacaranda egleri","Sandwith",NA,"Krukoff, B.A.",NA,"1931","11","1",NA,"Brasil",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02852962' target='other'> <mi>dwc_moreinfo</mi></a>","P02852962","P02852962_01","State of Matto Grosso: near Tabajara, upper Machado River region.",NA,NA,NA,NA,NA,"1482",NA,NA,NA
"6","2008-05-27 22:02:00-03","MO","MOBOT","1042250","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Jacaranda","egleri","Jacaranda egleri","Sandwith",NA,"W. Egler","Egler 950","1959","7","19","South America","Brazil","Pará",NA,NA,NA,NA,"Alto Tapajos, Rio Curura, Missao Velha",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-06-24 10:53:00-03","MO","MOBOT","1042241","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Jacaranda","egleri","Jacaranda egleri","Sandwith",NA,"William R. Anderson","Anderson 10933","1974","2",NA,"South America","Brazil","Pará",NA,NA,NA,NA,"Region of Missao Velha, a Munduruki village ca 2 km N of hte Río Cururu","-57.3333333","-7.75",NA,NA,NA,NA,"200.00000000","1",NA
"8","2020-09-12 05:00:02-03","US","US","2737026","PreservedSpecimen","Plantae",NA,"Lamiales","Bignoniaceae","Jacaranda","egleri","Jacaranda egleri","Sandwith",NA,"W. R. Anderson, S. G. Fonsêca, R. Reis dos Santos & R. Souza","10933","1974","2","13","South America - Neotropics","Brazil","Pará",NA,NA,"US03204637","US03204637_01","Alto Tapajós, Rio Cururú. Region of Missão Velha, a Mundurukú village ca. 2km N of the Rio Cururú.","-57.33","-7.75",NA,NA,NA,NA,"200","1","Dicotyledonae"
"9","2020-09-12 05:00:02-03","US","US","2985053","PreservedSpecimen","Plantae",NA,"Lamiales","Bignoniaceae","Jacaranda","egleri","Jacaranda egleri","Sandwith",NA,"C. E. Calderón, O. P. Monteiro & J. Guedes","2657","1979","6","23","South America - Neotropics","Brazil","Amazonas",NA,NA,"US03204636","US03204636_01","Rio dos Pombos, by waterfall about 4 hours by canoe, N. of the intersection with Transamazon Highway and 74 km E. of Aripuanã river; campina region.",NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae"
"10","2017-05-17 13:40:12-03","F","FMNH-SEEDPLANTS","V0430220F","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Jacaranda","egleri","Jacaranda egleri",NA,NA,"W. R. Anderson","10933","1974","2","13","South America","Brazil",NA,NA,NA,"V0430220F","V0430220F_01",NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA
