"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","569243","PreservedSpecimen","Plantae","Magnoliophyta","Picramniales","Picramniaceae","Picramnia","glazioviana","Picramnia glazioviana","Engl.","W. W. Thomas","W. W. Thomas","9833","1993","05","10","South America","Brazil","Bahia","Ilhéus","2 km west of junction road to Vila Brasil and road from Ilhéus to Una (BA 001); the junction ca 40 km south of Ilhéus just north of Rio Acuipe","-39","-15.1","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=244749' target='other'> <mi>dwc_moreinfo</mi></a>","NY00569243","NY00569243_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","776891","PreservedSpecimen","Plantae","Magnoliophyta","Picramniales","Picramniaceae","Picramnia","glazioviana","Picramnia glazioviana glazioviana","Engl.",NA,"M. Kuhlmann","3914","1956","09","13","South America","Brazil","São Paulo","Santa Isabel","Santa Isabel, Igaratá","-46.22","-23.31","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=236800' target='other'> <mi>dwc_moreinfo</mi></a>","NY00776891","NY00776891_01","glazioviana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1019568","PreservedSpecimen","Plantae","Magnoliophyta","Picramniales","Picramniaceae","Picramnia","glazioviana","Picramnia glazioviana","Engl.",NA,"R. C. Forzza","3162","2004","02","10","South America","Brazil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca.","-43.885","-21.7031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1286922' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019568","NY01019568_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","569249","PreservedSpecimen","Plantae","Magnoliophyta","Picramniales","Picramniaceae","Picramnia","glazioviana","Picramnia glazioviana","Engl.","W. W. Thomas","W. W. Thomas","9797","1993","05","05","South America","Brazil","Bahia","Uruçuca","7.3 km north of Serra Grande on road to Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz. Transect study site","-39.0617","-14.4231","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=244751' target='other'> <mi>dwc_moreinfo</mi></a>","NY00569249","NY00569249_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","569245","PreservedSpecimen","Plantae","Magnoliophyta","Picramniales","Picramniaceae","Picramnia","glazioviana","Picramnia glazioviana glazioviana","Engl.","W. W. Thomas","S. C. de Sant'Ana","200","1992","02","18","South America","Brazil","Bahia","Ilhéus","Area do CEPEC (Centro de Pesquisas do Cacau), km 22 da Rodovia Ilhéus/Itabuna (BR 415). Quadra D.","-39.22095","-14.7739696","sheet","coleta de madeira <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=88706' target='other'> <mi>dwc_moreinfo</mi></a>","NY00569245","NY00569245_01","glazioviana","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","04120834","PreservedSpecimen","Plantae","Magnoliophyta","Picramniales","Picramniaceae","Picramnia","glazioviana","Picramnia glazioviana","Engl.",NA,"D. Piotto","2910","2010","06","10","South America","Brazil","Bahia","Uruçuca","Parque Est. Serra do Conduru","-39.08","-14.42","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4438730' target='other'> <mi>dwc_moreinfo</mi></a>","NY04120834","NY04120834_01",NA,"120","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1184190","PreservedSpecimen","Plantae","Magnoliophyta","Picramniales","Picramniaceae","Picramnia","glazioviana","Picramnia glazioviana glazioviana","Engl.","J. R. Pirani","L. J.-C. Kollmann","5248","2002","01","09","South America","Brazil","Espírito Santo","Santa Teresa","Reserva Biologcia Augusto Ruschi. Estrada de Nova Lombardia.","-40.5432","-19.88497","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1465218' target='other'> <mi>dwc_moreinfo</mi></a>","NY01184190","NY01184190_01","glazioviana","850","850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","569246","PreservedSpecimen","Plantae","Magnoliophyta","Picramniales","Picramniaceae","Picramnia","glazioviana","Picramnia glazioviana","Engl.","W. W. Thomas","A. M. V. de Carvalho","3485","1991","07","01","South America","Brazil","Bahia","Uruçuca","Distrito de Serra Grande. 7.3 km na estrada Serra Grande/Itacaré, Fazenda Lagoa do Conjunto Fazenda Santa Cruz","-39.0617","-14.4231","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=244758' target='other'> <mi>dwc_moreinfo</mi></a>","NY00569246","NY00569246_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","569242","PreservedSpecimen","Plantae","Magnoliophyta","Picramniales","Picramniaceae","Picramnia","glazioviana","Picramnia glazioviana","Engl.",NA,"J. R. Pirani","3066","1994","02","21","South America","Brazil","Espírito Santo","Aracruz","Rodovia Coqueiral - Regência, ramal a E da estrada a 2 km do trevo de Barra do Riacho, Restinga de Comboios, propriedade da Aracruz Florestal S. A.","-40.065886","-19.852031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=244764' target='other'> <mi>dwc_moreinfo</mi></a>","NY00569242","NY00569242_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","569247","PreservedSpecimen","Plantae","Magnoliophyta","Picramniales","Picramniaceae","Picramnia","glazioviana","Picramnia glazioviana","Engl.","W. W. Thomas","A. M. Amorim","458","1991","11","20","South America","Brazil","Bahia","Itacaré","Ramal a esquerda na estrada Ubaitaba/Itacaré, a 4 km do loteamento da Marambaia","-38.9967","-14.2778","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=244759' target='other'> <mi>dwc_moreinfo</mi></a>","NY00569247","NY00569247_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
