"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","typeStatus","coordinatePrecision","individualCount","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","minimumElevationInMeters","maximumElevationInMeters"
"1","2016-10-19 09:07:00-02","NY","NYBG","331015","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Conchocarpus","cauliflorus","Conchocarpus cauliflorus","J. A. Kallunki","J. R. Pirani","3455","1994","12","05","South America","Brazil","Espírito Santo","Linhares","Rodovia Linhares-Rio Bananal, Mata na Fazenda Lagoa Nova, ca. 20 km W de Linhares; N do Rio Doce.","-40.0719","-19.3911","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=374069' target='other'> <mi>dwc_moreinfo</mi></a>","NY00331015","NY00331015_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1092947","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Conchocarpus","cauliflorus","Conchocarpus cauliflorus","J. A. Kallunki","J. A. Kallunki","590","1994","02","20","South America","Brazil","Espírito Santo","Rio Bananal","Forest behind Faz. Lagoa Nova, reached by 2 km of dirt rd. turning left at 23 km from bridge at W edge of Linhares on rd. to Bananal.","-40.2","-19.28","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3006338' target='other'> <mi>dwc_moreinfo</mi></a>","NY01092947",NA,"Pirani",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","245880","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Conchocarpus","cauliflorus","Conchocarpus cauliflorus",NA,"J. A. Kallunki","690","1995","04","19","South America","Brazil","Espírito Santo","Rio Bananal","Forest behind Fazenda Lagoa Nova, reached by dirt road turning left (+/- S) at 24 km from bridge at W edge of Linhares on road to Bananal","-40.2","-19.28","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=374071' target='other'> <mi>dwc_moreinfo</mi></a>","NY00245880","NY00245880_01","Pirani","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","331016","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Conchocarpus","cauliflorus","Conchocarpus cauliflorus","J. A. Kallunki","J. A. Kallunki","590","1994","02","20","South America","Brazil","Espírito Santo","Rio Bananal","Forest behind Faz. Lagoa Nova, reached by 2 km of dirt rd. turning left at 23 km from bridge at W edge of Linhares on rd. to Bananal.","-40.2","-19.28","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=374070' target='other'> <mi>dwc_moreinfo</mi></a>","NY00331016","NY00331016_01","Pirani",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2008-05-27 22:02:00-03","MO","MOBOT","1838407","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Conchocarpus","cauliflorus","Conchocarpus cauliflorus",NA,"Jacquelyn A. Kallunki","Kallunki 690","1995","4","19","South America","Brazil","Espírito Santo",NA,"Rio Bananal. Forest behind Fazenda Lagoa Nova, reached by dirt road turning left (more or less S) at 24 km. from bridge at W. edge of Linhares on road to Bananal. Very disturbed forest.",NA,NA,NA,NA,NA,NA,"Pirani","Holotype",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-03-28 17:10:00-03","MO","MOBOT","3403708","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Conchocarpus","cauliflorus","Conchocarpus cauliflorus","J.A. Kallunki","José R. Pirani","Pirani 3455","1994","12","5","South America","Brazil","Espírito Santo","Linhares","Rodovia Linhares-Rio Bananal, Mata na Fazenda Lagoa Nova, ca. 20 Km W de Linhares: N do Rio Doce. Remanescente de mata pluvial tropical, muito perturbada, no alto de uma colina.","-40.0722007751465","-19.3910999298096",NA,NA,NA,NA,"Pirani",NA,"48094","1","auto",NA,NA,NA,NA,NA,NA
"7","2020-07-10 09:49:14-03","MBML","MBML-HERBARIO","29028",NA,"Plantae",NA,NA,"Rutaceae","Conchocarpus","cf. cauliflorus","Conchocarpus cf. cauliflorus","R. C. Britto/06-XI-2006","R. C. Britto","72","2006","05","01",NA,"Brasil","Espírito Santo","São Roque do Canaã","Nossa Senhora da Saude","-40.6568984985352","-19.738899230957",NA,"Arvoreto 2m, frutos verdes imaturos.","MBML029028",NA,"Pirani",NA,"14641",NA,"auto",NA,NA,NA,NA,NA,NA
"8","2021-03-23 11:51:26-03","USP","SPF","134088","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Conchocarpus","cauliflorus","Conchocarpus cauliflorus",NA,"Kallunki, JA; Pirani, JR; Fernandes, JB","690","1995","04","19",NA,"Brasil","Espírito Santo","Rio Bananal","Forest behind Fazenda Lagoa Nova, rarched by dirt road turning left (+/- S) at 24 Km from bridge at W edge of Linhares on road to Bananal. Very disturbed forest.","-40.2","-19.283333",NA,NA,"SPF00134088","SPF00134088","Pirani","holotype",NA,NA,NA,"-40.2","-19.283333",NA,NA,NA,NA
"9","2021-03-15 18:29:41-03","USP","SPF","89810","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Conchocarpus","cauliflorus","Conchocarpus cauliflorus","Pirani, JR","Kallunki, JA","590","1994","02","20",NA,"Brasil","Espírito Santo","Rio Bananal","Forest behind Faz. Lagoa Nova, reached by 2 km of dirt rd. turning left at 23 km from bridge at W edge of Linhares on rd. to Bananal.","-40.2","-19.283333",NA,"Treelets to 4m tall, few branched. Leaves dark green above, paler green below with darker green veins. Inflorescences cauline, at the base of stem, perennating. Few buds seen, corolla white with roserate tinge at apex. Most infloresc","SPF00089810",NA,"Pirani","paratype",NA,NA,NA,"-40.2","-19.283333","1998",NA,NA,NA
"10","2021-03-15 18:29:41-03","USP","SPF","100250","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Conchocarpus","cauliflorus","Conchocarpus cauliflorus","Pirani, JR","Pirani, JR","3455","1994","12","05",NA,"Brasil","Espírito Santo","Linhares","Rodovia Linhares-Rio bananal, Mata na Fazenda Lagoa Nova, ca. 20km W de Linhares; N do Rio Doce. Remanescente de Mata Pluvial Tropical, muito perturbada no alto de uma colina.","-40.0722007751465","-19.3910999298096",NA,"Arbustos não ramificados ou com 1-3 ramos ascendentes, delgados, 60cm-1,60cm altura. Folhas coroando o ápice, pecíolo escuro, lâmina verde-opaca pouco discolor. Inflorescências nascendo na parte basal do caule, junto serrapilheira, p","SPF00100250",NA,"Pirani","paratype","48094",NA,"auto",NA,NA,"1998",NA,NA,NA
