"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","minimumElevationInMeters","fieldNumber","individualCount","yearIdentified","verbatimLongitude","verbatimLatitude","imagecode","class","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","756522","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Aiouea","lehmannii","Aiouea lehmannii","(O.Schmidt) S.S.Renner","J. G. Rohwer","G. T. Prance","3014","1966","11","04","South America","Brazil","Acre","Cruzeiro do Sul","Estrada do Alemanha","-72.6697","-7.6311","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=733716' target='other'> <mi>dwc_moreinfo</mi></a>","NY00756522",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","756523","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Aiouea","lehmannii","Aiouea lehmannii","(O.Schmidt) S.S.Renner","J. G. Rohwer","G. T. Prance","3009","1966","11","04","South America","Brazil","Acre","Cruzeiro do Sul","Estrada do Alemanha, Cruzeiro do Sul. Forest on terra firme.","-72.6697","-7.6311","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=285211' target='other'> <mi>dwc_moreinfo</mi></a>","NY00756523",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2011-06-16 16:00:00-03","MO","MOBOT","1180995","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Aiouea","lehmannii","Aiouea lehmannii","(O.C. Schmidt) S.S. Renner","H. van der Werff (MO)","Miryam Monsalve B.","Monsalve Benavides 1305","1986","11","20","South America","Colombia","Valle del Cauca","Buenaventura","Concesión Pulpapel/Buenaventura. Bosque pluvial tropical. Suelos deficientes en nutrientes principalmente en P, Ca, K, Mg, Cu, B, Mn, Zn y un alto porcentaje de saturación de Al. Carretera La Gasolina. N.V.: Jigua.","-77","3.91666",NA,NA,NA,"100.00000000",NA,NA,NA,NA,NA,NA,NA,NA
"4","2011-06-16 16:00:00-03","MO","MOBOT","1180996","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Aiouea","lehmannii","Aiouea lehmannii","(O.C. Schmidt) S.S. Renner","H. van der Werff (MO)","Miryam Monsalve B.","Monsalve Benavides 1296","1986","11","20","South America","Colombia","Valle del Cauca","Buenaventura","Concesión Pulpapel/Buenaventura. Bosque pluvial tropical. Suelos deficientes en nutrientes principalmente en P, Ca, K, Mg, Cu, B, Mn, Zn y un alto porcentaje de saturación de Al. Carretera La Gasolina. N.V.: Jigua.","-77","3.91666",NA,NA,NA,"100.00000000",NA,NA,NA,NA,NA,NA,NA,NA
"5","2011-06-16 16:00:00-03","MO","MOBOT","1180997","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Aiouea","lehmannii","Aiouea lehmannii","(O.C. Schmidt) S.S. Renner","H. van der Werff (MO)","Miryam Monsalve B.","Monsalve Benavides 489","1984","10","18","South America","Colombia","Valle del Cauca","Buenaventura","Concesión Pulpapel/Buenaventura. Bosque pluvial tropical. Suelos deficientes en nutrientes principalmente en P, Ca, K, Mg, Cu, B, Mn, Zn y un alto porcentaje de saturación de Al.","-77","3.91666",NA,NA,NA,"100.00000000",NA,NA,NA,NA,NA,NA,NA,NA
"6","2013-08-23 04:12:00-03","MO","MOBOT","1822764","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Aiouea","lehmannii","Aiouea lehmannii","(O.C. Schmidt) S.S. Renner","H. van der Werff (MO)","Donald Faber-Langendoen","Faber-Langendoen 919","1987","6","12","South America","Colombia","Valle del Cauca",NA,"Bajo Calima Concession. Ca 16 km NW of Buenaventura, ca 1.5 km from end of Gasolina Rd., Juanchaco, BV-82 2 year old secondary wet forest after clear cutting. Yellow clay over alluvial substrate. Vegetation: Miconia spp, Vismia spp, Cecropia spp. Faramea spp. Orbignya sp. Stand 4.","-77.16666","3.83333",NA,NA,NA,"50.00000000",NA,NA,NA,NA,NA,NA,NA,NA
"7","2013-08-23 04:12:00-03","MO","MOBOT","1822773","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Aiouea","lehmannii","Aiouea lehmannii","(O.C. Schmidt) S.S. Renner","H. van der Werff (MO)","Donald Faber-Langendoen","Faber-Langendoen 918","1987","6","12","South America","Colombia","Valle del Cauca",NA,"Bajo Calima Concession. Ca 16 km NW of Buenaventura, ca 1.5 km from end of Gasolina Rd., Juanchaco, BV-82; 2 year old secondary wet forest after substrate, 20-40º slopes. Vegetation: Miconia spp, Vismia spp, Cecropia spp., Faramea spp., Orbignya sp. Stand 4.","-77.16666","3.83333",NA,NA,NA,"50.00000000",NA,NA,NA,NA,NA,NA,NA,NA
"8","2008-05-27 22:02:00-03","MO","MOBOT","1822792","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Aiouea","lehmannii","Aiouea lehmannii","(O.C. Schmidt) S.S. Renner","J.G. Rohwer","Ghillean T. Prance","Prance 3009","1966","11","4","South America","Brazil","Acre",NA,"Estrada do Alemanha, Cruzeiro do Sul. Forest on terra firme.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-01-27 11:42:00-02","MO","MOBOT","54259","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Aiouea","lehmannii","Aiouea lehmannii","(O.C. Schmidt) S.S. Renner","H. v.d. Werff","Alwyn H. Gentry|Miryam Monsalve B.|Carla Restrepo|J.H. Gamboa","Gentry 53387","1985","12","16","South America","Colombia","Valle del Cauca","Buenaventura","Bahia Malaga, mostly along edge of Mora swamp and steep banks over-looking tidal stream.","-76.25","4.0333333",NA,NA,NA,"0E8","85-445","10",NA,NA,NA,NA,NA,NA
"10","2008-05-27 22:02:00-03","MO","MOBOT","789757","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Aiouea","lehmannii","Aiouea lehmannii","(O.C. Schmidt) S.S. Renner","H. van der Werff","Donald Faber-Langendoen|Enrique Rentería A.","Faber-Langendoen 1296","1987","7","11","South America","Colombia","Valle del Cauca","Buenaventura","Bajo Calima Concession ca 20 km N of Buenaventura, behind Pulpapel Forestry Station 18 year old secondary wet forest with much intervention (human), slightly hilly 5º slopes yellow/grey clay over alluvial substrate.","-77","3.88333",NA,NA,NA,"50.00000000","87-45","2",NA,NA,NA,NA,NA,NA
"11","2020-02-24 09:20:00-03","MO","MOBOT","789764","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Aiouea","lehmannii","Aiouea lehmannii","(O.C. Schmidt) S.S. Renner","H. van der Werff","Donald Faber-Langendoen|Enrique Rentería A.","Faber-Langendoen 918","1987","6","12","South America","Colombia","Valle del Cauca","Buenaventura","Bajo Calima Concession. Ca. 16 km NW of Buenaventura, ca. 1.5 km from end of Gasolina Rd., Juanchaco, BV-82 2 year old secondary wet forest after clear cutting. Yellow clay over alluvial substrate, 20-40º slopes.","-77.1333333","3.9833333",NA,NA,NA,"50.00000000","87-30","3",NA,NA,NA,NA,NA,NA
"12","2020-02-24 09:20:00-03","MO","MOBOT","789770","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Aiouea","lehmannii","Aiouea lehmannii","(O.C. Schmidt) S.S. Renner","H. van der Werff, MO","Donald Faber-Langendoen|Enrique Rentería A.","Faber-Langendoen 919","1987","6","12","South America","Colombia","Valle del Cauca","Buenaventura","Bajo Calima Concession. Ca. 16 km NW of Buenaventura, ca. 1.5 km from end of Gasolina Rd., Juanchaco, BV-82 2 year old secondary wet forest after clear cutting. Yellow clay over alluvial substrate, 20-40º slopes.","-77.1333333","3.9833333",NA,NA,NA,"50.00000000","87-30","2",NA,NA,NA,NA,NA,NA
"13","2011-02-13 14:12:00-02","MO","MOBOT","1822750","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Aniba","lehmannii","Aniba lehmannii","O.C. Schmidt","A. Kostermans (U)","F.C. Lehmann","Lehmann 4989",NA,NA,NA,"South America","Colombia","Valle del Cauca","Buenaventura",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-08-31 09:10:57-03","INPA","INPA","18532","S","Plantae","Dicotyledon Magnoliids","Laurales","Lauraceae","Aiouea","lehmannii","Aiouea lehmannii","(O.C.Schmidt) S.S.Renner","Kubitzki, K","Prance, GT","3009","1966","11","04","Southern America","Brasil","Acre","Cruzeiro do Sul","Estrada do Alemanha, Estrada do Alemanha, Cruzeiro do Sul. Forest on terra firme.","-72.6697","-7.6311",NA,NA,"INPA0018532",NA,NA,NA,"1982","-72.6697","-7.6311","INPA0018532 INPA0018532_e INPA0018532_nd",NA,NA
"15","2020-08-31 09:10:57-03","INPA","INPA","18537","S","Plantae","Dicotyledon Magnoliids","Laurales","Lauraceae","Aiouea","lehmannii","Aiouea lehmannii","(O.C.Schmidt) S.S.Renner","Rohwer, JG","Prance, GT","3014","1966","11","04","Southern America","Brasil","Acre","Cruzeiro do Sul","Estrada do Alemanha, Estrada do Alemanha, Cruzeiro do Sul. Forest on terra firme.","-72.6697","-7.6311",NA,NA,"INPA0018537",NA,NA,NA,"1986","-72.6697","-7.6311","INPA0018537 INPA0018537_e INPA0018537_nd INPA0018537_num",NA,NA
"16","2019-09-04 17:49:26-03","F","FMNH-SEEDPLANTS","V0061344F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Lauraceae","Aniba","lehmannii","Aniba lehmannii",NA,NA,"F. C. Lehmann","4989",NA,"11",NA,"South America","Colombia","Valle del Cauca",NA,"Buenaventura",NA,NA,NA,NA,"V0061344F",NA,"4989",NA,NA,NA,NA,"V0061344F_01 V0061344F_02","Dicotyledoneae","Isotype"
