"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","typeStatus","relatedCatalogItem","dayIdentified","fieldNumber","individualCount","infraspecificEpithet"
"1","2021-03-15 16:37:00-03","NY","NYBG","2155085","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Combretaceae","Buchenavia","parvifolia","Buchenavia parvifolia","Ducke","J. M. S. Miralha","183","1989","01","24","South America","Brazil","Amazonas","Coarí","0,5 Km de Porto Urucu, lado direito da Estrada que vai para RUC-3","-65.339968","-4.85447","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2310892' target='other'> <mi>dwc_moreinfo</mi></a>","NY02155085","NY02155085_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02155094","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Combretaceae","Buchenavia","parvifolia","Buchenavia parvifolia","Ducke","B. V. Rabelo","2277","1983","08","03","South America","Brazil","Amapá","Macapá","Parque Florestal da Fazendinha, 12 km S of Macapá","-51.09569","-0.04072","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2310942' target='other'> <mi>dwc_moreinfo</mi></a>","NY02155094","NY02155094_01 NY02155094_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","2155086","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Combretaceae","Buchenavia","parvifolia","Buchenavia parvifolia","Ducke","P. A. C. L. Assunção","407","1996","09","17","South America","Brazil","Amazonas",NA,"Reserva Florestal Ducke, Manaus-Itacoatiara Road, Km 26. Trilha torre-acará",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2310894' target='other'> <mi>dwc_moreinfo</mi></a>","NY02155086","NY02155086_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02155084","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Combretaceae","Buchenavia","parvifolia","Buchenavia parvifolia","Ducke","M. H. Nee","42605",NA,NA,NA,"South America","Brazil","Amazonas","Manaus","ca 80 km N de Manaus, Distrito Agropecuário da SUFRAMA, Rodovia BR 174, km 64, depois 21 km leste na ZF3, Fazenda Porto Alegre. Projeto Dinâmica Biológica de Fragmentos Florestais, Reserva No.3402.","-60.08","-2.32","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2310823' target='other'> <mi>dwc_moreinfo</mi></a>","NY02155084","NY02155084_01","50","125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","2155088","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Combretaceae","Buchenavia","parvifolia","Buchenavia parvifolia","Ducke","G. T. Prance","8551","1968","11","17","South America","Brazil","Rondônia",NA,"Basin of Rio Madeira, N. bank of rio Abunã 10 km. above Fortaleza. Forest on terra firme.","-65.55319","-9.838301","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2310898' target='other'> <mi>dwc_moreinfo</mi></a>","NY02155088","NY02155088_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02155095","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Combretaceae","Buchenavia","parvifolia","Buchenavia parvifolia","Ducke","P. A. C. L. Assunção","450","1997","01","17","South America","Brazil","Amazonas",NA,"Reserva Florestal Ducke, Manaus-Itacoatiara Road, Km 26. Trilha torre-acará",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2310943' target='other'> <mi>dwc_moreinfo</mi></a>","NY02155095","NY02155095_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","2155090","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Combretaceae","Buchenavia","parvifolia","Buchenavia parvifolia","Ducke","G. T. Prance","8798","1968","11","24","South America","Brazil","Rondônia",NA,"Basin of Rio Madeira. Road Mutumparaná to Porto Velho, 2-4 km E of Mutumparaná.","-64.91817","-9.6104662","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2310901' target='other'> <mi>dwc_moreinfo</mi></a>","NY02155090","NY02155090_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","2155087","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Combretaceae","Buchenavia","parvifolia","Buchenavia parvifolia","Ducke","W. A. Ducke","374","1937","01","03","South America","Brazil","Amazonas","Manaus","Loco Cachoeira, Grande.","-60.0250015258789","-3.10193991661072","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2310896' target='other'> <mi>dwc_moreinfo</mi></a>","NY02155087","NY02155087_01 NY02155087_02",NA,NA,"138090","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","2155089","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Combretaceae","Buchenavia","parvifolia","Buchenavia parvifolia","Ducke","M. Pacheco","111","1989","01","11","South America","Brazil","Amazonas",NA,"Distrito Agropecuário, Reserva 1501 (km 41) of the WWF/INPA MCS project.","-59.74583","-2.41625","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2310899' target='other'> <mi>dwc_moreinfo</mi></a>","NY02155089","NY02155089_01","50","125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:37:19-03","EAO","IAN","26158","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Combretaceae","Buchenavia","parvifolia","Buchenavia parvifolia","Ducke","Ducke, A","17686",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN026158",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
