"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","individualCount","occurrenceRemarks","geoFlag","continentOcean","preparationType","barcode","imagecode","class","previousCatalogNumber","typeStatus","fieldNumber","relatedCatalogItem"
"1","2019-06-10 10:10:51-03","FZB-BH","CVJBFZB","3266","S","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","paralum","Solanum paralum","Bohs.","Leandro L. Giacomin","2013","11","03","Giacomin, L.L.; Bohs, L.; Knapp, S.","Giacomin 1982","2013","11","03","Brasil","Bahia","Jussari","trilha que leva ao alto da serra, ca. 3 km da sede. Subosque de Floresta Ombrófila Densa próximo ao primeiro cume","-39.4953002929688","-15.1913995742798","39S 19' 20","15W 05' 35","21386","692","692","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00852479","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","paralum","Solanum paralum","(Taub.) Bohs","L. A. Bohs",NA,NA,NA,"W. W. Thomas","13322","2003","03","15","Brazil","Bahia","Jussari","Fazenda Serra do Teimoso, Reserva Serra do Teimoso. Near top of mountain, in area near source of the Riberao da Bica.","-39.5425","-15.0956",NA,NA,NA,"750","850",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=566554' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY00852479","NY00852479_01",NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","2240743","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","paralum","Solanum paralum","(Taub.) Bohs",NA,NA,NA,NA,"L. L. Giacomin","1982","2013","11","03","Brazil","Bahia","Jussari","RPPN Reserva Natural da Serra do Teimoso, trilha que leva ao alto da serra, ca. 3 km da sede.","-39.5394","-15.1589",NA,NA,NA,"692",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2667528' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY02240743","NY02240743_01",NA,NA,NA,NA,NA
"4","2015-02-10 11:46:38-02","BM","SOLANACEAE_SOURCE_BR","73044","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","paralum","Solanum paralum","Bohs","Bohs, L.","2013","11",NA,"Jardim, J.G.; Salino, A.; Lopes, R.V.","4050","2002","11","02","Brazil","Bahia","Jussari","Serra do Teimoso, [Reserva Particular de Patrimonio] ca. 7.5 km de Jussari na rod. para Palmeira","-39.536111","-15.160278","-39.536111","-15.160278",NA,NA,NA,NA,"arbusto ca. 2.5 m; foliolos verdes-claros; flores com corola vinácea, calice verde; floresta higrofila",NA,"Southern America",NA,NA,NA,"Dicotyledoneae","93647",NA,NA,NA
"5","2015-02-10 11:46:38-02","BM","SOLANACEAE_SOURCE_BR","73045","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","paralum","Solanum paralum","Bohs","Bohs, L.","2013","11",NA,"Thomas, W.W.; Amorim, A.M.; Sant'Ana, S.; Paixão, J.L.; Querino, R.N.","13322","2003","03","15","Brazil","Bahia","Jussari","Serra do Teimoso, Reserva Serra do Teimoso, near top of mountain, in area near source of Riberao da Bica","-39.5425","-15.095556","-39.5425","-15.095556",NA,"750","850",NA,"small tree 3 m; leaves dull deep green; fruits pale green; southern Bahian wet forest",NA,"Southern America",NA,NA,NA,"Dicotyledoneae","119291",NA,NA,NA
"6","2015-02-10 11:46:38-02","BM","SOLANACEAE_SOURCE_BR","73045","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","paralum","Solanum paralum","Bohs","Bohs, L.","2013","11",NA,"Thomas, W.W.; Amorim, A.M.; Sant'Ana, S.; Paixão, J.L.; Querino, R.N.","13322","2003","03","15","Brazil","Bahia","Jussari","Serra do Teimoso, Reserva Serra do Teimoso, near top of mountain, in area near source of Riberao da Bica","-39.5425","-15.095556","-39.5425","-15.095556",NA,"750","850",NA,"small tree 3 m; leaves dull deep green; fruits pale green; southern Bahian wet forest",NA,"Southern America",NA,"MO-2023068",NA,"Dicotyledoneae",NA,NA,NA,NA
"7","2015-02-10 11:46:38-02","BM","SOLANACEAE_SOURCE_BR","73046","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","paralum","Solanum paralum","Bohs","Bohs, L.","2013","11",NA,"Sant'Ana, S.; Fernandes, I.; Carvalho, H.B. de","1002","2000","11","11","Brazil","Bahia","Jussari","Serra do Teimoso, Rod. Jussari/Palmira, entrada a 7.5 km de Jussari, Fazenda Teimoso, RPPN Serra do Teimoso","-39.528611","-15.158056","-39.528611","-15.158056",NA,"700","700",NA,"arbusto ca. 2.5 m; fohlas verdes levemente discolores; flores com petalas roxas; em solo umido, na trilha par o topo da serra; mata higrofila sul Bahiana",NA,"Southern America",NA,NA,NA,"Dicotyledoneae","89620",NA,NA,NA
"8","2015-02-10 11:46:38-02","BM","SOLANACEAE_SOURCE_BR","73186","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","paralum","Solanum paralum","Bohs",NA,NA,NA,NA,"Giacomin, L.L.; Bohs, L.; Knapp, S.","1981","2013","11","03","Brazil","Bahia","Jussari","RPPN Reserva Natural da Serra do Teimoso","-39.539139","-15.158778","-39.539139","-15.158778",NA,"678","678",NA,"Arbusto, 1 m, rizomatoso. Vegetativo; trilha que leva ao alto da serra, ca. 2 km da sede. Subosque de Floresta Ombrófila Densa com afloramentos graníticos",NA,"Southern America",NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA
"9","2015-02-10 11:46:38-02","BM","SOLANACEAE_SOURCE_BR","73186","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","paralum","Solanum paralum","Bohs",NA,NA,NA,NA,"Giacomin, L.L.; Bohs, L.; Knapp, S.","1981","2013","11","03","Brazil","Bahia","Jussari","RPPN Reserva Natural da Serra do Teimoso","-39.539139","-15.158778","-39.539139","-15.158778",NA,"678","678",NA,"Arbusto, 1 m, rizomatoso. Vegetativo; trilha que leva ao alto da serra, ca. 2 km da sede. Subosque de Floresta Ombrófila Densa com afloramentos graníticos",NA,"Southern America",NA,"BM001035211",NA,"Dicotyledoneae",NA,NA,NA,NA
"10","2015-02-10 11:46:38-02","BM","SOLANACEAE_SOURCE_BR","73187","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","paralum","Solanum paralum","Bohs",NA,NA,NA,NA,"Giacomin, L.L.; Bohs, L.; Knapp, S.","1982","2013","11","03","Brazil","Bahia","Jussari","RPPN Reserva Natural da Serra do Teimoso","-39.539361","-15.158806","-39.539361","-15.158806",NA,"692","692",NA,"Arvoreta, 5 m, tombado, ca. 5 cm de diâmetro. Flores com pétalas verdes externamente, roxas na face interna, com papilas e aroma. Anteras e conectivos roxos, estigma verde. Fruto amarelo; trilha que leva ao alto da serra, ca. 3 km da",NA,"Southern America",NA,"BM001035294",NA,"Dicotyledoneae",NA,NA,NA,NA
