"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","class","individualCount","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","428495","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","nelsonii","Licania nelsonii","Prance","isotype","W. A. Rodrigues","10501","1984","02","29","South America","Brazil","Amazonas","3 km ao Sul da Parte central da Serra Aracá e 8 km a Leste do Rio Jauarii, em frente ao acampamento, depois do campo de pouso","-63.32","0.82","60","60","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=29546' target='other'> <mi>dwc_moreinfo</mi></a>","NY00428495","NY00428495_01 NY00428495_02",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01254516","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","nelsonii","Licania nelsonii","Prance",NA,"J. M. de S. Miralha","67","1984","03","16","South America","Brazil","Amazonas","03 km ao S da parte central da Serra Aracá e 08 km ao E do rio Jauarí.","-63.316667","-0.816667",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1521273' target='other'> <mi>dwc_moreinfo</mi></a>","NY01254516","NY01254516_01","G. T. Prance","Barcelos",NA,NA,NA,NA,NA,NA,NA
"3","2008-05-27 22:02:00-03","MO","MOBOT","3299042","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Licania","nelsonii","Licania nelsonii","Prance",NA,"José M. de Miralha","Miralha 67","1984","3","16","South America","Brazil","Amazonas","Município de Barcelos. 03 km ao S da parte central da Serra Aracá e 08 km ao E do Rio Jauarí. Solo arenoso, mata de igapó","-63.31666","0.81666",NA,NA,NA,NA,NA,NA,"G.T. Prance",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-08-31 09:01:18-03","INPA","INPA","123462","S","Plantae","Dicotyledon Com-Clade","Malpighiales","Chrysobalanaceae","Licania","nelsonii","Licania nelsonii","Prance","holotype","Rodrigues, WA","10501","1984","02","29","Southern America","Brasil","Amazonas","Serra do Aracá, 03 Km ao Sul da parte central da Serra Aracá e 08 Km a Leste do rio Jauari, em frente ao acampamento, depois do campo de pouso","-63.316667","0.816667","60","60",NA,NA,"INPA0123462","INPA0123462 INPA0123462_e INPA0123462_e1","Prance, GT","Barcelos","1990","-63.316667","0.816667",NA,NA,NA,NA
"5","2020-08-31 09:01:18-03","INPA","INPA","141667","S","Plantae","Dicotyledon Com-Clade","Malpighiales","Chrysobalanaceae","Licania","nelsonii","Licania nelsonii","Prance",NA,"Miralha, JMS","67","1984","03","16","Southern America","Brasil","Amazonas","Serra do Aracá, 3 Km ao S da parte Central da Serra Aracá e 8 Km ao E do Rio Jauarí","-63.316667","0.816667",NA,NA,NA,NA,"INPA0141667","INPA0141667 INPA0141667_e INPA0141667_e1","Prance, GT","Barcelos","1987","-63.316667","0.816667",NA,NA,NA,NA
"6","2020-08-31 09:01:18-03","INPA","INPA","244517","S","Plantae","Dicotyledon Com-Clade","Malpighiales","Chrysobalanaceae","Licania","nelsonii","Licania nelsonii","Prance",NA,"Pereira-Silva, G da","14571","2009","06","16","Southern America","Brasil","Rondônia","UHE Jirau, Canteiro de obras da UHE Jirau, margem direita do rio Madeira.","-64.638056","-9.2775","80","80",NA,NA,"INPA0244517",NA,"Prance, GT","Porto Velho","2014","-64.638056","-9.2775","06",NA,NA,NA
"7","2020-09-12 05:00:02-03","US","US","3327475","PreservedSpecimen","Plantae",NA,"Rosales","Rosaceae","Licania","nelsonii","Licania nelsonii","Prance",NA,"G. T. Prance et al.","29091","1984","2","15","South America - Neotropics","Brazil","Amazonas","Plateau of northern massif of Serra Araca. Southern extremity of Northern Plateau of Serra Araca","-63.3583","0.9","1200",NA,NA,NA,"US01352759","US01352759_01",NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA
"8","2020-09-12 05:00:02-03","US","US","3170718","PreservedSpecimen","Plantae",NA,"Rosales","Rosaceae","Licania","nelsonii","Licania nelsonii","Prance",NA,"J. M. S. Miralha et al.","67","1984","3","16","South America - Neotropics","Brazil","Amazonas","03km ao S da paryte central da Serra Aracá e 08km ao E do Rio Jauarí.","-63.32","0.82",NA,NA,NA,NA,"US01352758","US01352758_01",NA,"Barcelos",NA,NA,NA,NA,"Dicotyledonae","1",NA
"9","2020-09-02 16:22:55-03","Cenargen","CEN","76767","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Licania","nelsonii","Licania nelsonii","Prance",NA,"Glocimar Pereira-Silva","14571","2009","06","16",NA,"Brasil","RO","Canteiro de obras da UHE Jirau, margem direita do rio Madeira.","-64.638055","-9.2775","80","80","Exsicatas","Área de influência direta (canteiro).","CEN00076767","CEN00076767","G. T. Prance","PORTO VELHO","2014","-64.638055","-9.2775","07",NA,"4",NA
"10","2020-02-28 13:42:04-03","UEFS","HUEFS","232933","PreservedSpecimen","Plantae","Angiospermae","Malpighiales","Chrysobalanaceae","Licania","nelsonii","Licania nelsonii","Prance","Isótipo","Rodrigues, W.A.","10501","1984","02","29",NA,"Brasil","Amazonas","Serra do Aracá: 03 Km ao Sul da parte central da Serra Aracá e 08 Km a Leste do rio Jauari, em frente ao acampamento, depois do campo de pouso.","-63.316667","-0.816667","60","60",NA,NA,"HUEFS0232933",NA,NA,"Barcelos",NA,"63W19'","0S49'",NA,"Rosanae",NA,NA
