grupo,familia,especie_autor,genero,epiteto_especifico,taxon_rank,epiteto_infraespecifico,cat_ameaca_br_sima,cat_ameaca_cncflora_sima,cat_ameaca_sp_sima,cat_ameaca_sp,cat_ameaca_cr_lac,cat_ameaca_cncflora,cat_ameaca_iucn,cat_ameaca_mpo_sp,cat_ameaca_br,fontes,id,accepted_name,taxon_status,especie,threat_status,notes,original_search,occurrence,name_status,notas_dupl,especies_originais
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sima,NA,NA,NA,NA,NA,not found,Begonia tibagiensis,NA,NA,,Achimenes ichtyostoma;Aeschynomene montevidensis var. microphylla;Alternanthera malmeana;Aniba rosaeodora;Athyrium filix-femina;Austroblechnum lechleri;Begonia diaphones;Begonia glabrescens;Begonia klydophylla;Begonia succulenta;Begonia tibagiensis;Cedrela angustifolia;Chaetoclamys psammina;Dyckia commixta;Dyckia julianae;Echinodorus rhombifolia;Elaphoglossum jamesonii;Enhydra sessilis;Epidendrum polyanthum;Erythrophyllastrum andinum;Evolvulus elegans subsp. confertifolius;Ficus velutina;Hibiscus linearis;Hibiscus urticifolius;Holocheilus schulzii;Hypericum cordiforme var. Kleinii;Maytenus ilicifolia;Ossaea australis;Paepalanthus melaleucus var. epilosus;Parodia schumanniana;Peperomia cooperi;Peperomia sessilifolia;Poikilacanthus guillesii;Portulaca cryptopetala var. poellniztiana;Rhipsalis hileiabaiana subsp. hileiabaiana;Schwenckia grandiflora var. hatschbachiana;Spananthe Jacq.;Syngonanthus caulescens var. epapillosus;Trichilia lepidota var. schumanniana;Zexmenia viguerioides
NA,NA,NA,NA,NA,NA,NA,EN,NA,NA,NA,NA,NA,NA,NA,NA,sima,NA,NA,NA,NA,NA,not found,Cedrela angustifolia,NA,NA,,Achimenes ichtyostoma;Aeschynomene montevidensis var. microphylla;Alternanthera malmeana;Aniba rosaeodora;Athyrium filix-femina;Austroblechnum lechleri;Begonia diaphones;Begonia glabrescens;Begonia klydophylla;Begonia succulenta;Begonia tibagiensis;Cedrela angustifolia;Chaetoclamys psammina;Dyckia commixta;Dyckia julianae;Echinodorus rhombifolia;Elaphoglossum jamesonii;Enhydra sessilis;Epidendrum polyanthum;Erythrophyllastrum andinum;Evolvulus elegans subsp. confertifolius;Ficus velutina;Hibiscus linearis;Hibiscus urticifolius;Holocheilus schulzii;Hypericum cordiforme var. Kleinii;Maytenus ilicifolia;Ossaea australis;Paepalanthus melaleucus var. epilosus;Parodia schumanniana;Peperomia cooperi;Peperomia sessilifolia;Poikilacanthus guillesii;Portulaca cryptopetala var. poellniztiana;Rhipsalis hileiabaiana subsp. hileiabaiana;Schwenckia grandiflora var. hatschbachiana;Spananthe Jacq.;Syngonanthus caulescens var. epapillosus;Trichilia lepidota var. schumanniana;Zexmenia viguerioides
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sima,NA,NA,NA,NA,NA,not found,Chaetoclamys psammina,NA,NA,,Achimenes ichtyostoma;Aeschynomene montevidensis var. microphylla;Alternanthera malmeana;Aniba rosaeodora;Athyrium filix-femina;Austroblechnum lechleri;Begonia diaphones;Begonia glabrescens;Begonia klydophylla;Begonia succulenta;Begonia tibagiensis;Cedrela angustifolia;Chaetoclamys psammina;Dyckia commixta;Dyckia julianae;Echinodorus rhombifolia;Elaphoglossum jamesonii;Enhydra sessilis;Epidendrum polyanthum;Erythrophyllastrum andinum;Evolvulus elegans subsp. confertifolius;Ficus velutina;Hibiscus linearis;Hibiscus urticifolius;Holocheilus schulzii;Hypericum cordiforme var. Kleinii;Maytenus ilicifolia;Ossaea australis;Paepalanthus melaleucus var. epilosus;Parodia schumanniana;Peperomia cooperi;Peperomia sessilifolia;Poikilacanthus guillesii;Portulaca cryptopetala var. poellniztiana;Rhipsalis hileiabaiana subsp. hileiabaiana;Schwenckia grandiflora var. hatschbachiana;Spananthe Jacq.;Syngonanthus caulescens var. epapillosus;Trichilia lepidota var. schumanniana;Zexmenia viguerioides
NA,NA,NA,NA,NA,NA,NA,NA,DD,NA,NA,NA,NA,NA,NA,NA,sima,NA,NA,NA,NA,NA,not found,Dyckia commixta,NA,NA,,Achimenes ichtyostoma;Aeschynomene montevidensis var. microphylla;Alternanthera malmeana;Aniba rosaeodora;Athyrium filix-femina;Austroblechnum lechleri;Begonia diaphones;Begonia glabrescens;Begonia klydophylla;Begonia succulenta;Begonia tibagiensis;Cedrela angustifolia;Chaetoclamys psammina;Dyckia commixta;Dyckia julianae;Echinodorus rhombifolia;Elaphoglossum jamesonii;Enhydra sessilis;Epidendrum polyanthum;Erythrophyllastrum andinum;Evolvulus elegans subsp. confertifolius;Ficus velutina;Hibiscus linearis;Hibiscus urticifolius;Holocheilus schulzii;Hypericum cordiforme var. Kleinii;Maytenus ilicifolia;Ossaea australis;Paepalanthus melaleucus var. epilosus;Parodia schumanniana;Peperomia cooperi;Peperomia sessilifolia;Poikilacanthus guillesii;Portulaca cryptopetala var. poellniztiana;Rhipsalis hileiabaiana subsp. hileiabaiana;Schwenckia grandiflora var. hatschbachiana;Spananthe Jacq.;Syngonanthus caulescens var. epapillosus;Trichilia lepidota var. schumanniana;Zexmenia viguerioides
NA,NA,NA,NA,NA,NA,NA,NA,DD,NA,NA,NA,NA,NA,NA,NA,sima,NA,NA,NA,NA,NA,not found,Dyckia julianae,NA,NA,,Achimenes ichtyostoma;Aeschynomene montevidensis var. microphylla;Alternanthera malmeana;Aniba rosaeodora;Athyrium filix-femina;Austroblechnum lechleri;Begonia diaphones;Begonia glabrescens;Begonia klydophylla;Begonia succulenta;Begonia tibagiensis;Cedrela angustifolia;Chaetoclamys psammina;Dyckia commixta;Dyckia julianae;Echinodorus rhombifolia;Elaphoglossum jamesonii;Enhydra sessilis;Epidendrum polyanthum;Erythrophyllastrum andinum;Evolvulus elegans subsp. confertifolius;Ficus velutina;Hibiscus linearis;Hibiscus urticifolius;Holocheilus schulzii;Hypericum cordiforme var. Kleinii;Maytenus ilicifolia;Ossaea australis;Paepalanthus melaleucus var. epilosus;Parodia schumanniana;Peperomia cooperi;Peperomia sessilifolia;Poikilacanthus guillesii;Portulaca cryptopetala var. poellniztiana;Rhipsalis hileiabaiana subsp. hileiabaiana;Schwenckia grandiflora var. hatschbachiana;Spananthe Jacq.;Syngonanthus caulescens var. epapillosus;Trichilia lepidota var. schumanniana;Zexmenia viguerioides
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sima,NA,NA,NA,NA,NA,not found,Echinodorus rhombifolia,NA,NA,,Achimenes ichtyostoma;Aeschynomene montevidensis var. microphylla;Alternanthera malmeana;Aniba rosaeodora;Athyrium filix-femina;Austroblechnum lechleri;Begonia diaphones;Begonia glabrescens;Begonia klydophylla;Begonia succulenta;Begonia tibagiensis;Cedrela angustifolia;Chaetoclamys psammina;Dyckia commixta;Dyckia julianae;Echinodorus rhombifolia;Elaphoglossum jamesonii;Enhydra sessilis;Epidendrum polyanthum;Erythrophyllastrum andinum;Evolvulus elegans subsp. confertifolius;Ficus velutina;Hibiscus linearis;Hibiscus urticifolius;Holocheilus schulzii;Hypericum cordiforme var. Kleinii;Maytenus ilicifolia;Ossaea australis;Paepalanthus melaleucus var. epilosus;Parodia schumanniana;Peperomia cooperi;Peperomia sessilifolia;Poikilacanthus guillesii;Portulaca cryptopetala var. poellniztiana;Rhipsalis hileiabaiana subsp. hileiabaiana;Schwenckia grandiflora var. hatschbachiana;Spananthe Jacq.;Syngonanthus caulescens var. epapillosus;Trichilia lepidota var. schumanniana;Zexmenia viguerioides
NA,NA,NA,NA,NA,NA,NA,NA,DD,NA,NA,NA,NA,NA,NA,NA,sima,NA,NA,NA,NA,NA,not found,Elaphoglossum jamesonii,NA,NA,,Achimenes ichtyostoma;Aeschynomene montevidensis var. microphylla;Alternanthera malmeana;Aniba rosaeodora;Athyrium filix-femina;Austroblechnum lechleri;Begonia diaphones;Begonia glabrescens;Begonia klydophylla;Begonia succulenta;Begonia tibagiensis;Cedrela angustifolia;Chaetoclamys psammina;Dyckia commixta;Dyckia julianae;Echinodorus rhombifolia;Elaphoglossum jamesonii;Enhydra sessilis;Epidendrum polyanthum;Erythrophyllastrum andinum;Evolvulus elegans subsp. confertifolius;Ficus velutina;Hibiscus linearis;Hibiscus urticifolius;Holocheilus schulzii;Hypericum cordiforme var. Kleinii;Maytenus ilicifolia;Ossaea australis;Paepalanthus melaleucus var. epilosus;Parodia schumanniana;Peperomia cooperi;Peperomia sessilifolia;Poikilacanthus guillesii;Portulaca cryptopetala var. poellniztiana;Rhipsalis hileiabaiana subsp. hileiabaiana;Schwenckia grandiflora var. hatschbachiana;Spananthe Jacq.;Syngonanthus caulescens var. epapillosus;Trichilia lepidota var. schumanniana;Zexmenia viguerioides
NA,NA,NA,NA,NA,NA,NA,NA,NA,EX,EX,NA,NA,NA,NA,NA,sima-SP_oficial,NA,NA,NA,NA,NA,not found,Enhydra sessilis,NA,NA,,Achimenes ichtyostoma;Aeschynomene montevidensis var. microphylla;Alternanthera malmeana;Aniba rosaeodora;Athyrium filix-femina;Austroblechnum lechleri;Begonia diaphones;Begonia glabrescens;Begonia klydophylla;Begonia succulenta;Begonia tibagiensis;Cedrela angustifolia;Chaetoclamys psammina;Dyckia commixta;Dyckia julianae;Echinodorus rhombifolia;Elaphoglossum jamesonii;Enhydra sessilis;Epidendrum polyanthum;Erythrophyllastrum andinum;Evolvulus elegans subsp. confertifolius;Ficus velutina;Hibiscus linearis;Hibiscus urticifolius;Holocheilus schulzii;Hypericum cordiforme var. Kleinii;Maytenus ilicifolia;Ossaea australis;Paepalanthus melaleucus var. epilosus;Parodia schumanniana;Peperomia cooperi;Peperomia sessilifolia;Poikilacanthus guillesii;Portulaca cryptopetala var. poellniztiana;Rhipsalis hileiabaiana subsp. hileiabaiana;Schwenckia grandiflora var. hatschbachiana;Spananthe Jacq.;Syngonanthus caulescens var. epapillosus;Trichilia lepidota var. schumanniana;Zexmenia viguerioides
NA,NA,NA,NA,NA,NA,NA,NA,DD,NA,NA,NA,NA,NA,NA,NA,sima,NA,NA,NA,NA,NA,not found,Epidendrum polyanthum,NA,NA,,Achimenes ichtyostoma;Aeschynomene montevidensis var. microphylla;Alternanthera malmeana;Aniba rosaeodora;Athyrium filix-femina;Austroblechnum lechleri;Begonia diaphones;Begonia glabrescens;Begonia klydophylla;Begonia succulenta;Begonia tibagiensis;Cedrela angustifolia;Chaetoclamys psammina;Dyckia commixta;Dyckia julianae;Echinodorus rhombifolia;Elaphoglossum jamesonii;Enhydra sessilis;Epidendrum polyanthum;Erythrophyllastrum andinum;Evolvulus elegans subsp. confertifolius;Ficus velutina;Hibiscus linearis;Hibiscus urticifolius;Holocheilus schulzii;Hypericum cordiforme var. Kleinii;Maytenus ilicifolia;Ossaea australis;Paepalanthus melaleucus var. epilosus;Parodia schumanniana;Peperomia cooperi;Peperomia sessilifolia;Poikilacanthus guillesii;Portulaca cryptopetala var. poellniztiana;Rhipsalis hileiabaiana subsp. hileiabaiana;Schwenckia grandiflora var. hatschbachiana;Spananthe Jacq.;Syngonanthus caulescens var. epapillosus;Trichilia lepidota var. schumanniana;Zexmenia viguerioides
NA,NA,NA,NA,NA,NA,NA,NA,DD,NA,NA,NA,NA,NA,NA,NA,sima,NA,NA,NA,NA,NA,not found,Erythrophyllastrum andinum,NA,NA,,Achimenes ichtyostoma;Aeschynomene montevidensis var. microphylla;Alternanthera malmeana;Aniba rosaeodora;Athyrium filix-femina;Austroblechnum lechleri;Begonia diaphones;Begonia glabrescens;Begonia klydophylla;Begonia succulenta;Begonia tibagiensis;Cedrela angustifolia;Chaetoclamys psammina;Dyckia commixta;Dyckia julianae;Echinodorus rhombifolia;Elaphoglossum jamesonii;Enhydra sessilis;Epidendrum polyanthum;Erythrophyllastrum andinum;Evolvulus elegans subsp. confertifolius;Ficus velutina;Hibiscus linearis;Hibiscus urticifolius;Holocheilus schulzii;Hypericum cordiforme var. Kleinii;Maytenus ilicifolia;Ossaea australis;Paepalanthus melaleucus var. epilosus;Parodia schumanniana;Peperomia cooperi;Peperomia sessilifolia;Poikilacanthus guillesii;Portulaca cryptopetala var. poellniztiana;Rhipsalis hileiabaiana subsp. hileiabaiana;Schwenckia grandiflora var. hatschbachiana;Spananthe Jacq.;Syngonanthus caulescens var. epapillosus;Trichilia lepidota var. schumanniana;Zexmenia viguerioides
NA,NA,NA,NA,NA,NA,NA,NA,NA,EX,NA,NA,NA,NA,NA,NA,sima,NA,NA,NA,NA,NA,not found,Evolvulus elegans subsp. confertifolius,NA,NA,,Achimenes ichtyostoma;Aeschynomene montevidensis var. microphylla;Alternanthera malmeana;Aniba rosaeodora;Athyrium filix-femina;Austroblechnum lechleri;Begonia diaphones;Begonia glabrescens;Begonia klydophylla;Begonia succulenta;Begonia tibagiensis;Cedrela angustifolia;Chaetoclamys psammina;Dyckia commixta;Dyckia julianae;Echinodorus rhombifolia;Elaphoglossum jamesonii;Enhydra sessilis;Epidendrum polyanthum;Erythrophyllastrum andinum;Evolvulus elegans subsp. confertifolius;Ficus velutina;Hibiscus linearis;Hibiscus urticifolius;Holocheilus schulzii;Hypericum cordiforme var. Kleinii;Maytenus ilicifolia;Ossaea australis;Paepalanthus melaleucus var. epilosus;Parodia schumanniana;Peperomia cooperi;Peperomia sessilifolia;Poikilacanthus guillesii;Portulaca cryptopetala var. poellniztiana;Rhipsalis hileiabaiana subsp. hileiabaiana;Schwenckia grandiflora var. hatschbachiana;Spananthe Jacq.;Syngonanthus caulescens var. epapillosus;Trichilia lepidota var. schumanniana;Zexmenia viguerioides
NA,NA,NA,NA,NA,NA,NA,NA,DD,NA,NA,NA,NA,NA,NA,NA,sima,NA,NA,NA,NA,NA,not found,Ficus velutina,NA,NA,,Achimenes ichtyostoma;Aeschynomene montevidensis var. microphylla;Alternanthera malmeana;Aniba rosaeodora;Athyrium filix-femina;Austroblechnum lechleri;Begonia diaphones;Begonia glabrescens;Begonia klydophylla;Begonia succulenta;Begonia tibagiensis;Cedrela angustifolia;Chaetoclamys psammina;Dyckia commixta;Dyckia julianae;Echinodorus rhombifolia;Elaphoglossum jamesonii;Enhydra sessilis;Epidendrum polyanthum;Erythrophyllastrum andinum;Evolvulus elegans subsp. confertifolius;Ficus velutina;Hibiscus linearis;Hibiscus urticifolius;Holocheilus schulzii;Hypericum cordiforme var. Kleinii;Maytenus ilicifolia;Ossaea australis;Paepalanthus melaleucus var. epilosus;Parodia schumanniana;Peperomia cooperi;Peperomia sessilifolia;Poikilacanthus guillesii;Portulaca cryptopetala var. poellniztiana;Rhipsalis hileiabaiana subsp. hileiabaiana;Schwenckia grandiflora var. hatschbachiana;Spananthe Jacq.;Syngonanthus caulescens var. epapillosus;Trichilia lepidota var. schumanniana;Zexmenia viguerioides
