"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","county","yearIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","infraspecificEpithet","monthIdentified","dayIdentified","typeStatus","fieldNumber","individualCount"
"1","2020-09-23 10:40:33-03","E","E","214940","PreservedSpecimen","Plantae","Leguminosae","Centrolobium","paraense","Centrolobium paraense","Lewis, G.P.","1420","1987","03","08","E. Tropical South America","BR","fruit collection/cone collecti","BGBASE:227348","<a href=http://data.rbge.org.uk/herb/E00214940 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00214940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:40:33-03","E","E","201351","PreservedSpecimen","Plantae","Leguminosae","Centrolobium","paraense","Centrolobium paraense","Lima, J.","790","1987","05","20","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:208768","<a href=http://data.rbge.org.uk/herb/E00201351 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00201351",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01479761","PreservedSpecimen","Plantae","Fabaceae","Centrolobium","paraense","Centrolobium paraense","G. T. Prance","9562","1969","02","01","South America","Brazil","boxed",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1378233' target='other'> <mi>dwc_moreinfo</mi></a>","NY01479761","Magnoliophyta","Fabales","Tul.","G. T. Prance","Roraima","85 km N of Boa Vista, Fazenda União.","-60.65","3.62","NY01479761_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","03836767","PreservedSpecimen","Plantae","Fabaceae","Centrolobium","paraense","Centrolobium paraense","M. J. Jansen-Jacobs","4012","1995","06","09","South America","Guyana","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4114438' target='other'> <mi>dwc_moreinfo</mi></a>","NY03836767","Magnoliophyta","Fabales","Tul.","M. D. Pirie",NA,"Rupununi. Dadanawa. Bushisland","-59.52","2.82","NY03836767_01","120","120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-11-07 15:30:00-02","NY","NYBG","2594044","PreservedSpecimen","Plantae","Fabaceae","Centrolobium","paraense","Centrolobium paraense","W. D. Cleary","s.n.","1923","10","01","South America","Venezuela","separate fruit",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2884046' target='other'> <mi>dwc_moreinfo</mi></a>","NY02594044","Magnoliophyta","Fabales",NA,NA,NA,"Maracailho",NA,NA,"NY02594044_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01479758","PreservedSpecimen","Plantae","Fabaceae","Centrolobium","paraense","Centrolobium paraense","G. P. Lewis","1420","1987","03","08","South America","Brazil","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1844224' target='other'> <mi>dwc_moreinfo</mi></a>","NY01479758","Magnoliophyta","Fabales","Tul.",NA,"Roraima","Reserva Ecológica de Maracá. Estrada from base camp to Santa Rosa.","-61.83","3.58","NY01479758_01",NA,NA,"Boa Vista",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01479763","PreservedSpecimen","Plantae","Fabaceae","Centrolobium","paraense","Centrolobium paraense","G. T. Prance","9562","1969","02","01","South America","Brazil","boxed",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1844231' target='other'> <mi>dwc_moreinfo</mi></a>","NY01479763","Magnoliophyta","Fabales","Tul.","G. T. Prance","Roraima","85 km N of Boa Vista, Fazenda União.","-60.65","3.62","NY01479763_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-06-29 11:30:23-03","UFRJ","RFA","9690","PreservedSpecimen","Plantae","Fabaceae","Centrolobium","paraense","Centrolobium paraense","A. Ducke",NA,"1937","06","30",NA,"Brasil",NA,NA,NA,"RFA27939",NA,NA,"Tul.",NA,"Amazonas","Serra Grande, Rio Branco",NA,NA,NA,NA,NA,"Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-08 17:41:19-03","EAO","IAN","144303","PreservedSpecimen","Plantae","Leguminosae-Pap.","Centrolobium","paraense","Centrolobium paraense","Pires, JM; Leite, PF","14684","1974","06","27","Southern America","Brasil",NA,NA,"Árvore mediana. Cálice quase preto, pétala amarela.","IAN144303","Dicotiledônea",NA,"Tul.","Lima, HC de","Roraima","Rodovia BR-401 entre Boa Vista e Bom Fim Guiana). Ponto 9. Mata tendendo para cerradão.",NA,NA,NA,NA,NA,NA,"1984",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-08 17:41:19-03","EAO","IAN","145697","PreservedSpecimen","Plantae","Leguminosae-Pap.","Centrolobium","paraense","Centrolobium paraense","Ribeiro, BGS","15283","1975","02","10","Southern America","Brasil",NA,NA,"Árvore de 25m e 80cm de diâmetro. Frutos espinhosos.","IAN145697","Dicotiledônea",NA,"Tul.",NA,"Roraima","Margem da Estrada Perimetral Norte, próximo o Rio Catrimani.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
