"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","stateProvince","locality","decimalLongitude","decimalLatitude","imagecode","typeStatus","county","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","infraspecificEpithet","sex"
"1","2020-09-23 10:42:34-03","E","E","198791","PreservedSpecimen","Plantae","Polygonaceae","Triplaris","americana","Triplaris americana","Pennington, T.D.; Daza, A.; Revilla, J.","17269","2001","08","22","W. Tropical South America","PE","herbarium specimen of unspecif","BGBASE:208421","<a href=http://data.rbge.org.uk/herb/E00198791 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00198791",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:42:34-03","E","E","226248","PreservedSpecimen","Plantae","Polygonaceae","Triplaris","americana","Triplaris americana","Tello","884","1990","12","15","W. Tropical South America","PE","herbarium specimen of unspecif","BGBASE:236066","<a href=http://data.rbge.org.uk/herb/E00226248 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00226248",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","260325","PreservedSpecimen","Plantae","Polygonaceae","Ruprechtia","martii","Ruprechtia martii","R. Spruce","s.n.","1850","12",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=153635' target='other'> <mi>dwc_moreinfo</mi></a>","NY00260325","Magnoliophyta","Caryophyllales","Meisn.","Amazonas","In vicinibus Barra [Manaus] , prov. Rio Negro","-59.9953079","-3.0673242","NY00260325_01 NY00260325_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","260324","PreservedSpecimen","Plantae","Polygonaceae","Ruprechtia","martii","Ruprechtia martii","Collector unspecified",NA,NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=708574' target='other'> <mi>dwc_moreinfo</mi></a>","NY00260324","Magnoliophyta","Caryophyllales","Meisn.","Bahia",NA,"-39.039072","-15.159747","NY00260324_01 NY00260324_02","type fragment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","260326","PreservedSpecimen","Plantae","Polygonaceae","Ruprechtia","martii","Ruprechtia martii","R. Spruce","2236","1852","01",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=771422' target='other'> <mi>dwc_moreinfo</mi></a>","NY00260326","Magnoliophyta","Caryophyllales","Meisn.","Amazonas","Prope San [São] Gabriel da Cachoeira, ad Rio Negro Brasilia borelis",NA,NA,"NY00260326_01 NY00260326_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-10-21 19:20:00-02","NY","NYBG","260328","PreservedSpecimen","Plantae","Polygonaceae","Ruprechtia","martii","Ruprechtia martii","R. Schomburgk","s.n.",NA,NA,NA,"South America","Guyana","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=771423' target='other'> <mi>dwc_moreinfo</mi></a>","NY00260328","Magnoliophyta","Caryophyllales",NA,NA,"Guiana",NA,NA,"NY00260328_01 NY00260328_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","4111814","PreservedSpecimen","Plantae","Polygonaceae","Triplaris","americana","Triplaris americana","J. D. Boeke","3234","1980","08","30","South America","Peru","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4502542' target='other'> <mi>dwc_moreinfo</mi></a>","NY04111814","Magnoliophyta","Caryophyllales","L.","Cusco","Quillabamba-Colca road, km 22.",NA,NA,NA,NA,"Cusco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","485001","PreservedSpecimen","Plantae","Polygonaceae","Triplaris","americana","Triplaris americana","F. Encarnación","26498","1982","08","24","South America","Peru","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=571010' target='other'> <mi>dwc_moreinfo</mi></a>","NY00485001","Magnoliophyta","Caryophyllales","L.","Loreto","Caño Iricahua, abajo de Senaro Herrera margen izquierda R. Ucayali","-73.766581","-4.817787",NA,NA,"Requena","J. Brandbyge",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-27 13:38:00-03","NY","NYBG","00864072","PreservedSpecimen","Plantae","Polygonaceae","Triplaris","americana","Triplaris americana","J. A. Ratter","R.235","1967","07","31","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=955414' target='other'> <mi>dwc_moreinfo</mi></a>","NY00864072","Magnoliophyta","Caryophyllales",NA,"Mato Grosso","26 km N. of Xavantina on the Xavantina- Cachimbo Road (unfinished). Near João Lopez bridge.","-52.1583","-14.0503","NY00864072_01",NA,"Água Boa","J. Brandbyge",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00864066","PreservedSpecimen","Plantae","Polygonaceae","Triplaris","americana","Triplaris americana","B. Maguire","56381","1963","08","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=955294' target='other'> <mi>dwc_moreinfo</mi></a>","NY00864066","Magnoliophyta","Caryophyllales","L.","Mato Grosso","100 km N of Cuiaba, en route to Diamantino, Mato Grosso. Brasilia-Acre Highway.","-56.515631","-15.011036","NY00864066_01",NA,NA,"J. Brandbyge","200","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
