"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","maximumElevationInMeters","typeStatus","class","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","fieldNumber","infraspecificEpithet","individualCount","dayIdentified","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1039696","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Mycopteris","taxifolia","Mycopteris taxifolia","(L.) Sundue","F. B. Matos","F. B. Matos","1564","2008","07","31","South America","Brazil","Bahia","Camacan","Fazenda Serra Bonita, Reseva Serra Bonita, 9.7 km W de Camacan, na estrada para Jacarecí, daí 6 km SW na estrada para RPPN Serra Bonita e Torre da Embratel. Trilha da Baneba.","-39.5653","-15.3917","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1490077' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039696","NY01039696_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1686450","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Mycopteris","taxifolia","Mycopteris taxifolia","(L.) Sundue","F. B. Matos","F. B. Matos","1345","2007","04","12","South America","Brazil","Bahia","Arataca","Serra do Peito de Moça. Estrada que liga Arataca à Una, ramal ca. 22.4 km de Arataca com entrada no Assentamento Santo Antônio. RPPN Caminho das Pedras'.","-39.3417","-15.1736","600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1443036' target='other'> <mi>dwc_moreinfo</mi></a>","NY01686450","NY01686450_01","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02316375","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Mycopteris","taxifolia","Mycopteris taxifolia","(L.) Sundue","M. A. Sundue","M. A. Sundue","3338","2012","09","10","South America","Colombia","Antioquia","Frontino","Corregimiento Carauta, Parque Nacional Natural Las Orquídeas, sector Tres Bocas, camino hacia la mina San Francisco, margen izquierda del río San Francisco","-76.20836","6.63908","1700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1950800' target='other'> <mi>dwc_moreinfo</mi></a>","NY02316375","NY02316375_01","1750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","03599579","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Mycopteris","taxifolia","Mycopteris taxifolia","(L.) Sundue","W. D. Rodríguez-Duque","N. Castaño Arboleda","7782","2016","03","14","South America","Colombia","Caquetá","Belén de Los Andaquíes","Camino Andaquí, S del cruce entre el camino y qda. Las Verdes","-75.905444","1.629472","770","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3207804' target='other'> <mi>dwc_moreinfo</mi></a>","NY03599579","NY03599579_01","770",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","03985880","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Mycopteris","taxifolia","Mycopteris taxifolia","(L.) Sundue",NA,"M. J. Cock","YSB395","1981","03","06","South America","Trinidad and Tobago",NA,NA,"Trinidad. Morne Bleu (nr. summit).",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4284793' target='other'> <mi>dwc_moreinfo</mi></a>","NY03985880","NY03985880_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02690413","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Mycopteris","taxifolia","Mycopteris taxifolia","(L.) Sundue","W. D. Rodríguez-Duque","D. Cárdenas-López","46069","2016","03","14","South America","Colombia","Caquetá","Belén de Los Andaquíes","Camino Andaquí, comunica Acevedo-Belén de Los Andaquíes, qda. Las Verdes, vegetación a orilla de qda.","-75.906056","1.631278","700","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3208140' target='other'> <mi>dwc_moreinfo</mi></a>","NY02690413",NA,"850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","144884","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Polypodium","paulistanum","Polypodium paulistanum","Rosenst.",NA,"A. C. Brade","8396","1925","10",NA,"South America","Brazil","São Paulo",NA,"La Paranapiacaba",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=394092' target='other'> <mi>dwc_moreinfo</mi></a>","NY00144884","NY00144884_01",NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1580426","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Terpsichore","taxifolia","Terpsichore taxifolia","(L.) A.R.Sm.","R. C. Moran","D. Sanín","5096","2011","07","27","South America","Colombia","Antioquia","Frontino","Parque Nacional Natural Las Orquídeas, sector de Venados, vereda Venados Abajo, sitio La Miquera, bosque dominado por Weittinia, Alfaroa y Aiphanes, abierto y con sotobosque denso","-76.30056","6.54042","1000",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1661677' target='other'> <mi>dwc_moreinfo</mi></a>","NY01580426","NY01580426_01","1030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02038476","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Terpsichore","taxifolia","Terpsichore taxifolia","(L.) A.R.Sm.","M. A. Sundue","M. A. Sundue","3330","2012","09","10","South America","Colombia","Antioquia","Frontino","Corregimiento Carauta, Parque Nacional Natural Las Orquídeas, sector Tres Bocas, camino hacia la mina San Francisco, margen izquierda del río San Francisco","-76.20836","6.63908","1700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1950792' target='other'> <mi>dwc_moreinfo</mi></a>","NY02038476","NY02038476_01","1750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1580430","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Terpsichore","taxifolia","Terpsichore taxifolia","(L.) A.R.Sm.","R. C. Moran","D. Sanín","5070","2011","07","26","South America","Colombia","Antioquia","Frontino","Parque Nacional Natural Las Orquídeas, vereda Venados Abajo, sector de Venados, sitio Arenales","-76.31075","6.54033","950",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1661651' target='other'> <mi>dwc_moreinfo</mi></a>","NY01580430","NY01580430_01","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
