"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","class","typeStatus","relatedCatalogItem","verbatimLongitude","verbatimLatitude","fieldNumber","minimumElevationInMeters","individualCount","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","01212641","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","pubescens","Pouteria pubescens","(Aubrév. & Pellegr.) T.D.Penn.","T. D. Pennington","B. A. Krukoff","8763","1936","10","26","South America","Brazil","Amazonas","São Paulo de Olivença","Basin of Rio Solimoes, basin of creek Belém","-68.8724975585938","-3.37832999229431","362329","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1463890' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212641","NY01212641_01","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 09:04:40-03","NBC","NL-BOTANY","U 0006686","PreservedSpecimen","Plantae",NA,"Ericales","Sapotaceae","Pouteria","pubescens","Pouteria pubescens","(Aubrév. & Pellegr.) T.D.Penn.","Pennington TD","Krukoff BA",NA,"1936","10","26","Southern America","Brazil","Amazonas",NA,"Basin of Rio SolimoesState of Amazonas: Municipality Sao Paulo de Olivença; basin of creek Belem.",NA,NA,NA,NA,"Terra firma; high forest.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200006686 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0006686","NL-U0006686",NA,"Magnoliopsidae","isotype","38919 A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-01-08 09:46:42-03","UNESP-IBB","BOTUW","1156","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","pubescens","Pouteria pubescens","(Aubrév. & Pellegr.) T.D.Penn.",NA,NA,NA,NA,NA,NA,NA,"Brasil","Espírito Santo",NA,"Comp. Vale do Rio Doce","-40.533333","-19.866667",NA,NA,NA,"BOTUW001156",NA,NA,NA,NA,NA,"40°32'W","19°52'S",NA,NA,NA,NA,NA,NA,NA,NA
"4","2015-09-25 17:14:51-03","MNHN","RECOLNAT_MNHN_P","P00648029","PreservedSpecimen",NA,NA,NA,"Sapotaceae","Pouteria","pubescens","Pouteria pubescens","(Aubrév. & Pellegr.) T.D.Penn.",NA,"Krukoff, B.A.",NA,"1936","10","26",NA,"Brésil",NA,NA,"Basin of Rio Solimoes, State of Amazonas : Municipality Sao Paulo de Olivença; basin of creek Belem",NA,NA,NA,"hb","Reçu le 6 décembre 1937 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00648029' target='other'> <mi>dwc_moreinfo</mi></a>","P00648029","P00648029_01",NA,NA,NA,NA,NA,NA,"8763",NA,NA,NA,NA,NA,NA,NA
"5","2015-09-27 08:18:20-03","MNHN","RECOLNAT_MNHN_P","P00648030","PreservedSpecimen",NA,NA,NA,"Sapotaceae","Pouteria","pubescens","Pouteria pubescens","(Aubrév. & Pellegr.) T.D.Penn.",NA,"Krukoff, B.A.",NA,"1936","10","26",NA,"Brésil",NA,NA,"Basin of Rio Solimoes, State of Amazonas : Municipality Sao Paulo de Olivença; basin of creek Belem",NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00648030' target='other'> <mi>dwc_moreinfo</mi></a>","P00648030","P00648030_01",NA,NA,NA,NA,NA,NA,"8763",NA,NA,NA,NA,NA,NA,NA
"6","2014-11-15 05:40:00-02","MO","MOBOT","1351389","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","pubescens","Pouteria pubescens","(Aubrév. & Pellegr.) T.D. Penn.","N. Pitman","Nigel Pitman|Tom Delinks","Pitman 1599","1997","8",NA,"South America","Ecuador","Napo","Orellana","Yasuni National Park. Kms 14-15 of the Maxus/YPF pipeline road. E of Juan Tapuy's finca. Mature terra firme forest on flat terrain.","-76.53333","-0.51666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"250.00000000",NA,NA,NA,NA,NA,NA
"7","2013-11-26 05:40:00-02","MO","MOBOT","3259280","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","pubescens","Pouteria pubescens","(Aubrév. & Pellegr.) T.D. Penn.",NA,"Pierre A. Loizeau|J. Méroz|E. Shamir|Cyrille Chatelain|G. Cuccodoro","Loizeau 836","1988","9","1","South America","Peru","Loreto",NA,"Jenaro Herrera. Jenaro Herrera, arboretum de terraza alta. Arbre 5/446. Forêt dense humid. Terraza alta.","-73.76666","-4.98333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"120.00000000",NA,NA,NA,NA,NA,NA
"8","2008-05-27 22:02:00-03","MO","MOBOT","3387645","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","pubescens","Pouteria pubescens","(Aubrév. & Pellegr.) T.D. Penn.","T.D. Pennington","Boris A. Krukoff","Krukoff 8763","1936","10","26","South America","Brazil","Amazonas",NA,"Municiapltiy Sao paulo de olivenca; basin of Creek Belem.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-12-07 05:17:00-02","MO","MOBOT","3579654","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","pubescens","Pouteria pubescens","(Aubrév. & Pellegr.) T.D. Penn.","E. Jaramillo (QCNE)","Jürgen Homeier|M.A. Chinchero|E. Jaramillo|L. Guachamin","Homeier 3269","2007","10","29","South America","Ecuador","Napo",NA,"area of the Selva Viva reserve, tropical lowland forest","-77.51666","-1.06666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA
"10","2008-05-27 22:02:00-03","MO","MOBOT","404997","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","pubescens","Pouteria pubescens","(Aubrév. & Pellegr.) T.D. Penn.","O. Phillips (MO)","Cesár A. Grández|et al.","Grández Rios 4060","1992","4","21","South America","Peru","Loreto","Maynas","Distrito de Indiana; Explorama Inn, Parcela 20 x 500, (Explor Inn), bosque primario no inundable, suelo areilloso. Parcela E, sub-parcela 19.","-72.96666","-3.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"199","115.00000000","4",NA,NA,NA,NA,NA
"11","2015-01-28 05:47:00-02","MO","MOBOT","405864","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","pubescens","Pouteria pubescens","(Aubrév. & Pellegr.) T.D. Penn.","A. Rudas (COL)","Agustin Rudas L.|Diego Giraldo-Cañas|et al.","Rudas Lleras 3904","1992","3","27","South America","Colombia","Amazonas",NA,"Municipio de Leticia. Parque Nacional Natural Amacayacu. Alrededores de la quebrada Agua Pudre en bosque de terra firme. Transecto F17-F16.","-70.25","-3.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"106","120.00000000","4",NA,NA,NA,NA,NA
