"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","recordNumber","continentOcean","preparationType","previousCatalogNumber","minimumElevationInMeters","maximumElevationInMeters","phylum","order","coordinatePrecision","geoFlag","class","relatedCatalogItem","infraspecificEpithet","individualCount","fieldNumber","typeStatus","sex"
"1","2021-04-08 15:16:31-03","UNESC","CRI","199","PreservedSpecimen","Plantae","Equisetaceae","Equisetum","giganteum","Equisetum giganteum","L.","Waechter J.","1989","07","14","Citadini-Zanette, V.; Butuhy, M.","1989","07","14","Brasil","Santa Catarina","Jaguaruna","Jaboticabeira, planta coletada no interior da mata paludosa","-49.025556","-28.615","49º1'32''W","28º36'54''S","Substitui o exemplar de Paspalum do livro Habito: Herbácea","CRI013802","CRI013802",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:12-03","UNESC","CRI","981","PreservedSpecimen","Plantae","Equisetaceae","Equisetum","giganteum","Equisetum giganteum","L.","Irgang, B.","1988","09","08","Citadini-Zanette, V.; Aguiar, A. J. & Butuhy, M.","1988","09","08","Brasil","Santa Catarina","Jaguaruna","Lagoa do Camacho, local de mineração Cysy. Área de transição ou alteração de Mangue","-49.025556","-28.615","49º1'32''W","28º36'54''S","Espécie de água doce Habito: Herbácea","CRI013801","CRI013801",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:38:54-03","E","E","183573","PreservedSpecimen","Plantae","Equisetaceae","Equisetum","giganteum","Equisetum giganteum",NA,NA,NA,NA,NA,"Gibby, Mary",NA,NA,NA,"PE",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00183573 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00183573",NA,"1416","W. Tropical South America","herbarium specimen of unspecif","BGBASE:170414",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:38:54-03","E","E","115375","PreservedSpecimen","Plantae","Equisetaceae","Equisetum","giganteum","Equisetum giganteum",NA,NA,NA,NA,NA,"Gardner, Martin F. & Matthews, Kate L.","1997","12","07","CL","Región IV [Coquimbo]","Prov. de Elqui",NA,"-70.833333","-30","-70.833333","-30.000000","<a href=http://data.rbge.org.uk/herb/E00115375 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00115375",NA,"54","Temperate South America","herbarium specimen of unspecif","BGBASE:120819",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:38:54-03","E","E","106978","PreservedSpecimen","Plantae","Equisetaceae","Equisetum","giganteum","Equisetum giganteum",NA,NA,NA,NA,NA,"Gardner, Martin F. & Matthews, Kate L.","1997","12","07","CL","Región IV [Coquimbo]","Prov. de Elqui","Elqui valley","-70.833333","-30","-70.833333","-30.000000","<a href=http://data.rbge.org.uk/herb/E00106978 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00106978",NA,"55","Temperate South America","herbarium specimen of unspecif","BGBASE:93500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:38:54-03","E","E","167612","PreservedSpecimen","Plantae","Equisetaceae","Equisetum","giganteum","Equisetum giganteum",NA,NA,NA,NA,NA,"Rodrigues, C.E.; Silva, M.R.;","1992","06","13","BR","Sao Paulo",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00167612 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00167612",NA,"87","E. Tropical South America","herbarium specimen of unspecif","BGBASE:176491",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:38:54-03","E","E","166467","PreservedSpecimen","Plantae","Equisetaceae","Equisetum","giganteum","Equisetum giganteum",NA,NA,NA,NA,NA,"Rodrigues, C.E.; Silva, M.R.;","1992","06","11","BR","Sao Paulo",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00166467 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00166467",NA,"5","E. Tropical South America","herbarium specimen of unspecif","BGBASE:176237",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:38:54-03","E","E","166466","PreservedSpecimen","Plantae","Equisetaceae","Equisetum","giganteum","Equisetum giganteum",NA,NA,NA,NA,NA,"Rodrigues, C.E.; Silva, M.R.;","1992","06","13","BR","Sao Paulo",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00166466 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00166466",NA,"83","E. Tropical South America","herbarium specimen of unspecif","BGBASE:176236",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:38:54-03","E","E","119601","PreservedSpecimen","Plantae","Equisetaceae","Equisetum","giganteum","Equisetum giganteum",NA,NA,NA,NA,NA,"Rodrigues, C.E.; Silva, M.R.;","1992","06","13","BR",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00119601 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00119601",NA,"87","E. Tropical South America","herbarium specimen of unspecif","BGBASE:175742",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-23 10:38:54-03","E","E","131922","PreservedSpecimen","Plantae","Equisetaceae","Equisetum","giganteum","Equisetum giganteum",NA,NA,NA,NA,NA,"Gardner, Martin F. & Knees, Sabina G.","2003","02","21","CL","Región I [Tarapacá]","Provincia de Iquique","On the A65 en route to Mamiña at Km 51.","-69.359722","-20.082778","-69.359722","-20.082778","<a href=http://data.rbge.org.uk/herb/E00131922 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00131922",NA,"6564","Temperate South America","herbarium specimen of unspecif","BGBASE:178637","1988","1988",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-09-23 10:38:54-03","E","E","183810","PreservedSpecimen","Plantae","Equisetaceae","Equisetum","giganteum","Equisetum giganteum",NA,NA,NA,NA,NA,"Gardner, Martin F. & Knees, Sabina G.","1993","02","28","CL","Región IV [Coquimbo]","Provincia de Limarí","4 km NE of Hurtado on road to Vicuna.","-70.666667","-30.3","-70.666667","-30.300000","<a href=http://data.rbge.org.uk/herb/E00183810 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00183810",NA,"5660","Temperate South America","herbarium specimen of unspecif","BGBASE:218911","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-09-23 10:38:54-03","E","E","89891","PreservedSpecimen","Plantae","Equisetaceae","Equisetum","giganteum","Equisetum giganteum",NA,NA,NA,NA,NA,"Gardner, Martin F. & Knees, Sabina G.","1999","11","27","CL","Región VIII [Biobío]","Prov. de Biobío","Salta de Laja, east of falls in remnant native forest","-72.381944","-37.215278","-72.381944","-37.215278","<a href=http://data.rbge.org.uk/herb/E00089891 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00089891",NA,"6125","Temperate South America","herbarium specimen of unspecif","BGBASE:107777","320","320",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-09-23 10:38:54-03","E","E","514089","PreservedSpecimen","Plantae","Equisetaceae","Equisetum","giganteum","Equisetum giganteum",NA,NA,NA,NA,NA,"Tweedie, John",NA,NA,NA,"AR","Provincia de Buenos Aires",NA,"Buenos Ayres",NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00514089 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00514089",NA,NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:521165",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-09-23 10:38:54-03","E","E","115376","PreservedSpecimen","Plantae","Equisetaceae","Equisetum","giganteum","Equisetum giganteum",NA,NA,NA,NA,NA,"Gardner, Martin F. & Matthews, Kate L.","1997","12","07","CL","Región IV [Coquimbo]","Prov. de Elqui",NA,"-70.833333","-30","-70.833333","-30.000000","<a href=http://data.rbge.org.uk/herb/E00115376 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00115376",NA,"54","Temperate South America","herbarium specimen of unspecif","BGBASE:120818",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-09-23 10:38:54-03","E","E","171120","PreservedSpecimen","Plantae","Equisetaceae","Equisetum","giganteum","Equisetum giganteum",NA,NA,NA,NA,NA,"Rodrigues, C.E.; Silva, M.R.;","1992","06","13","BR",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00171120 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00171120",NA,"106","E. Tropical South America","herbarium specimen of unspecif","BGBASE:177883",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
