"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","identifiedBy","yearIdentified","minimumElevationInMeters","maximumElevationInMeters","continentOcean","phylum","verbatimLongitude","verbatimLatitude","individualCount","typeStatus","infraspecificEpithet","class","order","monthIdentified","dayIdentified"
"1","2020-12-20 21:18:56-03","UFV","VIC","045059","PreservedSpecimen","Plantae","Poaceae","Chusquea","tenuiglumis","Chusquea tenuiglumis","Döll","Silva, A.P.; Pianissola, E.","286","2015","07","10","Brasil","Minas Gerais","Araponga","PESB, Trilha das Serra das Cabeças Mamute.","-42.5208015441895","-20.6667003631592","16385","Colmo apoiante, individuo de ca de 80 cm altura.","VIC045059","VIC045059","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-20 21:18:56-03","UFV","VIC","46326","PreservedSpecimen","Plantae","Poaceae","Chusquea","tenuiglumis","Chusquea tenuiglumis","Döll","Pianissola, E. .M.;; Silva, A. .P.","69","2015","01","19","Brasil","Minas Gerais","Viçosa","Campus universitário (UFV) em borda ao lado esquer","-42.8819007873535","-20.7539005279541","13937","Mata atlântica, ocorrendo em borda de mata. Plantas com colmos escandentes. Entrenós verdes com manchas vináceas com 1 cm de diamtro e 30-33 cm de comprimento. Folhas do colmo persistentes com lamina caduca. Coord 20° 45' 35,36 S 42","VIC046326","VIC046326","auto","L. G. Clark","2015","655","655",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-21 16:40:13-03","MBM","MBM","194587","PreservedSpecimen","Plantae","Poaceae","Chusquea","tenuiglumis","Chusquea tenuiglumis","Döll","Clark, L.G.; et al.; et al.","1058",NA,NA,NA,"Brazil","São Paulo","Cunha","Rodovia para Campos Novos, 12km","-44.9599990844727","-23.0699996948242","38855",NA,"MBM194587","MBM194587","auto","Clark, L.G.",NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:40:13-03","MBM","MBM","194586","PreservedSpecimen","Plantae","Poaceae","Chusquea","tenuiglumis","Chusquea tenuiglumis","Döll","Clark, L.G.; et al.; et al.","734",NA,NA,NA,"Brazil","Minas Gerais","Camanducaia","Serra da Mantiqueira, rodovia para Monte Verde","-46.1446990966797","-22.7553005218506","22140",NA,"MBM194586","MBM194586","auto","Clark, L.G.",NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-11 11:45:03-03","UFMG","BHCB","119067","PreservedSpecimen","Plantae","Poaceae","Chusquea","tenuiglumis","Chusquea tenuiglumis","Döll","Viana, PL; Mota, NFO; Silva, LVC; Maciel, GM","3559","2008","05","15","Brasil","Minas Gerais","Alagoa","Parque Estadual da Serra do Papagaio","-44.827778","-22.223333",NA,"Colmos arqueados. Bainhas das folhas do colmo pintadas; Em beira de riacho, mata ciliar","BHCB045930",NA,NA,NA,"2018","1291","1291","Southern America","Monocotyledon","-44.827778","-22.223333",NA,NA,NA,NA,NA,NA,NA
"6","2020-12-11 11:45:03-03","UFMG","BHCB","115544","PreservedSpecimen","Plantae","Poaceae","Chusquea","tenuiglumis","Chusquea tenuiglumis","Döll","Viana, PL; Stehmann, JR; Zamberlan, PM","3164","2007","10","23","Brasil","São Paulo","Jundiaí","Serra do Japi, Entrada DAE","-46.965556","-23.208889",NA,"Colmos escandentes revestidos por bainhas de folhas do colmo. Lâminas precocemente caducas.; Beira de riacho","BHCB045929",NA,NA,NA,"2018",NA,NA,"Southern America","Monocotyledon","-46.965556","-23.208889",NA,NA,NA,NA,NA,NA,NA
"7","2020-12-11 11:45:03-03","UFMG","BHCB","36904","PreservedSpecimen","Plantae","Poaceae","Chusquea","tenuiglumis","Chusquea tenuiglumis","Döll",NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledon",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-11 11:45:03-03","UFMG","BHCB","36921","PreservedSpecimen","Plantae","Poaceae","Chusquea","tenuiglumis","Chusquea tenuiglumis","Döll",NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledon",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-11 11:45:03-03","UFMG","BHCB","36925","PreservedSpecimen","Plantae","Poaceae","Chusquea","tenuiglumis","Chusquea tenuiglumis","Döll",NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledon",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-11 11:45:03-03","UFMG","BHCB","36932","PreservedSpecimen","Plantae","Poaceae","Chusquea","tenuiglumis","Chusquea tenuiglumis","Döll",NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledon",NA,NA,NA,NA,NA,NA,NA,NA,NA
