"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","typeStatus","class","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","individualCount","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","00858349","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Banisteriopsis","andersonii","Banisteriopsis andersonii","B.Gates","B. Gates","H. S. Irwin","20904A","1968","02","26","South America","Brazil","Minas Gerais","Serra do Espinhaço, ca. 30km N. of Sêrro on road (MG 2) to Diamantina.","-43.65","-18.53","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=955480' target='other'> <mi>dwc_moreinfo</mi></a>","NY00858349","NY00858349_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00858340","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Banisteriopsis","andersonii","Banisteriopsis andersonii","B.Gates","B. Gates","B. Gates","351","1976","03","08","South America","Brazil","Minas Gerais","1 km N of Sopa on road from Diamantina to São João da Chapada.","-43.6003","-18.2494",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=955459' target='other'> <mi>dwc_moreinfo</mi></a>","NY00858340","NY00858340_01","Diamantina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00858343","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Banisteriopsis","andersonii","Banisteriopsis andersonii","B.Gates","B. Gates","W. R. Anderson","36124a","1972","02","17","South America","Brazil","Minas Gerais","Serra do Espinhaço, Serra do Cipó","-43.567497","-19.391589","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=955469' target='other'> <mi>dwc_moreinfo</mi></a>","NY00858343","NY00858343_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00858351","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Banisteriopsis","andersonii","Banisteriopsis andersonii","B.Gates","M. C. H. Mamede","G. P. Lewis","CFSC7754A","1982","02","16","South America","Brazil","Minas Gerais","Km 106 ao longo da rodovia Belo Horizonte - Concição do Mato Dentro.","-43.7142","-19.1692",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=955485' target='other'> <mi>dwc_moreinfo</mi></a>","NY00858351","NY00858351_01","Santana do Riacho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00858342","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Banisteriopsis","andersonii","Banisteriopsis andersonii","B.Gates","B. Gates","W. R. Anderson","11594","1975","02","25","South America","Brazil","Minas Gerais","Steep-sided valley of Biribiri","-43.6167","-18.1333","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=955467' target='other'> <mi>dwc_moreinfo</mi></a>","NY00858342","NY00858342_01","Diamantina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00858344","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Banisteriopsis","andersonii","Banisteriopsis andersonii","B.Gates","B. Gates","W. R. Anderson","8500","1973","04","10","South America","Brazil","Minas Gerais","Ca. 18 km by road SW of Diamantina on road to Curvelo. Serra do Espinhaço.","-43.72035","-18.36499","1400","1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=955472' target='other'> <mi>dwc_moreinfo</mi></a>","NY00858344","NY00858344_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00858345","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Banisteriopsis","andersonii","Banisteriopsis andersonii","B.Gates","B. Gates","W. R. Anderson","35203","1972","02","03","South America","Brazil","Minas Gerais","Ca. 10km SW of Diamantina.","-43.68585","-18.2801","1250","1250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=955473' target='other'> <mi>dwc_moreinfo</mi></a>","NY00858345","NY00858345_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","55154","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Banisteriopsis","andersonii","Banisteriopsis andersonii","B.Gates",NA,"W. R. Anderson","8383","1973","04","09","South America","Brazil","Minas Gerais","Serra do Espinhaço; 10 km by road NE of Diamantina on road to Rio Jequití",NA,NA,"1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=305394' target='other'> <mi>dwc_moreinfo</mi></a>","NY00055154","NY00055154_01",NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00858346","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Banisteriopsis","andersonii","Banisteriopsis andersonii","B.Gates","B. Gates","G. G. Hatschbach","31631","1973","02","16","South America","Brazil","Minas Gerais","Serra do Espinhaço.","-43.6003","-18.2494",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=955474' target='other'> <mi>dwc_moreinfo</mi></a>","NY00858346","NY00858346_01","Diamantina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00858348","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Banisteriopsis","andersonii","Banisteriopsis andersonii","B.Gates","B. Gates","A. P. Duarte","7879","1963","01","14","South America","Brazil","Minas Gerais","Diamantina, Subida para a Usina.","-43.6003","-18.2494",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=955478' target='other'> <mi>dwc_moreinfo</mi></a>","NY00858348","NY00858348_01","Diamantina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
