"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","locality","recordNumber","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber","sex"
"1","2021-04-05 14:25:54-03","UNESC","CRI","13403","PreservedSpecimen","Plantae","Polygonaceae","Polygonum","hydropiperoides","Polygonum hydropiperoides","Michx.","Renato Colares","2018","05","30","Renato Colares","2018","01","15","Brasil","Santa Catarina","Siderópolis","-49.404167","-28.614444","49º24'15''W","28º36'52''S","139","139","Habitat: Terrestre Habito: Herbácea","CRI012010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:00-03","UNESC","CRI","6038","PreservedSpecimen","Plantae","Polygonaceae","Polygonum","hydropiperoides","Polygonum hydropiperoides","Michx.","Vanilde C. Zanette",NA,NA,NA,"Robson dos Santos; Clair M. Martinello","1996","09","01","Brasil","Santa Catarina","Araranguá","-49.492222","-28.936111","49º29'32''W","28º56'10''S",NA,NA,NA,"CRI007272","CRI007272",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:34:00-03","UNESC","CRI","8671","PreservedSpecimen","Plantae","Polygonaceae","Polygonum","hydropiperoides","Polygonum hydropiperoides","Michx.","Ilsi I. Boldrini","2007","12","12","Polliana Zocche","2007","12","12","Brasil","Santa Catarina","Siderópolis","-49.424722","-28.598333","49º25'29''W","28º35'54''S","111","111",NA,"CRI007278","CRI007278","Mina do Trevo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:54-03","UNESC","CRI","47","PreservedSpecimen","Plantae","Polygonaceae","Polygonum","hydropiperoides","Polygonum hydropiperoides","Michx.",NA,NA,NA,NA,"Vanilde C. Zanette","1981","03","20","Brasil","Santa Catarina","Siderópolis","-49.425278","-28.598889","49º25'31''W","28º35'56''S",NA,NA,NA,"CRI007274","CRI007274",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:54-03","UNESC","CRI","120","PreservedSpecimen","Plantae","Polygonaceae","Polygonum","hydropiperoides","Polygonum hydropiperoides","Michx.","B. E. Irgang",NA,NA,NA,"V. C. Zanette; A. Bortot","1982","03","10","Brasil","Santa Catarina","Siderópolis","-49.425278","-28.598889","49º25'31''W","28º35'56''S",NA,NA,NA,"CRI007275","CRI007275","Alto Rio Fiorita.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:34:00-03","UNESC","CRI","4397","PreservedSpecimen","Plantae","Polygonaceae","Polygonum","hydropiperoides","Polygonum hydropiperoides","Michx.",NA,NA,NA,NA,"V. P. Boff","1995","11","02","Brasil","Santa Catarina","Jacinto Machado","-49.763889","-28.998056","49º45'50''W","28º59'53''S","8","8","Habito: erva","CRI007285","CRI007285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:54-03","UNESC","CRI","6577","PreservedSpecimen","Plantae","Polygonaceae","Polygonum","hydropiperoides","Polygonum hydropiperoides","Michx.",NA,NA,NA,NA,"Renata Texeira","1999","10","10","Brasil","Rio Grande do Sul","Torres","-49.793333","-29.356667","49º47'36''W","29º21'24''S","5","5",NA,"CRI007267","CRI007267",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:54-03","UNESC","CRI","6911","PreservedSpecimen","Plantae","Polygonaceae","Polygonum","hydropiperoides","Polygonum hydropiperoides","Michx.",NA,NA,NA,NA,"Renata Texeira","1999","10","10","Brasil","Rio Grande do Sul","Torres","-49.793056","-29.356667","49º47'35''W","29º21'24''S","5","5",NA,"CRI007273","CRI007273",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:25:54-03","UNESC","CRI","13518","PreservedSpecimen","Plantae","Polygonaceae","Polygonum","hydropiperoides","Polygonum hydropiperoides","Michx.","Renato Colares","2018","05","28","Renato Colares; Thuany Machado","2018","03",NA,"Brasil","Santa Catarina","Treviso","-49.445556","-28.531389","49º26'44''W","28º31'53''S","161","161","Habitat: Terrestre Habito: Herbácea","CRI012125",NA,"Campo Morozini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:25:54-03","UNESC","CRI","43","PreservedSpecimen","Plantae","Polygonaceae","Polygonum","hydropiperoides","Polygonum hydropiperoides","Michx.",NA,NA,NA,NA,"V. C. Zanette","1981","03","20","Brasil","Santa Catarina","Siderópolis","-49.431667","-28.595833","49º25'54''W","28º35'45''S",NA,NA,NA,"CRI007271","CRI007271",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
