"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","typeStatus","recordedBy","year","month","day","continentOcean","country","stateProvince","locality","occurrenceRemarks","barcode","imagecode","phylum","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","recordNumber","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters"
"1","2020-02-08 08:54:48-03","NBC","NL-BOTANY","U 0105373","PreservedSpecimen","Plantae","Magnoliopsidae","Caryophyllales","Cactaceae","Micranthocereus","albicephalus","Micranthocereus albicephalus","(Buining & Brederoo) F.Ritter","Zappi DC; Taylor NP","1991","10","01","holotype","Ritter F","1964","01","01","Southern America","Brazil","Minas Gerais","Brazil, Minas Gerais, Monte Azul","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200105373 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0105373","NL-U0105373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 11:04:12-03","ESALQ","ESA","24999","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Micranthocereus","albicephalus","Micranthocereus albicephalus","(Buining & Brederoo) Ritter","Aona, L.Y.S.",NA,NA,NA,NA,"Roque, N. et al.","1994","03","12",NA,"Brasil","Bahia",NA,NA,"ESA024999","ESA024999","Magnoliophyta","Licínio de Almeida","-42.5074996948242","-14.6822004318237","31339","auto",NA,NA,NA,NA,NA
"3","2021-03-01 16:27:13-03","UNICAMP","UEC","114979","S","Plantae",NA,NA,"Cactaceae","Micranthocereus","albicephalus","Micranthocereus albicephalus","(Buining & Brederoo) F.Ritter","Aona, LYS",NA,NA,NA,NA,"Aona, LYS; Belinello, R","2000","08","18",NA,"Brazil","Minas Gerais","11,6 km o trevo de Mato Verde em direção a S.A.Retiro. Serra Geral.","Botão floral rosa, 1,5 - 2 cm, fruto vináceo 0,8 - 1 cm.","UEC041162","UEC041162","Magnoliopsida","Mato Verde","-42.776944","-15.3875",NA,NA,"722","-42.776944","-15.3875","920","920"
"4","2021-03-04 11:04:45-03","UFRB","HURB","13644","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Micranthocereus","albicephalus","Micranthocereus albicephalus","(Buining & Brederoo) F. Ritter",NA,NA,NA,NA,NA,"Mendes, D. B.; Machado, M.","2015","11","09",NA,"Brasil","Bahia","Ca. 5,3 km ao sul de Jacaraci na BA-156 contados a partir do entroncamento da BA-263, dobrar a direita (oeste) no ponto 14º52'50,3S, 42º25'37,2W, após 3,3km dobrar à direita (norte) no ponto 14º52'22,1S, 42º27'12,3W; Logo em seguida no ponto 14º52'8,1","No mesmo local também havia: Melocactus paucispinus, Melocactus sp., Pilosocereus pachycladus, Tacinga inamoena.","HURB000013644","HURB000013644",NA,"Jacaraci","-42.483333","-14.878472",NA,NA,"36","42º29'W","14º52'42,5S","1028","1028"
"5","2021-03-04 11:04:45-03","UFRB","HURB","13659","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Micranthocereus","albicephalus","Micranthocereus albicephalus","(Buining & Brederoo) F. Ritter",NA,NA,NA,NA,NA,"Mendes, D. B.; Machado, M.","2015","11","10",NA,"Brasil","Minas Gerais","Seguir na estrada em direção às montanhas a leste da cidade (Serra de Montevideo), com inicio no ponto 15º9'7,2S, 42º51'43,1W (entrocamento com a BR-122), após 5km dobrar à direita (sul) no ponto 15º9'22,7S, 42º49'37,7W; Seguir por mais ca. 8,2km na e","No mesmo local também havia: Arrojadoa dinae.","HURB000013659","HURB000013659",NA,"Monte Azul","-42.812583","-15.218083",NA,NA,"51","42º48'45,3W","15º13'5,1S","1360","1360"
"6","2021-03-04 11:04:45-03","UFRB","HURB","13665","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Micranthocereus","albicephalus","Micranthocereus albicephalus","(Buining & Brederoo) F. Ritter",NA,NA,NA,NA,NA,"Mendes, D. B.; Machado, M.","2015","11","10",NA,"Brasil","Minas Gerais","São João Bonito; Ca. 11,km a leste de Mato Verde na estrada para Santo Antonio do Retiro, contados a partir do entroncamento com a BR-122","No mesmo local também havia: Arrojadoa eriocaulis, Melocactus concinnus, Pilosocereus pachycladus.","HURB000013665","HURB000013665",NA,"Mato Verde","-42.772944","-15.385972",NA,NA,"57","42º46'22,6W","15º23'9,5S","1007","1007"
"7","2020-06-15 15:29:44-03","UNESP-RC","HRCB","13022","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Micranthocereus","albicephalus","Micranthocereus albicephalus","(Buining & Brederoo) F.Ritter","Sena, L.Y.S.","2007","06",NA,NA,"Eggli, U.","1988","08","13",NA,"Brasil","Minas Gerais",NA,"Branched from near the base, to 2,5m high. Stems massive, cephalia often damaged by feeding larvae and grubs (damage goes to succulent tissue of the stem). Flowers without scent, nocturnal, stiffly fl",NA,NA,NA,"Mato Verde","-42.8664016723633","-15.3971996307373","24219","auto","1155",NA,NA,"980","980"
"8","2019-11-13 11:17:20-03","USP","SPF","80855","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Micranthocereus","albicephalus","Micranthocereus albicephalus","(Buining & Brederoo) F.Ritter","Zappi, DC; Taylor, NP","1989",NA,NA,NA,"Harley, RM","1988","11","09",NA,"Brasil","Minas Gerais",NA,NA,"SPF00080855",NA,NA,"Rio Pardo de Minas","-42.75","-15.383333",NA,NA,"25519","-42.75","-15.383333","900","1000"
"9","2019-10-07 09:18:39-03","UEFS","HUEFS","107346","PreservedSpecimen","Plantae","Caryophyllanae","Caryophyllales","Cactaceae","Micranthocereus","albicephalus","Micranthocereus albicephalus","(Buining & Brederoo) F.Ritter",NA,NA,NA,NA,NA,"Machado, M.","2006","01","10",NA,"Brasil","Bahia","ca. 17km ao norte de Licínio de Almeida na estrada para Brejinho das Ametistas, afloramentos de arenito a ca. 1km ao oeste da estrada",NA,"HUEFS0107346","HUEFS0107346","Angiospermae","Licínio de Almeida","-42.530833","-14.534444",NA,NA,"753","42W31'51''","14S32'4''","775","775"
"10","2019-10-07 09:18:39-03","UEFS","HUEFS","107350","PreservedSpecimen","Plantae","Caryophyllanae","Caryophyllales","Cactaceae","Micranthocereus","albicephalus","Micranthocereus albicephalus","(Buining & Brederoo) F.Ritter",NA,NA,NA,NA,NA,"Machado, M.","2006","01","11",NA,"Brasil","Minas Gerais","ca. 12km a leste de Mato Verde na estrada para Santo Antônio do Retiro, afloramentos de granito ao sul da estrada",NA,"HUEFS0107350","HUEFS0107350","Angiospermae","Mato Verde","-42.775","-15.387222",NA,NA,"757","42W46'30''","15S23'14''","1030","1030"
