"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","individualCount","maximumElevationInMeters"
"1","2021-03-15 16:37:00-03","NY","NYBG","1009333","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Canastra","lanceolata","Canastra lanceolata","(Filg.) Morrone, Zuloaga, Davidse & Filg.","T. de S. Filgueiras","T. de S. Filgueiras","3591","1999","09","11","South America","Brazil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra. Rio do Peixe. Folha: SE-23-Y-D.","-46.4","-20.25","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1744936' target='other'> <mi>dwc_moreinfo</mi></a>","NY01009333","NY01009333_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 12:15:42-03","ESALQ","ESA","127051","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Canastra","lanceolata","Canastra lanceolata","(Filg.)","Filgueiras, T.S.","Romão, G.O. ; Feliciano, C.D.","2322.0","2007","10","03",NA,"Brasil","Minas Gerais","São José do Barreiro",NA,NA,NA,NA,NA,NA,"ESA127051",NA,"2016","02","25",NA,NA,NA,NA,NA,NA
"3","2020-11-04 12:15:42-03","ESALQ","ESA","127052","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Canastra","lanceolata","Canastra lanceolata","(Filg.)","Filgueiras, T.S.","Romão, G.O. ; Feliciano, C.D.","2323.0","2007","10","03",NA,"Brasil","Minas Gerais","São José do Barreiro",NA,NA,NA,NA,NA,NA,"ESA127052",NA,"2016","02","25",NA,NA,NA,NA,NA,NA
"4","2019-08-16 08:40:36-03","UTFPR","HCF","5506","S","Plantae",NA,NA,"Poaceae","Canastra","lanceolata","Canastra lanceolata","(Filg.) Morrone et al.","R. Trevisan","A.R. Silva","356","2007","07","14",NA,"Brasil","MG","Boa Esperança","Serra da Boa Esperança","-45.5657997131348","-21.0900001525879",NA,NA,"erva heliófita, ca. 0,3 m de altura, entouceirada, rupícola. Sementes roxas. Próxima à cachoeira.",NA,NA,"2008","05",NA,"37175","auto",NA,NA,NA,NA
"5","2020-12-11 11:45:01-03","UFMG","BHCB","29180","PreservedSpecimen","Plantae","Monocotyledon",NA,"Poaceae","Canastra","lanceolata","Canastra lanceolata","Filg.",NA,NA,"s.n.",NA,NA,NA,"Southern America","Brasil","Minas Gerais","Furnas","cerrado próximo às eclusas, pela estrada Belo Horizonte - Furnas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-11 11:45:01-03","UFMG","BHCB","29180","PreservedSpecimen","Plantae","Monocotyledon",NA,"Poaceae","Canastra","lanceolata","Canastra lanceolata","Filg.",NA,NA,"s.n.",NA,NA,NA,"Southern America","Brasil","Minas Gerais","Furnas","cerrado próximo às eclusas, pela estrada Belo Horizonte - Furnas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-11 11:45:01-03","UFMG","BHCB","37988","PreservedSpecimen","Plantae","Monocotyledon",NA,"Poaceae","Canastra","lanceolata","Canastra lanceolata","Filg.",NA,NA,"s.n.",NA,NA,NA,"Southern America","Brasil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra.","-46.3657989501953","-20.2453002929688",NA,NA,NA,NA,NA,NA,NA,NA,"57119","auto",NA,NA,NA,NA
"8","2011-03-03 13:42:00-03","MO","MOBOT","1353581","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Canastra","lanceolata","Canastra lanceolata","(Filg.) Morrone, Zuloaga, Davidse & Filg.","Gerrit Davidse, 2002 (MO)","Julio A. Lombardi","Lombardi 877","1995","7","6","South America","Brazil","Minas Gerais",NA,"Furnas: Cerrado Próximo às eclusas, pela estrada Belo Horizonte-Furnas. Mata ciliar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2012-05-14 14:14:00-03","MO","MOBOT","1704770","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Canastra","lanceolata","Canastra lanceolata","(Filg.) Morrone, Zuloaga, Davidse & Filg.","T.S. Filgueiras","Tarciso S. Filgueiras","Filgueiras 3588","1999","9","11","South America","Brazil","Minas Gerais",NA,"São Roque de Minas. Parque Nacional da Serra da Canastra. Solo: Quartzito","-46.43333","-20.23333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2008-05-27 22:02:00-03","MO","MOBOT","229426","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Canastra","lanceolata","Canastra lanceolata","(Filg.) Morrone, Zuloaga, Davidse & Filg.","Gerrit Davidse, 2002 (MO)","Luiz Emygdio de Mello Filho","Emygdio de Mello Filho 2308","1966","7","28","South America","Brazil","Minas Gerais",NA,"Furnas, Ribeirao das Pacas-Cascata Na margem do rio sobre quartzito.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
