"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","county","imagecode","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","640668","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Homolepis","aturensis","Homolepis aturensis","(Kunth) Chase","G. Davidse","J. C. Solomon","7955","1982","06","06","South America","Bolivia","El Beni","Province of Vaca Diez. Along SE edge of the airfield, Riberalta","-66.08","-11","230","230","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=207721' target='other'> <mi>dwc_moreinfo</mi></a>","NY00640668",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","640666","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Homolepis","aturensis","Homolepis aturensis","(Kunth) Chase",NA,"B. J. Pickel","3608","1934","05","03","South America","Brazil","Pernambuco","Recife","-34.931635","-8.045763",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=207726' target='other'> <mi>dwc_moreinfo</mi></a>","NY00640666","Recife","NY00640666_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1147055","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Homolepis","aturensis","Homolepis aturensis","(Kunth) Chase",NA,"S. Tsugaru","B-341",NA,NA,NA,"South America","Brazil","Pará",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1400900' target='other'> <mi>dwc_moreinfo</mi></a>","NY01147055",NA,"NY01147055_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1147062","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Homolepis","aturensis","Homolepis aturensis","(Kunth) Chase",NA,"R. Spruce","765",NA,NA,NA,"South America","Brazil","Pará",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1400904' target='other'> <mi>dwc_moreinfo</mi></a>","NY01147062",NA,"NY01147062_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1147050","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Homolepis","aturensis","Homolepis aturensis","(Kunth) Chase","J. R. Swallen","W. A. Rodrigues","620","1958","04","03","South America","Brazil","Amazonas","Rio Japurá, Pelotão de Fronteira de Japurá. Solo argiloso, firme, sujeito a alagação no inverno.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1401402' target='other'> <mi>dwc_moreinfo</mi></a>","NY01147050",NA,"NY01147050_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1147056","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Homolepis","aturensis","Homolepis aturensis","(Kunth) Chase","W. A. Rodrigues","W. A. Rodrigues","6794","1964","11","29","South America","Brazil","Amazonas","Rio Maués.","-57.5283194","-3.8410926",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1401405' target='other'> <mi>dwc_moreinfo</mi></a>","NY01147056","Maués","NY01147056_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1147054","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Homolepis","aturensis","Homolepis aturensis","(Kunth) Chase",NA,"L. Coradin","1066",NA,NA,NA,"South America","Brazil","Roraima",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1401009' target='other'> <mi>dwc_moreinfo</mi></a>","NY01147054",NA,"NY01147054_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1147063","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Homolepis","aturensis","Homolepis aturensis","(Kunth) Chase",NA,"E. A. Goeldi","43",NA,NA,NA,"South America","Brazil","Pará",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1400864' target='other'> <mi>dwc_moreinfo</mi></a>","NY01147063",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1147051","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Homolepis","aturensis","Homolepis aturensis","(Kunth) Chase",NA,"M. F. da Silva","1394",NA,NA,NA,"South America","Brazil","Amazonas",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1399859' target='other'> <mi>dwc_moreinfo</mi></a>","NY01147051",NA,"NY01147051_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","866507","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Homolepis","aturensis","Homolepis aturensis","(Kunth) Chase","G. Davidse","L. Buscalioni","4641","1899","09","09","South America","Brazil","Amazonas","Manaos. Chachoeira Grande.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=967528' target='other'> <mi>dwc_moreinfo</mi></a>","NY00866507",NA,"NY00866507_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","1147059","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Homolepis","aturensis","Homolepis aturensis","(Kunth) Chase",NA,"R. de Lemos Fróes","28472",NA,NA,NA,"South America","Brazil","Amazonas",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1399860' target='other'> <mi>dwc_moreinfo</mi></a>","NY01147059",NA,"NY01147059_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
