"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","class","typeStatus","fieldNumber","individualCount","relatedCatalogItem","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","441933","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Besleria","umbrosa","Besleria umbrosa","Mart.","A. Chautems","L. Riedel","115","South America","Brazil","Brasilia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=193835' target='other'> <mi>dwc_moreinfo</mi></a>","NY00441933","NY00441933_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02681769","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Besleria","umbrosa","Besleria umbrosa","Mart.",NA,"J. A. Lira Neto","623","South America","Brazil","Trilha ao redor da represa (barragem), Plataforma. Reserva da Petrobras","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2943796' target='other'> <mi>dwc_moreinfo</mi></a>","NY02681769","NY02681769_01","1997","08","05","Rio de Janeiro","Duque de Caxias","-43.266667","-22.559167",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","441925","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Besleria","umbrosa","Besleria umbrosa","Mart.","C. V. Morton","A. F. M. Glaziou","3046","South America","Brazil","Tijuca","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=474344' target='other'> <mi>dwc_moreinfo</mi></a>","NY00441925","NY00441925_01","1868","12","19","Rio de Janeiro","Rio de Janeiro","-43.274528","-22.95583",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","441924","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Besleria","umbrosa","Besleria umbrosa","Mart.","B. Flaster","J. Ball","s.n.","South America","Brazil","Prope Petrópolis","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=474343' target='other'> <mi>dwc_moreinfo</mi></a>","NY00441924","NY00441924_01","1882","07","10","Rio de Janeiro","Petrópolis","-43.1783","-22.505","1","914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02730711","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Besleria","umbrosa","Besleria umbrosa","Mart.",NA,"S. J. da Silva Neto","307","South America","Brazil","Margem da estrada para a Represa de Itacolomi.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3192037' target='other'> <mi>dwc_moreinfo</mi></a>","NY02730711","NY02730711_01","1993","10","06","Rio de Janeiro","Nova Iguaçu","-43.451099395752","-22.7591991424561",NA,NA,"25743","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-02-18 09:29:52-03","UNESP-IBB","BOTU","31575","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Besleria","umbrosa","Besleria umbrosa","Mart.","Torres, R.B.","Yamaki, H.O.","17",NA,"Brasil",NA,NA,NA,"BOTU031575",NA,"2006","10","11","São Paulo","Pindamonhangaba",NA,NA,NA,NA,NA,NA,"2007","12","9999","9999",NA,NA,NA,NA,NA,NA,NA
"7","2020-06-29 11:30:48-03","UFRJ","RFA","21309","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Besleria","grandifolia","Besleria grandifolia","Schott","D.F. Lima & J.P.P. Carauta","J.P.P. Carauta; et al.","4493",NA,"Brasil","Tinguá, Serra do Macuco",NA,NA,"RFA51609",NA,"1983","09","25","Rio de Janeiro","Nova Iguaçu","-43.451099395752","-22.7591991424561",NA,NA,"25743","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-12 15:31:41-03","UFABC","HUFABC","000185","PreservedSpecimen","Plantae","Angiospermas",NA,"Gesneriaceae","Besleria","grandifolia","Besleria grandifolia","Schott",NA,"Ferreira, GE; Chautems, A; Perret, M; Peixoto. M","279",NA,"Brasil","BR 040, estrada vicinal no km 87, em barranco sombrado e úmido.",NA,"Arbusto 1,5m, folhas anisofilas, flores pendulas, corola branca, base amarelada, cálice amarelo.","HUFABC000185","HUFABC000185","2014","10","03","Rio de Janeiro","Petrópolis","-43.3905","-23.955111","500","500",NA,NA,NA,NA,"-43.3905","-23.955111",NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:11:09-03","ESALQ","ESA","120095","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Gesneriaceae","Besleria","umbrosa","Besleria umbrosa",NA,"Braga, J.M.A.","Neto, J.A.L.","623.0",NA,"Brasil","Reserva da Petrobras, trilha ao redor da represa.",NA,NA,"ESA120095",NA,"1997","08","01","Rio de Janeiro","Duque de Caxias","-43.3116989135742","-22.7856006622314","50","50","34388","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-01-14 15:31:10-03","MN","R","11055","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Besleria","umbrosa","Besleria umbrosa","Mart.","Flaster, B.","Glaziou, A.F.M.","14042",NA,"Brasil",NA,NA,"Plantas do Brasil Central","R000011055","R000011055_001","1882","08","28","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"1972","03",NA,NA,"23",NA,NA,NA,NA,NA,NA
