"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","class","monthIdentified","dayIdentified","fieldNumber","individualCount","infraspecificEpithet"
"1","2020-09-23 10:39:32-03","E","E","295603","PreservedSpecimen","Plantae","Gramineae","Axonopus","chrysoblepharis","Axonopus chrysoblepharis","Brooks, R.R.; Reeves, R.D.; Baker, A.J.M.; Rizzo, J.A.","71","1988","04","13","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:310417","<a href=http://data.rbge.org.uk/herb/E00295603 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00295603",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:39:32-03","E","E","295616","PreservedSpecimen","Plantae","Gramineae","Axonopus","excavatus","Axonopus excavatus","Brooks, R.R.; Reeves, R.D.","581","1990","06","20","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:310527","<a href=http://data.rbge.org.uk/herb/E00295616 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00295616",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:39:32-03","E","E","295602","PreservedSpecimen","Plantae","Gramineae","Axonopus","excavatus","Axonopus excavatus","Reeves, R.D.; Baker, A.J.M.; Diaz Ferreira, H.","518","1990","06","15","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:310409","<a href=http://data.rbge.org.uk/herb/E00295602 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00295602",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00861450","PreservedSpecimen","Plantae","Poaceae","Axonopus","chrysoblepharis","Axonopus chrysoblepharis","S. A. Mori","16700","1984","07","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=933439' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861450","Magnoliophyta","Poales","(Lag.) Chase","G. Davidse","Mato Grosso","Chapada dos Guimarães","Rio Mutuca. MT251, 30 km NNE of Cuiabá/ Chapada dos Guimarães Highway.","-55.7494","-15.4608","200","200","NY00861450_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-11-01 11:22:00-02","NY","NYBG","00861454","PreservedSpecimen","Plantae","Poaceae","Axonopus","chrysoblepharis","Axonopus chrysoblepharis","J. A. Ratter","R1914","1968","06","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=933460' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861454","Magnoliophyta","Poales",NA,NA,"Mato Grosso",NA,"8 km. E. of the Base Camp of the Expedition. (Base Camp c. 270 km. N. of Xavantina on the Xavantina - São Felix road).","-51.87","-12.9",NA,NA,"NY00861454_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00861424","PreservedSpecimen","Plantae","Poaceae","Axonopus","chrysoblepharis","Axonopus chrysoblepharis","Y. E. J. Mexia","5623","1931","04","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=933440' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861424","Magnoliophyta","Poales","(Lag.) Chase",NA,"Minas Gerais","Corinto","Fazenda do Diamante; base of Serra do Angico","-44.4564","-18.3808","600","600","NY00861424_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-11-01 11:22:00-02","NY","NYBG","00861423","PreservedSpecimen","Plantae","Poaceae","Axonopus","chrysoblepharis","Axonopus chrysoblepharis","R. R. de Santos","R1258","1968","05","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=933378' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861423","Magnoliophyta","Poales",NA,NA,"Mato Grosso",NA,"5 km S of the Base Camp of the Expedition; (ca. 270 km N of Xavantina)","-51.87","-12.9",NA,NA,"NY00861423_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-11-01 11:22:00-02","NY","NYBG","00861452","PreservedSpecimen","Plantae","Poaceae","Axonopus","chrysoblepharis","Axonopus chrysoblepharis","J. A. Ratter","R607","1967","09","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=933447' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861452","Magnoliophyta","Poales",NA,NA,"Mato Grosso",NA,"7 km. SW of Xavantina","-52.33","-14.73","500","500","NY00861452_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-29 14:41:00-03","NY","NYBG","629837","PreservedSpecimen","Plantae","Poaceae","Axonopus","chrysoblepharis","Axonopus chrysoblepharis","G. Davidse","4165","1973","11","18","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=533377' target='other'> <mi>dwc_moreinfo</mi></a>","NY00629837","Magnoliophyta","Poales",NA,NA,"Guárico",NA,"10 km NWN of Altagracia de Orituco along hwy. to Caucagua",NA,NA,"440","440",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","628884","PreservedSpecimen","Plantae","Poaceae","Axonopus","chrysoblepharis","Axonopus chrysoblepharis","R. P. Belém","1859","1965","10","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=533371' target='other'> <mi>dwc_moreinfo</mi></a>","NY00628884","Magnoliophyta","Poales","(Lag.) Chase","A. B. Müller-Solger","Bahia","Maraú","Maraú","-39.015311","-14.10395",NA,NA,"NY00628884_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
