"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","typeStatus","relatedCatalogItem","verbatimLongitude","verbatimLatitude","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","02636627","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Ebenaceae","Diospyros","apeibacarpos","Diospyros apeibacarpos","Raddi","M. F. Santos","P. Fiaschi","1290","2003","02","05","South America","Brazil","Bahia","Buerarema","Rodovai Buerarema-Sao Jose d Vitoria (BR 101) ramal a esq ca 15 km de Buerarema. Entrada a direita ca, 9.5 km da Br. Fazenda Sta Rosa, entrada ca. 500m a dir Proprietario: Jose Elias","-39.2889","-15.1053","600","600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2475164' target='other'> <mi>dwc_moreinfo</mi></a>","NY02636627","NY02636627_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-06-29 11:30:08-03","UFRJ","RFA","15282","PreservedSpecimen","Plantae",NA,NA,"Ebenaceae","Diospyros","janeirensis","Diospyros janeirensis","Sandwith","R.C. Lopes","P. Occhioni","6097","1974","09",NA,NA,"Brasil","Rio de Janeiro","Teresópolis","Serra dos Órgãos, próximo ao Morro Garrafão","-42.9655990600586","-22.4122009277344","600","600",NA,"Arvoreta de fruto maduro","RFA40062",NA,"2007","08","30","38539","auto",NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:00:41-03","NBC","NL-BOTANY","U 0001648","PreservedSpecimen","Plantae",NA,"Ericales","Ebenaceae","Diospyros","janeirensis","Diospyros janeirensis","Sandwith","Fhite F","Ruhlmann JG",NA,"1920","10","01","Southern America","Brazil","Rio de Janeiro",NA,"Rio de Janeiro ad urbem loco Mundo Novo",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200001648 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0001648",NA,NA,NA,NA,NA,NA,"Magnoliopsidae","isotype","4624 A",NA,NA,NA
"4","2021-02-12 18:12:05-03","UFES","VIES","41295","S","Plantae",NA,NA,"Ebenaceae","Diospyros","apeibacarpos","Diospyros apeibacarpos","Raddi",NA,"Gurtler, J.; Dutra, S.C.","JAC 568","2018","02","27",NA,"Brasil","Espírito Santo","Nova Venécia","Fazenda Santa Rita. Ao pé da pedra da torre (P6).","-40.440556","-18.781111",NA,NA,NA,NA,"VIES041295","VIES041295",NA,NA,NA,NA,NA,NA,NA,NA,"40º26'26''W","18º46'52''S",NA
"5","2019-06-27 10:24:45-03","UFES","VIES","41436","S","Plantae",NA,NA,"Ebenaceae","Diospyros","apeibacarpos","Diospyros apeibacarpos","Raddi",NA,"Giaretta, A.O.; Monteiro, M.M.; Oliveira, I.R.","757","2010","02","05",NA,"Brasil","Espírito Santo","Conceição da Barra","Itaúnas. Mata de restinga sobre cordão arenoso arenoso próximo de uma área entre cordões dominada por Montrichardia. Área atrás da fazendo Jequitaia.","-39.7322006225586","-18.5932998657227",NA,NA,NA,NA,"VIES041436","VIES041436",NA,NA,NA,"41644","auto",NA,NA,NA,NA,NA,NA
"6","2019-06-27 10:24:44-03","UFES","VIES","37265","S","Plantae",NA,NA,"Ebenaceae","Diospyros","apeibacarpos","Diospyros apeibacarpos","Raddi",NA,"Souza, W.O.; Machado, J.O. & Alves-Araújo, A.","191","2013","12","05",NA,"Brasil","Espírito Santo","Conceição da Barra","Parque Estadual de Itaúnas.","-39.7322006225586","-18.5932998657227",NA,NA,NA,NA,"VIES037265","VIES037265",NA,NA,NA,"41644","auto",NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:23:11-03","MBM","MBM","228145","PreservedSpecimen","Plantae",NA,NA,"Ebenaceae","Diospyros","apeibacarpos","Diospyros apeibacarpos","Raddi","Wallnöfer, B.","Marquete, R.","1151","1993","07","01","Southern America","Brazil","Rio de Janeiro","Parati","APA Cairuçu, Córrego do Mico","-44.5","-23.166667","320","320",NA,"Árvore com ca. de 18,0m de altura. Heliófila. Tronco com casca lisa de cor acinzentada; folhas; frutos carnosos, indeiscentes, jovens de cor verde.; Solo argiloso/arenoso; relevo íngreme.","MBM228145","MBM228145","2019","11","13",NA,NA,NA,NA,NA,"-44.5","-23.166667",NA
"8","2020-12-21 16:23:11-03","MBM","MBM","392538","PreservedSpecimen","Plantae",NA,NA,"Ebenaceae","Diospyros","apeibacarpos","Diospyros apeibacarpos","Raddi","Wallnöfer, B.","Fontana, A.P.; Goldenberg, R.; Amorim, A.M.; Fraga, C.N.; Esgario, C.; São-Mateu; Goldenberg, R.; Amorim, A.M.; Fraga, C.N.; Esgario, C.; São-Mateus, W.","5249","2008","05","10","Southern America","Brazil","Espírito Santo","Nova Venécia","Área de Proteção Ambiental da Pedra do Elefante, Serra de Baixo, estrada para Pedra do Elefante","-40.433333","-18.766667","329","329",NA,"Árvore, ca. 6m. Frutos verdes.; Floresta Estacional Semidecidual.","MBM392538","MBM392538","2019","11","13",NA,NA,NA,NA,NA,"-40.433333","-18.766667",NA
"9","2020-12-21 16:23:11-03","MBM","MBM","392539","PreservedSpecimen","Plantae",NA,NA,"Ebenaceae","Diospyros","apeibacarpos","Diospyros apeibacarpos","Raddi","Wallnöfer, B.","Forzza, R.C.; Amorim, A.M.A.; Labiak, P.H.; Paixão, J.L.; Amorim, A.M.A.; Labiak, P.H.; Paixão, J.L.","5103","2008","02","19","Southern America","Brazil","Espírito Santo","Nova Venécia","Área de Proteção Ambiental da Pedra do Elefante, Serra do Baixo","-40.443889","-18.776944","313","313",NA,"Árvore ca. 8m alt. Frutos verdes com tricomas dourados.; Floresta Estacional Semidecidual.","MBM392539","MBM392539","2019","11","13",NA,NA,NA,NA,NA,"-40.443889","-18.776944",NA
"10","2020-12-21 16:23:12-03","MBM","MBM","202409","PreservedSpecimen","Plantae",NA,NA,"Ebenaceae","Diospyros","janeirensis","Diospyros janeirensis","Sandwith","Lopes, R.C.","Farney, C.; et al.; et al.","3141","1992","06","25","Southern America","Brazil","Rio de Janeiro","Saquarema","Reserva Ecológica Estadual de Jacarepiá","-42.5102996826172","-22.9200000762939",NA,NA,NA,NA,"MBM202409",NA,NA,NA,NA,"17036","auto",NA,NA,NA,NA,NA,NA
