"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","continentOcean","imagecode","typeStatus","order"
"1","2020-11-13 09:20:13-03","UFRJ","RFA","9109","PreservedSpecimen","Plantae","Melastomataceae","Bertolonia","acuminata","paranaensis","Bertolonia acuminata paranaensis","(Wurdack) Baumgratz","J.J. Wurdack","1967","G.G. Hatschbach","13190","1965","11","30","Brasil","Paraná","Antonina","Rio Cotia","-48.7118988037109","-25.4286003112793","38300","Flor alva, anteras amarelas. Verso das folhas com nervuras avermelhadas","RFA27909","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-03-01 12:47:40-03","UTFPR","HCF","30639","S","Plantae","Melastomataceae","Bertolonia","paranaensis",NA,"Bertolonia paranaensis","(Wurdack) Baumgratz","F. Marinero & J.M.A. Jesus","2019","F. Marinero","528","2016","12","18","Brasil","PR","Guaraqueçaba","Serra Gigante, trilha para o cume","-48.200556","-25.154444",NA,"herbácea 40 cm. Flores alvas.",NA,NA,"09","11","48°12'02 W","25°09'16 S","70","70",NA,NA,NA,NA
"3","2020-12-21 16:34:00-03","MBM","MBM","28716","PreservedSpecimen","Plantae","Melastomataceae","Bertolonia","paranaensis",NA,"Bertolonia paranaensis","(Wurdack) Baumgratz","Baumgratz, J.",NA,"Hatschbach, G.","33643",NA,NA,NA,"Brazil","Paraná","Antonina","Rio Pequeno","-48.7118988037109","-25.4286003112793","38300",NA,"MBM028716","auto",NA,NA,NA,NA,NA,NA,"Southern America","MBM028716",NA,NA
"4","2020-12-21 16:34:00-03","MBM","MBM","400061","PreservedSpecimen","Plantae","Melastomataceae","Bertolonia","paranaensis",NA,"Bertolonia paranaensis","(Wurdack) Baumgratz","Bacci, L.F.","2015","Lozano, E.D.; Ariati, V.; Bochorny, T.; Bacci, L.F.; Sageth, Y.; Ariati, V.; Bochorny, T.; Bacci, L.F.; Sageth, Y.","3000","2015","04","11","Brazil","Paraná","Antonina","trilha de palmiteiro a esquerda da trilha da Conceição","-48.774389","-25.234722",NA,"Frutos bege.; Floresta Ombrófila Densa Submontana, no interior da mata, margem de riacho, sobre tronco podre.","MBM400061",NA,NA,NA,"-48.774389","-25.234722",NA,NA,"Southern America","MBM400061",NA,NA
"5","2020-12-21 16:34:00-03","MBM","MBM","416566","PreservedSpecimen","Plantae","Melastomataceae","Bertolonia","paranaensis",NA,"Bertolonia paranaensis","(Wurdack) Baumgratz","Marinero, F.; Jesus, J.M.A.","2019","Marinero, F.; Brotto, M.L.; Brotto, M.L.","528","2016","12","18","Brazil","Paraná","Guaraqueçaba","Serra Gigante, Trilha para o cume","-48.200556","-25.154306",NA,"Herbáceae 40 cm; flores alvas.; Floresta Ombrófila Densa Submontana.","MBM416566",NA,"09","11","-48.200556","-25.154306","70","70","Southern America",NA,NA,NA
"6","2020-12-21 16:34:00-03","MBM","MBM","1255","PreservedSpecimen","Plantae","Melastomataceae","Bertolonia","paranaensis",NA,"Bertolonia paranaensis","(Wurdack) Baumgratz","Baumgratz, J.",NA,"Hatschbach, G.","13190",NA,NA,NA,"Brazil","Paraná","Antonina","Rio Cotia","-48.7118988037109","-25.4286003112793","38300",NA,"MBM001255","auto",NA,NA,NA,NA,NA,NA,"Southern America","MBM001255",NA,NA
"7","2020-12-21 16:34:00-03","MBM","MBM","40824","PreservedSpecimen","Plantae","Melastomataceae","Bertolonia","paranaensis",NA,"Bertolonia paranaensis","(Wurdack) Baumgratz","Baumgratz","1991","Hatschbach, G.","8666","1961","12","03","Brazil","Paraná","Campina Grande do Sul","Rod. BR 2, entre Jaguatirica e Ribeirão do Cedro","-49.0553016662598","-25.3055992126465","55154","Da mata higrófila, sobre troncos podres ou terrícola. Flor alva, anteras amarelas. Verso da folha purpúreo; Flor alva, anteras amarelas. Verso da folha purpúreo.; Mata higrófila, sobre troncos poders ou terrícola.","MBM040824","auto",NA,NA,NA,NA,NA,NA,"Southern America","MBM040824","ISOTYPE",NA
"8","2020-12-21 16:34:00-03","MBM","MBM","13333","PreservedSpecimen","Plantae","Melastomataceae","Bertolonia","paranaensis",NA,"Bertolonia paranaensis","(Wurdack) Baumgratz","Baumgratz, J.",NA,"Hatschbach, G.","23306",NA,NA,NA,"Brazil","Paraná","Guaraqueçaba","Rio do Cedro","-48.3288993835449","-25.3066997528076","37295",NA,"MBM013333","auto",NA,NA,NA,NA,NA,NA,"Southern America","MBM013333",NA,NA
"9","2021-02-11 17:19:34-03","UFPR","UPCB","5662","PreservedSpecimen","Plantae","Melastomataceae","Bertolonia","paranaensis",NA,"Bertolonia paranaensis","(Wurdack) Baumgratz","Baumgratz, J.F.A.","1991","Hatschbach, G.","13190","1965","11","30","Brasil","Paraná","Antonina","Rio Cotia","-48.7118988037109","-25.4286003112793","38300","Flores alvas, anteras amarelas. Face abaxial das folhas com nervuras avermelhadas. Mata pluvial..","UPCB0011363","auto","01","01",NA,NA,NA,NA,NA,"UPCB0011363",NA,NA
"10","2021-02-11 17:19:34-03","UFPR","UPCB","94777","PreservedSpecimen","Plantae","Melastomataceae","Bertolonia","paranaensis",NA,"Bertolonia paranaensis","(Wurdack) Baumgratz","Passos, L.S.","2018","Passos, L.S.","27","2018","12",NA,"Brasil","Paraná","Antonina","Usina Hidrelétrica Parigot de Souza","-48.7118988037109","-25.4286003112793","38300","Ambiente úmido. Próximo a corpo d'água. Indivíduos com tricomas avermelhados, pétalas brancas e androceu amarelo","UPCB0043250","auto","06",NA,NA,NA,NA,NA,NA,"UPCB0043250",NA,NA
