"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","individualCount","fieldNumber","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","250637","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","suboppositifolia","Peperomia suboppositifolia","Yunck.","holotype fragment","A. C. Brade","18076","1946","05","10","South America","Brazil","Espírito Santo","Itaguaçu","Alto Limoeiro","-40.8556","-19.8019","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=73584' target='other'> <mi>dwc_moreinfo</mi></a>","NY00250637","NY00250637_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","555192","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","suboppositifolia","Peperomia suboppositifolia","Yunck.",NA,"A. C. Brade","19252","1948","08","12","South America","Brazil","Espírito Santo","Castelo","Forno Grande","-41.1","-20.51667","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=73585' target='other'> <mi>dwc_moreinfo</mi></a>","NY00555192","NY00555192_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","250695","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","unduavina","Peperomia unduavina trifoiata","C.DC.","possible type","M. Bang","s.n.",NA,NA,NA,"South America","Bolivia","La Paz","Franz Tamayo","Apolo","-68.4172","-14.72","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=500302' target='other'> <mi>dwc_moreinfo</mi></a>","NY00250695","NY00250695_01","trifoiata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-11 11:40:09-03","UFMG","BHCB","157316","PreservedSpecimen","Plantae","Dicotyledon",NA,"Piperaceae","Peperomia","suboppositifolia","Peperomia suboppositifolia","Yunck.",NA,"Paula, LFA de; Augsten, M","325","2011","04","16","Southern America","Brasil","Minas Gerais","Teófilo Otoni","Estrada de terra de Teófilo Otoni a Brejão.","-41.260944","-17.855972",NA,"Ruíicola. Folha discolor. Cálice avermelhado. Frutos imaturos verdes.; Em afloramento granítico.","BHCB007068","BHCB007068",NA,"2012","05","02","-41.260944","-17.855972","560","560",NA,NA,NA,NA
"5","2008-07-09 12:48:00-03","MO","MOBOT","100140367","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","unduavina","Peperomia unduavina","C. DC.",NA,"Jeaneth Villalobos","Villalobos 99","2005","8","18","South America","Bolivia","Chuquisaca","Belisario Boeto","Comunidad Nuevo Mundo. Camino a Phyti.","-64.3347222","-18.9919444",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2462.00000000",NA,"Guido Mathieu (GENT)","1",NA,NA
"6","2009-10-02 11:31:00-03","MO","MOBOT","1712395","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","unduavina","Peperomia unduavina","C. DC.","Holotype","Otto Buchtien","Buchtien 2790","1910","11",NA,"South America","Bolivia","La Paz","Nor Yungas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3300.00000000",NA,NA,"1",NA,NA
"7","2020-05-27 04:37:00-03","MO","MOBOT","2963031","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","unduavina","Peperomia unduavina","C. DC.",NA,"Alfredo F. Fuentes|Moises Mendoza|Remy Roque","Fuentes Claros 10443","2006","4","20","South America","Bolivia","La Paz","Franz Tamayo","ANMI Apolobamba, entre Piara y Laitiki, entre Pelechuco y Apolo. Bosque de yungas montano superior pluvial, con Weinmannia spp. y Clusia spp. Plantas sin alcoholizar. Inventario Fitosociologico Madidi 71","-69.02111","-14.78666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2700.00000000",NA,"Guido Mathieu (GENT)",NA,"06-26",NA
"8","2020-01-15 04:34:00-03","MO","MOBOT","3366086","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","unduavina","Peperomia unduavina","C. DC.",NA,"Jaime Terán","Terán 274","2005","2","21","South America","Bolivia","Cochabamba","Carrasco","Siberia. Bosques relictuales con algunas especies esparcidas de Prumnopitys exigua","-64.79777","-17.78111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2950.00000000",NA,"Guido Mathieu",NA,NA,NA
"9","2012-03-08 11:55:00-03","MO","MOBOT","3366520","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","unduavina","Peperomia unduavina","C. DC.",NA,"Noel Altamirano","Altamirano 614","2005","2","17","South America","Bolivia","Cochabamba","Carrasco","Sehuencas-Pajcha. Bosque montano humedo, pendiente de 45° de inclinacion colectas al borde del los rios","-65.27138","-17.52833",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2100.00000000",NA,"Guido Mathieu",NA,NA,NA
"10","2012-03-08 11:55:00-03","MO","MOBOT","3366521","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","unduavina","Peperomia unduavina","C. DC.",NA,"Noel Altamirano","Altamirano 624","2005","2","17","South America","Bolivia","Cochabamba","Carrasco","Sehuencas-Pajcha. Bosque montano humedo, pendiente de 45° de inclinacion colectas al borde del los rios","-65.27138","-17.52833",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2100.00000000",NA,NA,NA,NA,NA
