"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","imagecode","class","yearIdentified","monthIdentified","dayIdentified","relatedCatalogItem","coordinatePrecision","geoFlag","fieldNumber","individualCount"
"1","2020-09-23 10:39:03-03","E","E","319799","PreservedSpecimen","Plantae","Eriocaulaceae","Syngonanthus","harleyi","Syngonanthus harleyi","unspecified kind of","Harley, Raymond M.","16662","1974","03","04","E. Tropical South America","BR","16km North West of Lagoinha (5.5km SW of Delfino) on side road to Minas do Mimoso.","-41.333333","-10.366667","-41.333333","-10.366667","950","1000","herbarium specimen of unspecif","BGBASE:323378","<a href=http://data.rbge.org.uk/herb/E00319799 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00319799",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:39:03-03","E","E","319798","PreservedSpecimen","Plantae","Eriocaulaceae","Syngonanthus","harleyi","Syngonanthus harleyi","unspecified kind of","Harley, Raymond M.","16662","1974","03","04","E. Tropical South America","BR","16km North West of Lagoinha (5.5km SW of Delfino) on side road to Minas do Mimoso.","-41.333333","-10.366667","-41.333333","-10.366667","950","1000","herbarium specimen of unspecif","BGBASE:323381","<a href=http://data.rbge.org.uk/herb/E00319798 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00319798",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00749708","PreservedSpecimen","Plantae","Eriocaulaceae","Comanthera","harleyi","Comanthera harleyi",NA,"P. Fiaschi","2476","2004","07","16","South America","Brazil","Estrada de Umburanas para Delfino, ca. 31,3 km. Ramal à esqueda. Acesso à Serra da Empreitada, Construçao abandonada no fim da estrada, a ca. 14 km do início do ramal","-41.3225","-10.4030556",NA,NA,"975","975","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=908330' target='other'> <mi>dwc_moreinfo</mi></a>","NY00749708","Magnoliophyta","Poales","(Moldenke) L.R.Parra & Giul.","L. Echternacht","Bahia","Umburanas","NY00749708_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00684936","PreservedSpecimen","Plantae","Eriocaulaceae","Comanthera","harleyi","Comanthera harleyi",NA,"L. P. de Queiroz","5311","1999","04","11","South America","Brazil","Serra do Curral Feio (localmente referida como Serra da Empreitada): Cachoeirinha, à beira do rio Tabuleiro, ca. 10 km NW de Delfino na estrada que sai pelo depósito de lixo.","-41.22","-10.35",NA,NA,"1000","1200","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=882950' target='other'> <mi>dwc_moreinfo</mi></a>","NY00684936","Magnoliophyta","Poales","(Moldenke) L.R.Parra & Giul.","L. Echternacht","Bahia","Umburanas","NY00684936_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00684937","PreservedSpecimen","Plantae","Eriocaulaceae","Comanthera","harleyi","Comanthera harleyi",NA,"L. P. de Queiroz","5356","1999","04","11","South America","Brazil","Serra do Curral Feio (localmente referida como Serra da Empreitada): Cachoeirinha, à beira do rio Tabuleiro, ca. 10 km NW de Delfino na estrada que sai pelo depósito de lixo.","-41.22","-10.35",NA,NA,"1000","1200","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=882954' target='other'> <mi>dwc_moreinfo</mi></a>","NY00684937","Magnoliophyta","Poales","(Moldenke) L.R.Parra & Giul.","L. Echternacht","Bahia","Umburanas","NY00684937_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:15:34-03","NBC","NL-BOTANY","WAG.1931023","PreservedSpecimen","Plantae","Eriocaulaceae","Syngonanthus","harleyi","Syngonanthus harleyi",NA,"Hatschbach GG",NA,NA,NA,NA,"Southern America","Brazil","Cachoeiräo (mun. Terenos) Mato Grosso.",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1931023 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1931023",NA,"Poales","Moldenke",NA,NA,NA,"NL-WAG1931023","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 10:15:34-03","NBC","NL-BOTANY","U 0001818","PreservedSpecimen","Plantae","Eriocaulaceae","Syngonanthus","harleyi","Syngonanthus harleyi","isotype","Harley RM; et al.",NA,"1974","03","04","Southern America","Brazil","Estado de BahiaSerra do Curral Feio16km. North West of Lagoinha (5.5km. S.W. of Delfino) on side road to Minas do Mimoso.","-41.333333","-10.366667","-41.333333","-10.366667",NA,NA,NA,NA,"Small stream with marsh on white sand and surrounding cerrado on sandstone rock exposures.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200001818 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0001818",NA,"Poales","Moldenke","Moldenke HN","Bahia",NA,"NL-U0001818","Magnoliopsidae","1975","04","01","350289 B",NA,NA,NA,NA
"8","2020-11-04 11:06:56-03","ESALQ","ESA","81838","PreservedSpecimen","Plantae","Eriocaulaceae","Comanthera","harleyi","Comanthera harleyi",NA,"Queiroz, L.P. et al.","5311.0","1999","04","11",NA,"Brasil",NA,"-41.3264007568359","-10.7327995300293",NA,NA,NA,NA,NA,NA,NA,"ESA081838","Magnoliophyta",NA,"Moldenke","Andrade, E.L.","Bahia","Umburanas","ESA081838",NA,"2009",NA,NA,NA,"54853","auto",NA,NA
"9","2020-10-21 11:26:05-03","IPA","IPA","23571","S","Plantae","Eriocaulaceae","Syngonanthus","harleyi","Syngonanthus harleyi","TYPUS","Harley, R.M.","16662","1974","03","04","Southern America","Brasil","Serra do Curral Feio, 16km. North Weat of Lagoinha (5.5km. S.S. of Delfino) on side road to Minas do Mimoso. Small stream with marsh on white sand and surrounding cerrado on sandstone rock exposures.","-41.333333","-10.366667","-41.333333","-10.366667","950","1000",NA,NA,"Forming clusters of raised rosettes. Leaves dark green above with greyish margin. Flower heads pale cream.","IPA0023571","Plantae",NA,"Moldenke","Moldenke, H.N.","Bahia",NA,"IPA0023571",NA,"1975","04",NA,NA,NA,NA,NA,NA
"10","2019-11-06 10:13:54-03","UFOP","OUPR","31148","PreservedSpecimen","Plantae","Eriocaulaceae","Comanthera","harleyi","Comanthera harleyi",NA,"Bastos, TV in Echt; Corrêa, R.T.","2784","2017","10","09",NA,"Brasil","Chapada Diamantina, Próximo às torres eólicas da empresa EGP.","-47.308333","-11.575833","-47.308333","-11.575833","1135","1135",NA,NA,"Campo rupestre, areial entre afloramentos de arenito. Local com evidências de movimentação de matacões e blocos, devido a atividade garimpeira na década de 1840.",NA,NA,NA,"(Moldenke) L.R.Parra & Giul.","Echternacht, L.","Bahia","Morro do Chapéu",NA,NA,"2017","10",NA,NA,NA,NA,NA,NA
