"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","coordinatePrecision","geoFlag","class","monthIdentified","dayIdentified","typeStatus","relatedCatalogItem","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","686591","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Podostemaceae","Podostemum","distichum","Podostemum distichum","(Cham.) Wedd.","C. T. Philbrick","L. B. Smith","12791","1964","10","21","South America","Brazil","Santa Catarina","Sao Miguel do Oeste","Forest above Rio Reperi-guaçu, Peperi","-53.73","-26.53","300","400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=836157' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686591","NY00686591_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","686590","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Podostemaceae","Podostemum","distichum","Podostemum distichum","(Cham.) Wedd.","C. T. Philbrick","P. K. H. Dusén","s.n.","1914",NA,NA,"South America","Brazil","Santa Catarina",NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=836156' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686590","NY00686590_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","686589","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Podostemaceae","Podostemum","distichum","Podostemum distichum","(Cham.) Wedd.","P. van Royen","G. G. Hatschbach","19187","1968","04","27","South America","Brazil","Paraná","Prudentópolis","Rodovia BR-277, Rio dos Patos","-50.9778","-25.2133",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=836154' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686589","NY00686589_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","527540","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Podostemaceae","Podostemum","distichum","Podostemum distichum","(Cham.) Wedd.","C. T. Philbrick","P. K. H. Dusén","17870","1914",NA,NA,"South America","Brazil",NA,NA,"Preprinted label gives locality as Parana, but ?Sta Catarina is added to label in handwriting. Also, after original det, in same hand, is written veris Dusen 17870 ex St. Catarina, Rio Capinsal",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=138610' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527540","NY00527540_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:22:50-03","UFBA","ALCB","96144","PreservedSpecimen","Plantae","Dicotyledon",NA,"Podostemaceae","Podostemum","distichum","Podostemum distichum","(Cham.) Weddell","Melo, AS","Hatschbach, G; Hatschbach, G; Guimarães, O","19187","1968","04","27","Southern America","Brasil","Paraná","Prudentópolis","Rod. BR-277, Rio dos Patos","-50.9777984619141","-25.2131004333496",NA,NA,NA,"agarrada às rochas.","ALCB038841",NA,"2009","61049","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L 0544595","PreservedSpecimen","Plantae",NA,"Malpighiales","Podostemaceae","Podostemum","distichum","Podostemum distichum","(Cham.) Wedd.","Philbrick CT","Schenck JHR",NA,NA,NA,NA,"Southern America","Brazil","Santa Catarina",NA,"Brazil. Santa Catharina, Salto, near Blumenau",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200544595 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0544595","NL-L0544595","2000",NA,NA,"Magnoliopsidae","07","01","type","96239084",NA,NA,NA,NA
"7","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L 0544596","PreservedSpecimen","Plantae",NA,"Malpighiales","Podostemaceae","Podostemum","distichum","Podostemum distichum","(Cham.) Wedd.","Philbrick CT","Sellow F",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200544596 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0544596","NL-L0544596","2000",NA,NA,"Magnoliopsidae","07","01","isolectotype","9081701399",NA,NA,NA,NA
"8","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L 0544597","PreservedSpecimen","Plantae",NA,"Malpighiales","Podostemaceae","Podostemum","distichum","Podostemum distichum","(Cham.) Wedd.","Philbrick CT","Sellow F",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"Hab in Brasil: aequinox",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200544597 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0544597","NL-L0544597","2000",NA,NA,"Magnoliopsidae","07","01","isolectotype","9081701336",NA,NA,NA,NA
"9","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L 0544598","PreservedSpecimen","Plantae",NA,"Malpighiales","Podostemaceae","Podostemum","distichum","Podostemum distichum","(Cham.) Wedd.","Philbrick CT","Sellow F",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200544598 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0544598","NL-L0544598","2000",NA,NA,"Magnoliopsidae","07","01","isolectotype","9081701355",NA,NA,NA,NA
"10","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L 0544599","PreservedSpecimen","Plantae",NA,"Malpighiales","Podostemaceae","Podostemum","distichum","Podostemum distichum","(Cham.) Wedd.","Philbrick CT","Sellow F",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200544599 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0544599","NL-L0544599","2000",NA,NA,"Magnoliopsidae","07","01","isolectotype","96239085",NA,NA,NA,NA
