"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","barcode","imagecode","preparationType","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","individualCount","fieldNumber","typeStatus","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","02540893","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Palicourea","racemosa","Palicourea racemosa","Rich.","P. G. Delprete","B. M. Torke","982","2011","05","17","South America","Brazil","Pará","Itaituba","Parque Nacional da Amazônia: Capalinha Trail along Igarapé São José, ca. 0-2 km from the trailhead on the Transamazonian Road","-56.39506","-4.6172","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2772076' target='other'> <mi>dwc_moreinfo</mi></a>","NY02540893","NY02540893_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01108591","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","racemosa","Psychotria racemosa","Rich.","B. M. Boom","J. J. Strudwick","4161","1981","08","05","South America","Brazil","Pará",NA,"Sete Varas airstrip on rio Curua. Secondary vegetation and border of gallery forest. In forest.","-55.1657197","-0.2209974","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1268443' target='other'> <mi>dwc_moreinfo</mi></a>","NY01108591","NY01108591_01","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","502218","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","racemosa","Psychotria racemosa","Rich.","B. M. Boom","L. A. Mattos Silva","314","1979","03","15","South America","Brazil","Bahia","Ilhéus","Km 1 do Ramal que liga a Rod. BR-415 (trecho Ilhéus/Itabuna) ao Pov. de Japu, com entrada a 13 km de Ilhéus","-39.0492","-14.7892","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=177699' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502218","NY00502218_01","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01108571","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","racemosa","Psychotria racemosa","Rich.",NA,"D. Frame","132","1984","05","23","South America","Brazil","Rondônia",NA,"Ca. 2 Km ENE along road to São Sebastião off BR 364. Forest on terra firme, solo argiloso.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1271262' target='other'> <mi>dwc_moreinfo</mi></a>","NY01108571","NY01108571_01","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1033859","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","racemosa","Psychotria racemosa","Rich.","P. G. Delprete","P. G. Delprete","6581","1998","09","12","South America","Brazil","Goiás","Silvânia","Estaçao Florestal de Experimentaçao - IBAMA (EFLEX)","-48.6081","-16.6592","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=484759' target='other'> <mi>dwc_moreinfo</mi></a>","NY01033859","NY01033859_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01108513","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","racemosa","Psychotria racemosa","Rich.",NA,"S. A. Mori","9181",NA,NA,NA,"South America","Brazil","Amazonas",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1271223' target='other'> <mi>dwc_moreinfo</mi></a>","NY01108513","NY01108513_01","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01108523","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","racemosa","Psychotria racemosa","Rich.",NA,"G. T. Prance","25394","1977","11","14","South America","Brazil","Pará",NA,"BR 163, km 1004; Cuiabá-Santarém.","-55.2036273","-7.7548882","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1271224' target='other'> <mi>dwc_moreinfo</mi></a>","NY01108523","NY01108523_01","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1017474","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","racemosa","Psychotria racemosa","Rich.","P. G. Delprete","E. M. N. Ferraz","291","1998","05","19","South America","Brazil","Pernambuco","São Vicente Férrer","Mata do Estado.","-35.5","-7.58","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1214166' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017474","NY01017474_01","sheet","600","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01108592","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","racemosa","Psychotria racemosa","Rich.",NA,"J. J. Strudwick","3118","1981","07","18","South America","Brazil","Pará",NA,"Lageira, airstrip on Rio Maicuru.","-54.43","-0.92","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1271269' target='other'> <mi>dwc_moreinfo</mi></a>","NY01108592","NY01108592_01","sheet","244","244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01108587","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","racemosa","Psychotria racemosa","Rich.","J. H. Kirkbride Jr.","G. Davidse","18044","1980","04","08","South America","Brazil","Pará","Bragança","13 Km north of Bragança by road, campo de baixo. Lowland forest.","-46.7656","-1.0536","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1268441' target='other'> <mi>dwc_moreinfo</mi></a>","NY01108587","NY01108587_01","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
