"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","coordinatePrecision","geoFlag","typeStatus","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","01112725","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Stenophalium","almasense","Stenophalium almasense","D.J.N.Hind","D. J. N. Hind","R. M. Harley","26276","1988","11","24","South America","Brazil","Bahia","Rio de Contas","Pico das Almas. Cume","-41.97","-13.53","1850","1850","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1262024' target='other'> <mi>dwc_moreinfo</mi></a>","NY01112725","NY01112725_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-09 11:11:17-03","UFBA","ALCB","033885","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Stenophalium","eriodes","Stenophalium eriodes","(Mattf.) Anderb.","Hind, DJN","Harley, RM; Hind, DJN; Bautista, HP","PCD&nf;4285","1996","11","15","Southern America","Brasil","Bahia","Rio de Contas","Chapada Diamantina, Pico do Itabira","-41.884167","-13.368611","1800","1800",NA,"ca. 60 cm alt. Caule folhoso desde a base. Folhas inferiores velhasm, nigrescentes, folhas jovens cinzas. Filárias paleáceas. Flores creme, anteras amarelas. Frequente.",NA,NA,"1996","11","-41.884167","-13.368611",NA,NA,NA,NA,NA,NA
"3","2020-02-08 08:51:42-03","NBC","NL-BOTANY","U.1138345","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Stenophalium","almasense","Stenophalium almasense","D.J.N.Hind",NA,"Harley RM; et al.",NA,"1988","11","24","Southern America","Brazil",NA,NA,"Bahia. Mun.: Rio de Contas. Pico das Almas.","-41.966667","-13.533333",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1138345 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1138345","NL-U1138345",NA,NA,"-41.966667","-13.533333","Magnoliopsidae",NA,NA,NA,NA,NA
"4","2020-12-21 16:17:21-03","MBM","MBM","151371","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Stenophalium","almasense","Stenophalium almasense","D.J.N. Hind","Hind, D.J.N.","Harley, R.M.","26173","1988","11","16","Southern America","Brazil","Bahia","Rio de Contas","Pico das Almas","-41.8114013671875","-13.5789003372192",NA,NA,NA,NA,"MBM151371","MBM151371",NA,NA,NA,NA,NA,"49773","auto",NA,NA,NA
"5","2020-12-21 16:17:21-03","MBM","MBM","306582","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Stenophalium","almasense","Stenophalium almasense","D.J.N. Hind","Hind, D.J.N.","Harley, R.M.; Stannard, B.; Mello-Silva, R. de; Hind, D.J.N.; Cordeiro, I.; Ross; Stannard, B.; Mello-Silva, R. de; Hind, D.J.N.; Cordeiro, I.; Rossi, L.","26276","1988","11","24","Southern America","Brazil","Bahia","Rio de Contas","Pico das Almas, Cume","-41.8114013671875","-13.5789003372192","1850","1850",NA,"Brácteas involucrais brancas. Corola branca. Solo entre rochas. Subarbusto até 80 cm.; Subarbusto até 80cm. Brácteas involucrais brancas. Corola branca.; Solo entre rochas.","MBM306582","MBM306582","1992",NA,NA,NA,NA,"49773","auto","PARATYPE",NA,NA
"6","2020-12-11 11:33:32-03","UFMG","BHCB","180249","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Stenophalium","almasense","Stenophalium almasense","D.J.N.Hind",NA,"Fernandes, AC; Viana, PL; Mota, NFO; Paula, LFA; Jorge, TB","189","2010","10","12","Southern America","Brasil","Bahia","Rio de Contas","Vale do Queiroz, Subida para o Vale do Queiroz, indo para o Pico","-41.938056","-13.520833","1190","1190",NA,"Subarbusto, 50cm alt.; Campo rupestre.","BHCB032613",NA,NA,NA,"-41.938056","-13.520833",NA,NA,NA,NA,NA,NA
"7","2015-08-23 05:45:00-03","MO","MOBOT","100397885","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Stenophalium","almasense","Stenophalium almasense","D.J.N. Hind",NA,"R.M. Harley|B.L. Stannard|M.C. Assis|F.S. Pires|J.M. Fothergill","Harley 26173","1988","11","16","South America","Brazil","Bahia","Rio de Contas","Pico das Almas. Vertente leste. Subida do pico do Campo do Queiroz.","-41.9666667","-13.5333333","1850.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isotype","1",NA
"8","2015-08-23 05:45:00-03","MO","MOBOT","3376389","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Stenophalium","almasense","Stenophalium almasense","D.J.N. Hind","D. J. N. Hind","R.M. Harley|B.L. Stannard|Renato de Mello-Silva|David J.N. Hind|I. Cordeiro|Lucia Rossi","Harley 26276","1988",NA,NA,"South America","Brazil","Bahia",NA,"Mun.: Rio de Contas. Pico das, Almas. Cume.","-41.96666","-13.53333","1850.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-04 11:04:32-03","UFRB","HURB","24395","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Stenophalium","eriodes","Stenophalium eriodes","(Mattf.) Anderb.","D.J.N.Hind","Harley, R.M.; Hind, D.J.N. & Bautista, H.P.","4285","1996","11","15",NA,"Brasil","Bahia","Rio de Contas","Chapada Diamantina; Pico do Itabira","-41.884167","-13.368611","1800","1800",NA,"arbusto, ca. 60cm, caule folhoso desde a base, folhas inferiores velas, nigrescentes, folhas jovens cinzas, filárias paleáceas, flores creme, anteras amarelas, frequente.","HURB000024395",NA,"1996","11","41º53'03W","13º22'07S",NA,NA,NA,NA,NA,NA
"10","2020-09-12 05:00:02-03","US","US","2855720","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Stenophalium","almasense","Stenophalium almasense","D.J.N. Hind",NA,"R. M. King, S. A. Mori, T. S. Santos & J. Hage","8165","1979","7","26","South America - Neotropics","Brazil","Bahia",NA,"Municipio de Mucuge a 3 km as S de Mucuge.na estrada que vai par Jussiape",NA,NA,"1000",NA,NA,NA,"US01742059","US01742059_01",NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,"1",NA
