"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount","sex"
"1","2020-09-23 10:43:27-03","E","E","224826","PreservedSpecimen","Plantae","Siparunaceae","Siparuna","bifida","Siparuna bifida","Patroni","110","W. Tropical South America","PE","herbarium specimen of unspecif","BGBASE:235599","<a href=http://data.rbge.org.uk/herb/E00224826 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00224826",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1188807","PreservedSpecimen","Plantae","Monimiaceae","Siparuna","bifida","Siparuna bifida","C. Figueiredo","274","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=849023' target='other'> <mi>dwc_moreinfo</mi></a>","NY01188807","Magnoliophyta","Laurales","(Poepp. & Endl.) A.DC.","S. S. Renner","1993","12","15","Acre","Xapuri","Reserva Extrativista Chico Mendes, Seringal Floresta. Colocação Rio Branco.","-68.5042","-10.6519","NY01188807_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02200391","PreservedSpecimen","Plantae","Monimiaceae","Siparuna","bifida","Siparuna bifida","B. A. Krukoff","5270","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2336462' target='other'> <mi>dwc_moreinfo</mi></a>","NY02200391","Magnoliophyta","Laurales","(Poepp. & Endl.) A.DC.",NA,"1933","08","03","Acre",NA,"Basin of Rio Purus, near mouth of Rio Macauhan, (tributary of the Rio Iaco).","-69","-9.33","NY02200391_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00894161","PreservedSpecimen","Plantae","Monimiaceae","Siparuna","bifida","Siparuna bifida","W. W. Thomas","4706","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=981864' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894161","Magnoliophyta","Laurales","(Poepp. & Endl.) A.DC.","S. S. Renner","1985","10","31","Mato Grosso","Vila Bela de Santíssima Trindade","41 km NNW of Pontes e Lacerda on BR 364 to Vilhena","-59.58","-14.95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","03361426","PreservedSpecimen","Plantae","Monimiaceae","Siparuna","bifida","Siparuna bifida","B. M. Torke","2025","South America","Brazil","Sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3502879' target='other'> <mi>dwc_moreinfo</mi></a>","NY03361426","Magnoliophyta","Laurales","(Poepp. & Endl.) A.DC.","S. S. Renner","2017","02","07","Pará","Belterra","FLONA do Tapajós, access road that departs BR-163 at Km 67, between turn off to PPBIO plots and turn off to LBA canopy tower","-54.957","-2.877","NY03361426_01","188","188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","196178","PreservedSpecimen","Plantae","Monimiaceae","Siparuna","bifida","Siparuna bifida","M. N. Alexiades","23","South America","Peru","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=529263' target='other'> <mi>dwc_moreinfo</mi></a>","NY00196178","Magnoliophyta","Laurales","(Poepp. & Endl.) A.DC.","R. L. Liesner","1988","10","15","Madre de Dios","Tambopata","Zona Reservada de Tambopata. La Torre","-69.28","-12.83",NA,"260","260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00835821","PreservedSpecimen","Plantae","Monimiaceae","Siparuna","bifida","Siparuna bifida","W. W. Thomas","4500","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=919097' target='other'> <mi>dwc_moreinfo</mi></a>","NY00835821","Magnoliophyta","Laurales","(Poepp. & Endl.) A.DC.","S. S. Renner","1985","10","21","Mato Grosso","Cuiabá","Chapada dos Guimaraes, at base of Veu da Noiva falls, in gallery forest of Rio Coxipozinho.","-55.83","-15.38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1550144","PreservedSpecimen","Plantae","Monimiaceae","Siparuna","bifida","Siparuna bifida","G. T. Prance","7506","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1807638' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550144","Magnoliophyta","Laurales","(Poepp. & Endl.) A.DC.","J. Jangoux","1968","09","24","Acre","Tarauacá","1-3 km east of Rio Tarauacá, at Tarauacá","-70.77","-8.15","NY01550144_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","196179","PreservedSpecimen","Plantae","Monimiaceae","Siparuna","bifida","Siparuna bifida","M. N. Alexiades","804","South America","Peru","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=529267' target='other'> <mi>dwc_moreinfo</mi></a>","NY00196179","Magnoliophyta","Laurales","(Poepp. & Endl.) A.DC.","C. R. Reynel; O. Phillips","1989","07","12","Madre de Dios","Tambopata","Comunidad Nativa de Infierno. Hermosa Chica. Transect 1","-69.28","-12.83",NA,"260","260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","196180","PreservedSpecimen","Plantae","Monimiaceae","Siparuna","bifida","Siparuna bifida","M. N. Alexiades","977","South America","Peru","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=529266' target='other'> <mi>dwc_moreinfo</mi></a>","NY00196180","Magnoliophyta","Laurales","(Poepp. & Endl.) A.DC.","C. R. Reynel; O. Phillips","1989","09","23","Madre de Dios","Tambopata","Zona Reservada de Tambopata. Trail from Explorer's Inn to Cocococha","-69.28","-12.83",NA,"260","260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
