"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","scientificNameAuthorship","recordNumber","identifiedBy","imagecode","class","yearIdentified","monthIdentified","dayIdentified","individualCount","fieldNumber","order","coordinatePrecision","geoFlag"
"1","2020-09-23 10:42:42-03","E","E","11644","PreservedSpecimen","Plantae","Pottiaceae","Leptodontium","wallisii","Leptodontium wallisii","isotype","Lewis, Marko","1988","11","11","W. Tropical South America","BO","Depto. La Paz","Prov. Franz Tamayo","Along the trail between Pelechuco and Moxos. ca. 2 km. downstream from Pelechuco","-69.033333","-14.783333","-69.033333","-14.783333","3600","3600","herbarium specimen of unspecif","BGBASE:15488","<a href=http://data.rbge.org.uk/herb/E00011644 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00011644",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","2048645","PreservedSpecimen","Plantae","Pottiaceae","Leptodontium","wallisii","Leptodontium wallisii",NA,"S. P. Churchill","1991","05","09","South America","Colombia","Tolima","Murillo","Cerca del Nevado del Ruiz, carretera a Murillo.",NA,NA,NA,NA,"3885","3975","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2207700' target='other'> <mi>dwc_moreinfo</mi></a>","NY02048645","Bryophyta","(Müll.Hal.) Kindb.","17890-B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","2048639","PreservedSpecimen","Plantae","Pottiaceae","Leptodontium","wallisii","Leptodontium wallisii",NA,"L. Delgado","1989","08","05","South America","Colombia","Nariño","Tuquerres","Estribaciones del Volcan Azufral.","-77.68","1.07",NA,NA,"3700","3950","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2207694' target='other'> <mi>dwc_moreinfo</mi></a>","NY02048639","Bryophyta","(Müll.Hal.) Kindb.","62","S. P. Churchill",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","2048649","PreservedSpecimen","Plantae","Pottiaceae","Leptodontium","wallisii","Leptodontium wallisii",NA,"S. P. Churchill","2003","09","19","South America","Bolivia","La Paz","Pedro Domingo Murillo","Mina San Luis, carretera de Nor Yungas.","-67.9333","-16.3158",NA,NA,"3500","3700","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2207704' target='other'> <mi>dwc_moreinfo</mi></a>","NY02048649","Bryophyta","(Müll.Hal.) Kindb.","22786","S. P. Churchill",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","531863","PreservedSpecimen","Plantae","Pottiaceae","Leptodontium","wallisii","Leptodontium wallisii",NA,"W. R. Buck","2001","05","24","South America","Ecuador","Azuay",NA,"26 km S of Sigsig on road to Gualaquiza, at junction of road to Recinto Militar","-78.82","-3.13",NA,NA,"3249","3249","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=182694' target='other'> <mi>dwc_moreinfo</mi></a>","NY00531863","Bryophyta","(Müll.Hal.) Kindb.","39348",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01273210","PreservedSpecimen","Plantae","Pottiaceae","Leptodontium","wallisii","Leptodontium wallisii",NA,"Z. Soldán","1999","03","07","South America","Ecuador","Chimborazo",NA,"ca. 1 km SE of Loma Guagua Lozán (near the crossroad Cruce del Arenal) in the W slope of the Volcán Chimborazo",NA,NA,NA,NA,"4150",NA,"packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1502489' target='other'> <mi>dwc_moreinfo</mi></a>","NY01273210","Bryophyta","(Müll.Hal.) Kindb.",NA,"W. R. Buck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","2048642","PreservedSpecimen","Plantae","Pottiaceae","Leptodontium","wallisii","Leptodontium wallisii",NA,"S. P. Churchill","1991","05","09","South America","Colombia","Tolima","Murillo","Cerca del Nevado del Ruiz, carretera a Murillo.",NA,NA,NA,NA,"3885","3975","packeted",NA,"[Coordinate Range: 75 16-19W.] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2207697' target='other'> <mi>dwc_moreinfo</mi></a>","NY02048642","Bryophyta","(Müll.Hal.) Kindb.","17894","R. Zander",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","2048644","PreservedSpecimen","Plantae","Pottiaceae","Leptodontium","wallisii","Leptodontium wallisii",NA,"N. Cardona de Hollaender","1991","09","28","South America","Colombia","Cauca","Puracé","Coconuco. Carretera que lleva a Purace. Cordillera Central de los Andes, camino a los termales de San Juan.","-76.47","2.33",NA,NA,NA,NA,"packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2207699' target='other'> <mi>dwc_moreinfo</mi></a>","NY02048644","Bryophyta","(Müll.Hal.) Kindb.","1450","S. P. Churchill",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","2048602","PreservedSpecimen","Plantae","Pottiaceae","Leptodontium","wallisii","Leptodontium wallisii",NA,"W. R. Buck","1983","12","16","South America","Ecuador","Napo",NA,"1 km E of mountain pass on road between Quito and Baeza.","-78.17","-0.42",NA,NA,"4000",NA,"packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2207657' target='other'> <mi>dwc_moreinfo</mi></a>","NY02048602","Bryophyta","(Müll.Hal.) Kindb.","10019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","2048643","PreservedSpecimen","Plantae","Pottiaceae","Leptodontium","wallisii","Leptodontium wallisii",NA,"E. L. Linares C.","1992","08","28","South America","Colombia","Cundinamarca","Choachí","Paramo Cruz Verde.","-73.98","4.57",NA,NA,"3300",NA,"packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2207698' target='other'> <mi>dwc_moreinfo</mi></a>","NY02048643","Bryophyta","(Müll.Hal.) Kindb.","3920",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
