"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","county","locality","individualCount","phylum","class","order","day","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","occurrenceRemarks","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","sex","preparationType"
"1","2014-11-05 09:15:00-02","MO","MOBOT","2405447","PreservedSpecimen","Plantae","Cactaceae","Parodia","mammulosa","Parodia mammulosa","(Lem.) N.P. Taylor","Kiesling, R.","E.H. Zanin","Zanin 50","2001","10","South America","Argentina","Entre Ríos","Colón","Parque Nacional El Palmar","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-07 09:18:42-03","UEFS","HUEFS","104983","PreservedSpecimen","Plantae","Cactaceae","Parodia","mammulosa","Parodia mammulosa","(Lem.) N.P.Taylor",NA,"Machado, M.","657","2005","11",NA,"Brasil","Rio Grande do Sul","Candiota","cerca de 46.5 km na leste do entroncamento da BR-153 com a BR-293, na BR-293 (cerca de 33.2 km após a entrada de Hulha Negra). Ponte sobre o Arroio Candiotinha. Afloramentos de granito ao norte da estrada, próximo ao rio.",NA,"Angiospermae","Caryophyllanae","Caryophyllales","30","-53.568611","-31.499167","53W34'7''","31S29'57''","246","246","HUEFS0104983","HUEFS0104983",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-10-07 09:18:42-03","UEFS","HUEFS","104991","PreservedSpecimen","Plantae","Cactaceae","Parodia","mammulosa","Parodia mammulosa","(Lem.) N.P.Taylor",NA,"Machado, M.","665","2005","12",NA,"Brasil","Rio Grande do Sul","Pedras Altas","cerca de 23 km na estrada de terra de Pinheiro Machado para Pedras Altas, contados a partir da entrada de Pinheiro Machado na BR-293. Alfloramentos de granito ao oeste da estrada.",NA,"Angiospermae","Caryophyllanae","Caryophyllales","01","-53.541389","-31.660556","53W32'29''","31S39'38''","423","423","HUEFS0104991","HUEFS0104991",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-10-07 09:18:42-03","UEFS","HUEFS","105017","PreservedSpecimen","Plantae","Cactaceae","Parodia","mammulosa","Parodia mammulosa","(Lem.) N.P.Taylor",NA,"Machado, M.","691","2005","12",NA,"Brasil","Rio Grande do Sul","Santana do Livramento","BR-293 de Santana do Livramento em direção a Quaraí, ca. 3.6 km da entrada oeste de Santana do Livramento (8.3 km da entrada leste de Santana do Livramento), dobra-se à direita (norte) em estrada para Cerros Verdes, após 27.5 km afloramentos rochosos ao lado da estrada.",NA,"Angiospermae","Caryophyllanae","Caryophyllales","05","-55.551667","-30.665","55W33'6''","30S39'54''","337","337","HUEFS0105017","HUEFS0105017",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-10-07 09:18:42-03","UEFS","HUEFS","135170","PreservedSpecimen","Plantae","Cactaceae","Parodia","mammulosa","Parodia mammulosa","(Lem.) N.P.Taylor",NA,"Machado, M.","896","2006","11",NA,"Brasil","Rio Grande do Sul","Santana do Livramento","Starting from the westernmost entrance to Santana do Livramento, drive west along the BR 293 for 3.5K, then take a right turn into the unpaved road to Cerros Verdes. After 34 Km take right at fork. After 2Km is the location.",NA,"Angiospermae","Caryophyllanae","Caryophyllales","15","-55.565278","-30.602222","55W33'55''","30S36'8''","282","282","HUEFS0135170","HUEFS0135170","Sandstone / mudstone.",NA,NA,NA,NA,NA,NA,NA,NA
"6","2017-09-11 17:09:07-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Cactaceae","Echinocactus","hypocrateriformis","Echinocactus hypocrateriformis","Otto & A.Dietr.",NA,"?","s.n.",NA,NA,"Southern America","Uruguay","Montevideo",NA,"Prope Montevideo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P04P2N0051","(Vidi specimen originarium et iconem optimam).",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-08 12:39:03-03","UFRGS","ICN","173485","S","Plantae","Cactaceae","Parodia","mammulosa","Parodia mammulosa","(Lem.) N. P. Taylor","Salengue, EV","Salengue, EV; Saraiva, DD","19","2009","03","América do Sul","Brasil","RS","Pedras Altas",NA,NA,"Dicotyledon",NA,NA,"07",NA,NA,NA,NA,"315","315",NA,NA,"Diâmetro= 47.7-56.6mm, Comprimento= 62.4-73.0mm; 13 costelas, em média 3-4 espinhos centrais (18.7-22.2-25.3mm) e em torno de 6 a 8 espinhos laterais (11.4 - 12.5 - 19.9 mm); botão florarl seco.; Afloramento rochoso próximo à calha de drenagem.",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-08-05 10:17:06-03","MCN-FZBRS","HAS","79132","PreservedSpecimen","Plantae","Cactaceae","Parodia","mammulosa","Parodia mammulosa","(Lem.) N.P. Taylor","Senna, R.M.","Nilson, A.D.","411","1995","04",NA,"Brasil","Rio Grande do Sul","Santiago",NA,NA,"Magnoliophyta",NA,NA,NA,"-54.8671989440918","-29.1916999816895",NA,NA,NA,NA,"HAS0079132",NA,NA,"2017","03","23","56006","auto",NA,NA,NA
"9","2019-03-13 15:33:25-03","A","HU-HERB","A 01678175","PreservedSpecimen","Plantae","Cactaceae","Parodia","mammulosa","Parodia mammulosa","(Lemaire) N. P. Taylor",NA,"T. M. Pedersen","6090","1961",NA,"South America","Argentina","Corrientes, Provincia de",NA,"Dep. Curuzú Cuatiá. Near Perugorria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6090","undetermined","Sheet"
"10","2019-03-13 15:35:35-03","GH","HU-HERB","GH 01678176","PreservedSpecimen","Plantae","Cactaceae","Parodia","mammulosa","Parodia mammulosa","(Lemaire) N. P. Taylor",NA,"W. G. F. Herter","721d","1935","4","South America","Uruguay","Montevideo",NA,"Pajas Blancas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"721d","undetermined","Sheet"
