"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","maximumElevationInMeters","typeStatus","individualCount","fieldNumber","yearIdentified","verbatimLongitude","verbatimLatitude","class","monthIdentified","coordinatePrecision","geoFlag"
"1","2021-03-15 16:37:00-03","NY","NYBG","02448047","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Araliaceae","Schefflera","sprucei","Schefflera sprucei","(Seem.) Harms","J. Zaruma","200","1985","05","18","South America","Ecuador","Napo","8 km río abajo de Puerto Misahualli, por el Río Napo y 1.5 km al Sur.","-77.6","-1.07","450","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3640352' target='other'> <mi>dwc_moreinfo</mi></a>","NY02448047","NY02448047_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","868302","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Araliaceae","Schefflera","sprucei","Schefflera sprucei","(Seem.) Harms","G. T. Prance","12632","1971","04","28","South America","Brazil","Acre","Rio Moa between Cachoeira Grande and Serra da Moa village","-73.75","-7.55",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=243208' target='other'> <mi>dwc_moreinfo</mi></a>","NY00868302","NY00868302_01","D. G. Frodin","Mâncio Lima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","03227668","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Araliaceae","Schefflera","sprucei","Schefflera sprucei","(Seem.) Harms","D. N. Smith","5457","1983","12","28","South America","Peru","Pasco","Villa Rica-Yesú road.","-75.3","-10.73","1600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3537743' target='other'> <mi>dwc_moreinfo</mi></a>","NY03227668","NY03227668_01",NA,"Oxapampa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","573203","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Araliaceae","Schefflera","sprucei","Schefflera sprucei","(Seem.) Harms","D. C. Daly","8995","1996","05","09","South America","Brazil","Acre","Parque Nacional Serra do Divisor, Serra do Moa, Hunting trail leading from Boca da Serra to Igarapé Anil (= Ig. República).","-73.64958","-7.4125",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=243209' target='other'> <mi>dwc_moreinfo</mi></a>","NY00573203","NY00573203_01","D. G. Frodin","Mâncio Lima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1188189","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Araliaceae","Schefflera","sprucei","Schefflera sprucei","(Seem.) Harms","P. Fiaschi","3298","2008","08","22","South America","Brazil","Acre","PARNA Serra do Divisor. Trilha para a Cachoeira Formosa.","-73.65761","-7.4465","225","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1233635' target='other'> <mi>dwc_moreinfo</mi></a>","NY01188189","NY01188189_01","P. Fiaschi","Mâncio Lima","225",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02533509","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Araliaceae","Schefflera","sprucei","Schefflera sprucei","(Seem.) Harms","P. Acevedo-Rodríguez","9057","1997","01","24","South America","Peru","Cusco","Dist. Camisea. Campamento San Martín-C, Camimisea Production Unit. S and SW of camp","-72.6992","-11.7856",NA,"sheet","Acevedo-Rodriguez 9057 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2766923' target='other'> <mi>dwc_moreinfo</mi></a>","NY02533509","NY02533509_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02533508","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Araliaceae","Schefflera","sprucei","Schefflera sprucei","(Seem.) Harms","R. Rojas","0168","1977","07","24","South America","Peru","Amazonas","Distrito El Cenepa, Comunidad de Tutino","-78.1928","-4.5753","300","sheet","Rojas 168 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2766922' target='other'> <mi>dwc_moreinfo</mi></a>","NY02533508","NY02533508_01",NA,"Condorcanqui",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1188188","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Araliaceae","Schefflera","sprucei","Schefflera sprucei","(Seem.) Harms","P. Fiaschi","3281","2008","08","21","South America","Brazil","Acre","PARNA Serra do Divisor. Trilha para a Cachoeira Formosa.","-73.65761","-7.4465","225","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1233600' target='other'> <mi>dwc_moreinfo</mi></a>","NY01188188","NY01188188_01","P. Fiaschi","Mâncio Lima","225",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","868301","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Araliaceae","Schefflera","sprucei","Schefflera sprucei","(Seem.) Harms","P. J. M. Maas","P12702","1971","05","01","South America","Brazil","Acre","Serra do Moa. Near school yard (other side of river)","-72.8956","-7.6144",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=243210' target='other'> <mi>dwc_moreinfo</mi></a>","NY00868301","NY00868301_01","D. G. Frodin","Mâncio Lima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","868303","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Araliaceae","Schefflera","sprucei","Schefflera sprucei","(Seem.) Harms","C. A. Cid Ferreira","10029","1989","10","12","South America","Brazil","Acre","Margem direita do Alto Rio Moa, Serra do Divisor entre o lugar Pedernal Fazenda Boa Vista.","-73.63","-7.42","50","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=973993' target='other'> <mi>dwc_moreinfo</mi></a>","NY00868303","NY00868303_01","D. G. Frodin","Mâncio Lima","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
