"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","identifiedBy","yearIdentified","individualCount","class","monthIdentified","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","55622","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Camarea","humifusa","Camarea humifusa","W.R.Anderson","isotype","W. R. Anderson","11465","1975","02","19","South America","Brazil","Goiás","Alto Paraíso de Goiás","Ca. 20 km S of Alto Paraiso on highway GO-12","-47.5099983215332","-14.1324996948242","44724","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=440548' target='other'> <mi>dwc_moreinfo</mi></a>","NY00055622","NY00055622_01","auto",NA,NA,NA,NA,NA,NA,NA
"2","2020-12-21 16:32:43-03","MBM","MBM","35443","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Camarea","humifusa","Camarea humifusa","W.R.Anderson","HOLOTYPE","Anderson, W.R.; Hatschbach, G.; Barneby, R.C.; Gates, B.E.; Hatschbach, G.; Barneby, R.C.; Gates, B.E.","11465","1975","02","19","Southern America","Brazil","Goiás","Alto Paraíso","Ca 20 km S of Alto Paraíso on highway GO 12",NA,NA,NA,"1100","1100",NA,"Strongly decumbent, humifuse branches from large xylopodium; calix glande green; petals dark yellow; rocky campo at base of hill.; Sttongly decumbent, jumifuse branches fron large xylopodium; calyx glands green; petals dark yellow.;","MBM035443","MBM035443",NA,"Anderson, W.R.","1993",NA,NA,NA,NA,NA
"3","2021-02-11 17:19:29-03","UFPR","UPCB","77845","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Camarea","humifusa","Camarea humifusa","W.R.Anderson",NA,"Pastore, J.F.B. | Faria, M.T.Ribeiro, L.C. | Duarte, E.F.","2310","2007","11","15",NA,"Brasil","Goiás","São João da Aliança","Cerrado recuperado de queimado. Solo substrato arenoso. Relevo acidentado.",NA,NA,NA,NA,NA,NA,"Erva prostradacom xilopódio bem desenvolvido. Flor com botões vermelhos e pétalas amarelas. Presença de tricomas urticantes..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2009-06-25 13:32:00-03","MO","MOBOT","1843733","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Camarea","humifusa","Camarea humifusa","W.R. Anderson","Isotype","William R. Anderson","Anderson 11465","1975","2","19","South America","Brazil","Goiás",NA,"Mun. Alto Paraiso: Ca. 20 km. S. of Alto Paraiso on highway GO-12.",NA,NA,NA,"1100.00000000",NA,NA,NA,NA,NA,NA,"W.R. Anderson",NA,NA,NA,NA,NA,NA
"5","2013-03-20 10:54:00-03","MO","MOBOT","100578022","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Camarea","humifusa","Camarea humifusa","W.R. Anderson",NA,"J.F.B. Pastore|M.T. Faria|L.C. Ribeiro|E.F. Duarte|et al.","Pastore 2310","2007","11","15","South America","Brazil","Goiás","São João d'Aliança","SW. Cerrado recuperado de queimada.","-47.5247001647949","-14.7055997848511","91641",NA,NA,NA,NA,NA,NA,"auto","R.F. Melo",NA,"1",NA,NA,NA,NA
"6","2020-08-31 09:03:48-03","INPA","INPA","139848","S","Plantae","Dicotyledon Com-Clade","Malpighiales","Malpighiaceae","Camarea","humifusa","Camarea humifusa","W.R.Anderson",NA,"Ramos, AE","375","1985","04","15","Southern America","Brasil","Distrito Federal",NA,"Estação Florestal Cabeça de Veado, ca. de 20 Km a SE de Brasília. Área do Atual Jardim Botânico",NA,NA,NA,"1025","1150",NA,NA,"INPA0139848","INPA0139848 INPA0139848_e",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-02 16:32:15-03","Cenargen","CEN","84630","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Camarea","humifusa","Camarea humifusa","W.R.Anderson",NA,"José Floriano Barêa Pastore","2310","2007","11","15",NA,"Brasil","GO","SAO JOAO D'ALIANCA",NA,NA,NA,NA,NA,NA,"Exsicatas","Xilopódio bem desenvolvido. Botões vermelhos e pétalas amarelas. Presença de tricomas urticantes. Doação Universidade Estadual de Feira de Santana - Feira de Santana - Bahia - Brasil HUEFS nº 129711.","CEN00084630","CEN00084630",NA,NA,NA,"1",NA,NA,NA,NA
"8","2019-11-13 11:24:26-03","USP","SPF","185847","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Camarea","humifusa","Camarea humifusa","W.R.Anderson",NA,"Motta, LB","10","2003","07","17",NA,"Brasil","Goiás","Alto Paraíso de Goiás",NA,"-47.5099983215332","-14.1324996948242","44724",NA,NA,NA,NA,"SPF00185847",NA,"auto","Mamede, MCH","2003",NA,NA,NA,NA,NA
"9","2019-10-07 09:31:55-03","UEFS","HUEFS","129711","PreservedSpecimen","Plantae","Angiospermae","Malpighiales","Malpighiaceae","Camarea","humifusa","Camarea humifusa","W.R.Anderson",NA,"Pastore, J.F.B.","2310","2007","11","15",NA,"Brasil","Goiás","São João d'Aliança",NA,"-47.5247001647949","-14.7055997848511","91641",NA,NA,NA,"Cerrado recuperado de queimada. Solo substrato arenoso. Relevo acidentado.","HUEFS0129711","HUEFS0129711","auto","A.M.Amorim","2011",NA,"Rosanae","07",NA,NA
"10","2020-01-09 09:12:38-03","FMM","FMM","2374","MachineObservation","Plantae",NA,NA,"Malpighiaceae","Camarea","humifusa","Camarea humifusa","W.R.Anderson",NA,NA,NA,"2017","11","25",NA,"Brasil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros","-47.705753","-14.132567",NA,NA,NA,NA,"Hábito: Erva; Domínio Fitogeográfico: Cerrado; Vegetação: Campo rupestre","FMM02374","FMM02374_v1 FMM02374_v2 FMM02374_v3 FMM02374_v4",NA,NA,NA,NA,NA,NA,"47°42'20.71W","14°7'57.24S"
