"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","typeStatus","individualCount","class","order","preparationType","relatedCatalogItem","dayIdentified","sex"
"1","2019-10-09 11:11:02-03","UFBA","ALCB","112148","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Paralychnophora","atkinsiae","Paralychnophora atkinsiae","D.J.N.Hind","Roque, N","2014","01","Roque, N; Alunos de Sistemática Evolução de Espermatófitas","4121","2014","01","25","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina, Trilha Ponte do Rio Cumbuca para o Córrego das Perdizes.","-41.349167","-12.988889","-41.349167","-12.988889","902","902","até 1,4 m alt. Folhas discolores. Capítulos dispersando os frutos. Indivíduo próximo ao rio.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-09 11:11:02-03","UFBA","ALCB","117583","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Paralychnophora","atkinsiae","Paralychnophora atkinsiae","D.J.N.Hind","Roque, N","2014","10","Roque, N; Funk, VA; Sancho, G","4499","2014","10","29","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina, Trilha para a cachoeira da Sibéria.","-41.358611","-12.9575","-41.358611","-12.9575","815","815","1,5-2 m alt., sempre próximo ao rio. Folhas discolores, brácteas involucrais verdes. Corola lilás, pápus creme.; campo rupestre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-10-09 11:11:02-03","UFBA","ALCB","124702","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Paralychnophora","atkinsiae","Paralychnophora atkinsiae","D.J.N.Hind","Roque, N","2016","04","Roque, N; Alunos de Sistemática Evolução de Espermatófitas","4786","2016","04","16","Southern America","Brasil","Bahia","Mucugê","trilha para a Cachoeira da Sibéria.","-41.348333","-12.989722","-41.348333","-12.989722","903","903","até 3,0m alt. Folhas discolores, face abaxial lanosa. Brácteas verde-lanosas, flores lilases.; próximo ao riacho.","ALCB012867","ALCB012867",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:11:02-03","UFBA","ALCB","62605","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Paralychnophora","atkinsiae","Paralychnophora atkinsiae","D.J.N.Hind","Loeuille, B","2011","12","Queiroz, LP de; Silva, BM da; Gusmão, LFP; Barreto, IC","5597","2000","01","22","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina, ca. 4 km N de Mucugê, na Chapada para Andaraí, sede do Projeto Sempre-Viva. Caminho da mata acima do tiburtino","-41.341389","-12.991667","-41.341389","-12.991667","1049","1049","ca. 1,5 m, ramificado. Folhas coriáceas, discolores, face abaxial cinerea. Capítulos com filárias verde-cinéreas; flores com corola e ramos do estilete lilases. Crescendo sobre pedras próximo a cachoeira no rio Piabinha.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:11:02-03","UFBA","ALCB","73625","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Paralychnophora","atkinsiae","Paralychnophora atkinsiae","D.J.N.Hind","Roque, N; Oliveira, EC de","2006","08","Roque, N; Alunos de Botânica III","1446","2006","07","08","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina, Trilha para as Andorinhas","-41.341389","-12.992222","-41.341389","-12.992222","980","980","1,5m, folhas descolores, pedúnculo e brácteas involucrais cinérias. Flores lilases",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:11:02-03","UFBA","ALCB","81501","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Paralychnophora","atkinsiae","Paralychnophora atkinsiae","D.J.N.Hind","Roque, N; Liro, RM","2007","12","Roque, N; Ferreira, SC; Alunos de Botânica III","s/n","2006","07","08","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina, Trilha para a Cachoeira das Andorinhas","-41.345278","-13.001389","-41.345278","-13.001389","915","915","ca. 1,5m alt.; folhas discolores. Flores lilases.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:11:02-03","UFBA","ALCB","81501","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Paralychnophora","atkinsiae","Paralychnophora atkinsiae","D.J.N.Hind","Roque, N; Liro, RM","2007","12","Roque, N; Ferreira, SC; Alunos de Botânica III","s/n","2006","07","08","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina, Parque Municipal de Mucugê, trilha para a Cachoeira das Andorinhas","-41.345278","-13.001389","-41.345278","-13.001389","915","915","ca. 1,5m alt.; folhas discolores. Flores lilases.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:11:02-03","UFBA","ALCB","81501","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Paralychnophora","atkinsiae","Paralychnophora atkinsiae","D.J.N.Hind","Roque, N; Liro, RM","2007","12","Roque, N; Ferreira, SC; Alunos de Botânica III","s/n","2006","07","08","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina, Parque Municipal de Mucugê, trilha para a Cachoeira das Andorinhas","-41.345278","-13.001389","-41.345278","-13.001389",NA,NA,"Ca. 1,5 m de alt.; Folhas discolores. Flores lilases.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:11:02-03","UFBA","ALCB","81501","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Paralychnophora","atkinsiae","Paralychnophora atkinsiae","D.J.N.Hind","Roque, N; Lyro, RM","2007","12","Roque, N; Ferreira, SC; Alunos de Botânica III","s/n","2006","07","08","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina, Trilha para a Cachoeira das Andorinhas","-41.345278","-13.001389","-41.345278","-13.001389","915","915","ca. 1,5m alt.; folhas discolores. Flores lilases.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-10-09 11:11:02-03","UFBA","ALCB","97250","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Paralychnophora","atkinsiae","Paralychnophora atkinsiae","D.J.N.Hind","Roque, N","2010","10","Hurbath, F; Roque, N; Moura, L; Alves, M; Aguiar, LGPA","36","2010","10","07","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina, Rio Piaba. Próximo ao Projeto Sempre Viva. Início da trilhas para a Cachoeira do Tiburtino","-41.341944","-12.992778","-41.341944","-12.992778","927","927","Cerca de 1,2m de altura. Folhas discolores. Brácteas involucrais esverdeadas. Flores alvas a liláses.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-10-09 11:11:02-03","UFBA","ALCB","97632","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Paralychnophora","atkinsiae","Paralychnophora atkinsiae","D.J.N.Hind","Roque, N","2010","10","Hurbath, F","36","2010","10","07","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina, Nas proximidades do projeto Sempre Viva; vegetação às margens do Rio Piaba","-41.341944","-12.992778","-41.341944","-12.992778","927","927","ca. de 1,20 m de alt.; folhas discolores; brácteas involucrais esverdeadas; flores alvas e liláses.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-10-09 11:11:02-03","UFBA","ALCB","60454","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Paralychnophora","atkinsiae","Paralychnophora atkinsiae","D.J.N.Hind","Locuille, B","2007","09","Guedes, ML; Estagiários; Alunos de Botânica III","s/n","2003","02","15","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina","-38.316667","-12.683333","-38.316667","-12.683333",NA,NA,"Ca. 2m. Folhas em espiral, subcoriáceas, subsesseis, pubescente, discolores. Inflorescência terminal, capítulo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-10-09 11:11:02-03","UFBA","ALCB","97992","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Paralychnophora","atkinsiae","Paralychnophora atkinsiae","D.J.N.Hind","Moura, L","2010","10","Moura, L; Conti, A","33","2010","10","24","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina, Cachoeira do Piabinha","-41.3708000183105","-13.0052995681763",NA,NA,NA,NA,"ca. de 1.30m. Folhas discolores, brácteas involucrais cinérias. Corola, anteras e estilete liláses passando a alvos.",NA,NA,"52493","auto",NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-11-04 11:01:57-03","ESALQ","ESA","24997","PreservedSpecimen","Plantae","Magnoliophyta","Asteraceae","Paralychnophora","atkinsiae","Paralychnophora atkinsiae","D.J.N. Hind","Loeuille, B.","2011",NA,"Sano, P.T. et al.",NA,"1994","02","22",NA,"Brasil","Bahia","Mucugê",NA,"-41.3708000183105","-13.0052995681763",NA,NA,NA,NA,NA,"ESA024997","ESA024997","52493","auto",NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-02-15 11:34:24-02","IPA","IPA","80645","S","Plantae","Plantae","Asteraceae","Paralychnophora","atkinsiae","Paralychnophora atkinsiae","D.J.N. Hind",NA,NA,NA,"Bautista, H.P.","2955","1999","09","02","Southern America","Brasil","Bahia","Mucugê","Parque Municipal de Mucugê., Unidade de Manejo Sustentável da Sempre Viva.","-41.3708000183105","-13.0052995681763",NA,NA,NA,NA,"Arbusto ca. 1m de altura, capítulos lilás. Rara.; Campo rupestre.","IPA0080645","IPA0080645","52493","auto",NA,NA,NA,NA,NA,NA,NA,NA
"16","2012-05-02 13:16:00-03","MO","MOBOT","1821840","PreservedSpecimen","Plantae",NA,"Asteraceae","Paralychnophora","atkinsiae","Paralychnophora atkinsiae","D.J.N. Hind","D.J.N. Hind",NA,NA,"Paulo T. Sano","Sano CFCR 14403","1994","2","22","South America","Brazil","Bahia",NA,"Mucugê. Estrada Mucugê-Andariá, a ca. 3 km de Mucugê. Próximo ao córrego da Piabinha.","-41.3341666","-12.9725",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isotype","1",NA,NA,NA,NA,NA,NA
"17","2020-09-12 05:00:02-03","US","US","3404164","PreservedSpecimen","Plantae",NA,"Asteraceae","Paralychnophora","atkinsiae","Paralychnophora atkinsiae","D.J.N. Hind",NA,NA,NA,"P. T. Sano, S. Atkins, C. M. Sakuragui, R. M. Harley & V. C. Souza","14403","1994","2","22","South America - Neotropics","Brazil","Bahia",NA,"Mucuge, Estrada Mucuge-Andaral.","-41.3342","-12.9725",NA,NA,"100","100",NA,"US00610746","US00610746_01",NA,NA,"Isotype","1","Dicotyledonae","Asterales",NA,NA,NA,NA
"18","2020-09-12 05:00:02-03","US","US","3700947","PreservedSpecimen","Plantae",NA,"Asteraceae","Paralychnophora","atkinsiae","Paralychnophora atkinsiae","D.J.N. Hind","Roque, N.",NA,NA,"N. Roque","4786","2016","4","16","South America - Neotropics","Brazil","Bahia","Mucugê","Trilha para a Cachoeira da Siberia.","-41.3483","-12.9897",NA,NA,"903",NA,NA,"US01922750","US01922750_01",NA,NA,NA,"1","Dicotyledonae","Asterales",NA,NA,NA,NA
"19","2020-09-12 05:00:02-03","US","US","3680575","PreservedSpecimen","Plantae",NA,"Asteraceae","Paralychnophora","atkinsiae","Paralychnophora atkinsiae","D.J.N. Hind",NA,NA,NA,"N. Roque, V. A. Funk & G. Sancho","4499","2014","10","29","South America","Brazil","Bahia","Mucuge","Chapada Diamantina, Trilha para a cachoeira da Siberia","-41.3586","-12.9575",NA,NA,"815",NA,NA,"US01274689","US01274689_01",NA,NA,NA,"1","Dicotyledonae","Asterales",NA,NA,NA,NA
"20","2020-09-12 05:00:02-03","US","US","3680575","PreservedSpecimen","Plantae",NA,"Asteraceae","Paralychnophora","atkinsiae","Paralychnophora atkinsiae","D.J.N. Hind",NA,NA,NA,"N. Roque, V. A. Funk & G. Sancho","4499","2014","10","29","South America","Brazil","Bahia","Mucuge","Chapada Diamantina, Trilha para a cachoeira da Siberia","-41.3586","-12.9575",NA,NA,"815",NA,NA,"US01274689","US01274689_01",NA,NA,NA,"1","Dicotyledonae","Asterales",NA,NA,NA,NA
"21","2020-09-02 16:21:30-03","Cenargen","CEN","47005","PreservedSpecimen","Plantae",NA,"Asteraceae","Paralychnophora","atkinsiae","Paralychnophora atkinsiae","D.J.N.Hind",NA,NA,NA,"Eurico Cabral de Oliveira","42","2002","02","16",NA,"Brasil","BA","MUCUGE","Às margem do Rio Piabinha.","-41.3708000183105","-13.0052995681763","-4138333.0","-1300000.0",NA,NA,"Folhas discolores. Bráctea glomérulo e involucrais verde-cinério. Pápus estramíneo. Doação do Herbário da Universidade Estadual de Feira de Santana - HUEFS (66385). Feira de Santana - Bahia.","CEN00047005","CEN00047005","52493","auto",NA,"1",NA,NA,"Exsicatas",NA,NA,NA
"22","2021-03-16 18:32:00-03","USP","SPF","95119","PreservedSpecimen","Plantae",NA,"Asteraceae","Paralychnophora","atkinsiae","Paralychnophora atkinsiae","D.J.N.Hind","Loeuille, B","2007","12","Sano, PT; Atkins, S; Sakuragui, CM; Harley, RM; Souza, VC","CFCR14403","1994","02","22",NA,"Brasil","Bahia","Mucugê","Estrada Mucugê-Andaraí, a ca. 3 km de Mucugê. Próximo ao córrego da Piabinha.","-41.334167","-12.9725","-41.334167","-12.9725",NA,NA,"Arbusto ramificado, até 2,5 m alt. Folhas discolores esbranquiçadas na face inferior, pedúnculo e brácteas com indumento alvo. Corola lilás, anteras lilás-escuro, estilete lilás-claro.; Entre rochas.","SPF00095119","SPF00095119",NA,NA,"holotype",NA,NA,NA,NA,NA,NA,NA
"23","2019-10-07 09:11:52-03","UEFS","HUEFS","142765","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Paralychnophora","atkinsiae","Paralychnophora atkinsiae","D.J.N.Hind","B.Loeuille","2011","11","Ferreira, S.C.","267","2007","05","19",NA,"Brasil","Bahia","Mucugê","Parque Estadual de Mucugê, trilha das Andorinhas.","-41.116667","-11.55","41W7'0''","11S33'0''",NA,NA,NA,"HUEFS0142765","HUEFS0142765",NA,NA,NA,NA,"Asteranae","Asterales",NA,NA,NA,NA
"24","2019-10-07 09:11:52-03","UEFS","HUEFS","134020","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Paralychnophora","atkinsiae","Paralychnophora atkinsiae","D.J.N.Hind","H.A.Ogasawara","2011","11","Queiroz, L.P.de","13601","2008","03","10",NA,"Brasil","Bahia","Mucugê","Área do Parque Municipal de Mucugê. (Projeto Sempre Viva)","-41.3425","-12.994722","41W20'33''","12S59'41''","942","942","Campo rupestre.","HUEFS0134020","HUEFS0134020",NA,NA,NA,NA,"Asteranae","Asterales",NA,NA,NA,NA
"25","2019-10-07 09:11:52-03","UEFS","HUEFS","156713","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Paralychnophora","atkinsiae","Paralychnophora atkinsiae","D.J.N.Hind",NA,NA,NA,"Sano, P.T.","CFCR14403","1994","02","22",NA,"Brasil","Bahia","Mucugê","Estrada Mucugê - Andaraí, a ca. 3Km de Mucugê. Próximo ao córrego da Piabinha.","-41.334167","-12.9725","41W20'3''","12S58'21''","100","100",NA,"HUEFS0156713","HUEFS0156713",NA,NA,"Isótipo",NA,"Asteranae","Asterales",NA,NA,NA,NA
"26","2019-10-07 09:11:52-03","UEFS","HUEFS","43040","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Paralychnophora","atkinsiae","Paralychnophora atkinsiae","D.J.N.Hind","D.J.N.Hind & H.P.Bautista","2000","09","Queiroz, L.P.de","5597","2000","01","22",NA,"Brasil","Bahia","Mucugê","Ca. 4 km N de Mucugê na Chapada para Andaraí, sede do Projeto Sempre-Viva. Caminho da mata acima do Tiburtino.","-41.341389","-12.991667","41W20'29''","12S59'30''","1049","1049","Campo rupestre.","HUEFS0043040","HUEFS0043040",NA,NA,NA,NA,"Asteranae","Asterales",NA,NA,NA,NA
"27","2019-10-07 09:11:52-03","UEFS","HUEFS","46455","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Paralychnophora","atkinsiae","Paralychnophora atkinsiae","D.J.N.Hind",NA,NA,NA,"Giulietti, A.M.","1928","2000","03","25",NA,"Brasil","Bahia","Mucugê","Centro do Projeto de Sempre-Viva. Trilha para Tiburtino, próx. aos rios Piabinha e Cumbuca.","-41.341389","-12.993333","41W20'29''","12S59'36''",NA,NA,NA,"HUEFS0046455","HUEFS0046455",NA,NA,NA,NA,"Asteranae","Asterales",NA,NA,NA,NA
