"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","860733","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","diamantinensis","Vriesea diamantinensis","Leme","H. S. Irwin","28252","1970","03","24","South America","Brazil","Minas Gerais","Diamantina","Serra do Espinhaço, ca. 3 km N. of São João da Chapada","-43.7833","-18.0833","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=956669' target='other'> <mi>dwc_moreinfo</mi></a>","NY00860733","NY00860733_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","873398","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","diamantinensis","Vriesea diamantinensis","Leme","H. S. Irwin","28252","1970","03","24","South America","Brazil","Minas Gerais","Diamantina","Serra do Espinhaço, ca. 3 km N. of São João da Chapada","-43.7833","-18.0833","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=956138' target='other'> <mi>dwc_moreinfo</mi></a>","NY00873398","NY00873398_01","L. M. Versieux",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","873399","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","diamantinensis","Vriesea diamantinensis","Leme","H. S. Irwin","28252","1970","03","24","South America","Brazil","Minas Gerais","Diamantina","Serra do Espinhaço, ca. 3 km N. of São João da Chapada","-43.7833","-18.0833","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=956679' target='other'> <mi>dwc_moreinfo</mi></a>","NY00873399","NY00873399_01 NY00873399_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-24 16:39:42-03","MN","R","196718","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","diamantinensis","Vriesea diamantinensis","Leme","Forzza, R.C.; Pirani, J.R.; Marcato, A.C.; Meguro, M. & Rapini, A.","621","1998","01","14",NA,"Brasil","Minas Gerais","Diamantina",NA,"-43.705","-18.182222","1140","1140",NA,NA,"R010011980",NA,"Coser, T.S.","2010","10","28","43°42'18''W","18°10'56''S",NA,NA,NA,NA
"5","2021-03-24 16:39:42-03","MN","R","230735","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","diamantinensis","Vriesea diamantinensis","Leme","Martinelli, G.","18977","2016","01","28",NA,"Brasil","Minas Gerais","Serro","São Gonçalo do Rio das Pedras. Trilha para o Pico do Raio.","-43.475278","-18.432778","1200","1200",NA,NA,"R010031181,R010031182",NA,"Martinelli, G.","2016","03",NA,"43°28'31''W","18°25'58''S",NA,NA,NA,NA
"6","2021-04-07 17:00:40-03","MN","R","213630","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","diamantinensis","Vriesea diamantinensis","Leme","Moura, R. 584; Paula, C.C.; Leme, E.; Ribeiro, O. & Coser, T.",NA,"2008","06","19",NA,"Brasil","Minas Gerais","Diamantina",NA,"-43.6002998352051","-18.2493991851807",NA,NA,NA,NA,"R010011981",NA,NA,NA,NA,NA,NA,NA,"101169","auto",NA,NA
"7","2020-12-11 11:43:35-03","UFMG","BHCB","167218","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Vriesea","diamantinensis","Vriesea diamantinensis","Leme","Machado, TM; Freitas, FS","484","2013","06","19","Southern America","Brasil","Minas Gerais","Diamantina","Caminho dos Escravos","-43.596944","-18.217778","1442","1442",NA,"Rupícola no sol. Apenas dois invíduos. Folhas verdes com terço superior vináceo. Ápice da lâmina com as laterais recurvas, lâmina com aspecto acinzentado. Escapo verde, pétala amarelo-claro com ápice apresentando pequenas máculas viná","BHCB048580",NA,NA,NA,NA,NA,"-43.596944","-18.217778",NA,NA,NA,NA
"8","2020-12-11 11:43:35-03","UFMG","BHCB","173133","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Vriesea","diamantinensis","Vriesea diamantinensis","Leme","Augsten, M; Leles, BP","129","2009","12","19","Southern America","Brasil","Minas Gerais","Serro","Monumento Natural Estadual Várzea do Lajeado, Lajeado de Milho Verde","-43.4899","-18.469842","1078","1078",NA,NA,"BHCB031089",NA,NA,NA,NA,NA,"-43.4899","-18.469842",NA,NA,NA,NA
"9","2020-12-11 11:43:36-03","UFMG","BHCB","173141","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Vriesea","diamantinensis","Vriesea diamantinensis","Leme","Augsten, M; Leles, BP","202","2009","12","22","Southern America","Brasil","Minas Gerais","Serro","Monumento Natural Estadual Várzea do Lajeado, Lajeado de Milho Verde","-43.4899","-18.469842","1078","1078",NA,NA,"BHCB031088",NA,NA,NA,NA,NA,"-43.4899","-18.469842",NA,NA,NA,NA
"10","2020-12-11 11:43:36-03","UFMG","BHCB","40171","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Vriesea","diamantinensis","Vriesea diamantinensis","Leme",NA,"s.n.",NA,NA,NA,"Southern America","Brasil","Minas Gerais","Serro","Capivari.","-43.3793983459473","-18.604700088501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"37754","auto",NA,NA
