"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","county","coordinatePrecision","geoFlag","class","individualCount","fieldNumber","minimumElevationInMeters","monthIdentified","dayIdentified","maximumElevationInMeters"
"1","2021-03-15 16:37:00-03","NY","NYBG","01176567","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Ecclinusa","bullata","Ecclinusa bullata","T.D.Penn.","T. D. Pennington","R. de Lemos Fróes","390","1941","11","24","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1409017' target='other'> <mi>dwc_moreinfo</mi></a>","NY01176567","NY01176567_01 NY01176567_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01176566","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Ecclinusa","bullata","Ecclinusa bullata","T.D.Penn.","T. D. Pennington","R. de Lemos Fróes","371","1941","11","14","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1409003' target='other'> <mi>dwc_moreinfo</mi></a>","NY01176566","NY01176566_01 NY01176566_02 NY01176566_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01176565","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Ecclinusa","bullata","Ecclinusa bullata","T.D.Penn.","T. D. Pennington","R. de Lemos Fróes","371","1941","11","14","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1408999' target='other'> <mi>dwc_moreinfo</mi></a>","NY01176565","NY01176565_01 NY01176565_02 NY01176565_03 NY01176565_04 NY01176565_05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:49:08-03","EAO","IAN","108459","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapotaceae","Ecclinusa","bullata","Ecclinusa bullata","T.D. Penn.","Pires, JM","Maguire, B; Pires, JM","47084","1960","07","20","Southern America","Brasil","Amapá",NA,"Tree 20 meters high, 30 centimeters in diameter; latex white, scanty; petioles much flattened.","IAN108459",NA,"1960","Primary forest along road between Oiapoque and Clevelândia.","-52.916667","-0.916667","-52.916667","-0.916667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:49:08-03","EAO","IAN","101677","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapotaceae","Ecclinusa","bullata","Ecclinusa bullata","T.D. Penn.",NA,"Pires, JM","7304",NA,NA,NA,"Southern America","Brasil","Pará",NA,NA,"IAN101677",NA,NA,"FAO. Árvore nº 326 RR SS.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:49:08-03","EAO","IAN","113132","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapotaceae","Ecclinusa","bullata","Ecclinusa bullata","T.D. Penn.",NA,"Rodrigues, WA; Chagas, JC","2126","1961","07","04","Southern America","Brasil","Amazonas",NA,"Árvore de 8m de altura; frutos verdes; látex creme.","IAN113132",NA,NA,"Cachoeira do Tarumã. Terra firme; solo arenoso; mata virgem.","-60.0250015258789","-3.10193991661072",NA,NA,"Manaus","138090","auto",NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:04:04-03","NBC","NL-BOTANY","L.4222033","PreservedSpecimen","Plantae",NA,"Ericales","Sapotaceae","Ecclinusa","bullata","Ecclinusa bullata","T.D.Penn.",NA,"Bèrgeron S",NA,NA,NA,NA,"Southern America","Colombia",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.4222033 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L4222033","NL-L4222033",NA,"Caquetá, rio caquetá, Araracuara camino de fenología, trocha del ari.",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:04:04-03","NBC","NL-BOTANY","L.4222034","PreservedSpecimen","Plantae",NA,"Ericales","Sapotaceae","Ecclinusa","bullata","Ecclinusa bullata","T.D.Penn.",NA,"Bèrgeron S",NA,NA,NA,NA,"Southern America","Colombia",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.4222034 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L4222034","NL-L4222034",NA,"Caquetá, rio caquetá, Araracuara camino de fenología, trocha del ari.",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"9","2008-09-26 10:16:00-03","MO","MOBOT","100150732","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Ecclinusa","bullata","Ecclinusa bullata","T.D. Penn.","G. Aymard","Basil Stergios","Stergios 18477","2000","4",NA,"South America","Venezuela","Amazonas",NA,NA,NA,NA,NA,"Municipio Casiquiare. Boca de río Pamoni del Alto Casiquiare.",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA
"10","2008-05-27 22:02:00-03","MO","MOBOT","1067640","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Ecclinusa","bullata","Ecclinusa bullata","T.D. Penn.","G. Aymard, 12/96","Paul E. Berry|et al.","Berry 6329","1996","5","28","South America","Venezuela","Amazonas",NA,NA,NA,NA,NA,"Caatinga forest on white sand, ca. 10 km from Yavita along Yavita-Maroa road. GPS unit used.","-67.49166","2.85",NA,NA,NA,NA,NA,NA,"2","226","110.00000000",NA,NA,NA
"11","2008-05-27 22:02:00-03","MO","MOBOT","1070466","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Ecclinusa","bullata","Ecclinusa bullata","T.D. Penn.","G. Aymard","Gerardo Aymard|Carlos Gómez","Aymard C. 11029","1996","5","23","South America","Venezuela","Amazonas",NA,NA,NA,NA,NA,"Nonflooded forest on flat areas over white sand, ca. 5 km west of Yavita, along Yavita-Maroa road. GPS unit used.","-67.46583","2.89416",NA,NA,NA,NA,NA,NA,"2","2","110.00000000",NA,NA,NA
"12","2008-05-27 22:02:00-03","MO","MOBOT","1216132","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Ecclinusa","bullata","Ecclinusa bullata","T.D. Penn.","G.Aymard (PORT)","Paul E. Berry|et al.","Berry 6894","1998","2","25","South America","Venezuela","Amazonas",NA,NA,NA,NA,NA,"Evergreen forest on flat, poorly drained ultisols, with many large trees uprooted, 8.5 km north of Maroa along Yavita-Maroa Road. GPS unit used. Field work supported by World Wildlife Fund.","-67.52527","2.78833",NA,NA,NA,NA,NA,NA,"5","260","120.00000000",NA,NA,NA
"13","2008-05-27 22:02:00-03","MO","MOBOT","1361143","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Ecclinusa","bullata","Ecclinusa bullata","T.D. Penn.","T.D.Pennington& K.S.Edwards(FVG2005)","Ronald L. Liesner","Liesner 8649","1980","1","24","South America","Venezuela","Amazonas",NA,NA,NA,NA,NA,"IVIC Study site 4 km NE of San Carlos de Rio Negro.","-67.03333","1.86666",NA,NA,NA,NA,NA,NA,NA,"166","120.00000000",NA,NA,NA
"14","2008-09-26 12:10:00-03","MO","MOBOT","1424363","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Ecclinusa","bullata","Ecclinusa bullata","T.D. Penn.","G.Aymard","Paul E. Berry|Gerardo Aymard","Berry 7458","2000","4","1","South America","Venezuela","Amazonas",NA,NA,NA,NA,NA,"Bosque de tierra firme de ladera, ca. 1.5 km al este de la boca del caño frente a Laja Viento, por el Río Guainía. (Parcela 9).","-67.0891666","2.0830556",NA,NA,NA,NA,NA,NA,"5","279","130.00000000",NA,NA,NA
"15","2008-05-27 22:02:00-03","MO","MOBOT","1914631","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Ecclinusa","bullata","Ecclinusa bullata","T.D. Penn.","T.D.Pennington& K.S.Edwards(FVG2005)","Ronald L. Liesner","Liesner 6855","1979","4","22","South America","Venezuela","Amazonas",NA,NA,NA,NA,NA,"1 to 2 km SE and E of San Carlos de Río Negro.","-67.06666","1.91666",NA,NA,NA,NA,NA,NA,NA,"215","120.00000000",NA,NA,NA
"16","2011-06-09 18:03:00-03","MO","MOBOT","3377006","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Ecclinusa","bullata","Ecclinusa bullata","T.D. Penn.",NA,"Gerardo Aymard","Aymard C. 8435","1990","3","4","South America","Venezuela","Amazonas",NA,NA,NA,NA,NA,"Alto Rio orinoco. Bosque smedios-altos en lomerio con dominancia de .","-65.95","3.1",NA,NA,NA,NA,NA,NA,NA,NA,"160.00000000",NA,NA,NA
"17","2009-11-27 00:39:00-02","MO","MOBOT","3377875","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Ecclinusa","bullata","Ecclinusa bullata","T.D. Penn.",NA,"Julian A. Steyermark|Bruce K. Holst","Steyermark 130508","1985","2","21","South America","Venezuela","Amazonas",NA,NA,NA,NA,NA,"Atabapo. Sima Camp south-central portion of forested lsopes along eastern branch of cano Negro.","-65.51666","3.71666",NA,NA,NA,NA,NA,NA,NA,NA,"1140.00000000",NA,NA,NA
"18","2008-05-27 22:02:00-03","MO","MOBOT","3378006","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Ecclinusa","bullata","Ecclinusa bullata","T.D. Penn.",NA,"* SALDARIAGA","SALDARIAGA s.n.","1983","2","2","South America","Venezuela","Amazonas",NA,NA,NA,NA,NA,"San Carlos de Rio Negro,c a. 20 km S of confluence of Rio Negro An dBRazo Casiquiare.","-67.05","1.93333",NA,NA,NA,NA,NA,NA,NA,NA,"119.00000000",NA,NA,NA
