"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","class","dayIdentified","typeStatus","eventTime","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","663388","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophora","bahiensis","Lychnophora bahiensis","Mattf.","H. E. Robinson","G. G. Hatschbach","47423","1984","01","21","South America","Brazil","Bahia","Rio de Contas","Aeroporto","-41.8114","-13.5792","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=350032' target='other'> <mi>dwc_moreinfo</mi></a>","NY00663388","NY00663388_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1843391","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophora","rosmarinifolia","Lychnophora rosmarinifolia","Mart.","J. Semir","R. M. Tryon","6837","1965","11","25","South America","Brazil","Minas Gerais",NA,"Planalto o Serra do Cipó (a portion of Serra do Espinhaço), 85 km. north-northeast of Bello Horizonte. Vicinity of road from Lagoa Santa to Conceicão do Mato Dentro, at km. 109 from Bello Horizonte.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2050370' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843391","NY01843391_01","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1843350","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophora","rosmarinifolia","Lychnophora rosmarinifolia","Mart.","J. Semir","G. Eiten","6916","1965","11","25","South America","Brazil","Minas Gerais","Jaboticatubas","Serra do Cipó. Along road at km 108-109.","-43.608","-19.325","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2050011' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843350","NY01843350_01","950","950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1843351","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophora","rosmarinifolia","Lychnophora rosmarinifolia","Mart.","J. Semir","H. S. Irwin","20410","1968","02","18","South America","Brazil","Minas Gerais",NA,"Serra do Cipó, ca. km. 109 (ca. 134km N. of Belo Horizonte).","-43.4","-18.97","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2050013' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843351","NY01843351_01","1150","1150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1843367","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophora","rosmarinifolia","Lychnophora rosmarinifolia","Mart.","J. Semir","A. P. Duarte","13769","1971","01","17","South America","Brazil","Minas Gerais","Diamantina","Para Alto Jequitinhonha.","-43.6002998352051","-18.2493991851807","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2050052' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843367","NY01843367_01",NA,NA,"101169","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1843366","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophora","rosmarinifolia","Lychnophora rosmarinifolia","Mart.","J. Semir","A. P. Duarte","13769","1971","01","17","South America","Brazil","Minas Gerais","Diamantina","Para Alto Jequitinhonha.","-43.6002998352051","-18.2493991851807","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2050050' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843366","NY01843366_01",NA,NA,"101169","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-08 17:37:05-03","EAO","IAN","61391","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Lychnophora","rosmarinifolia","Lychnophora rosmarinifolia","Mart.",NA,"Martins-da-Silva, RCV","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN061391","IAN061391_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:10:46-03","UFBA","ALCB","65424","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","bahiensis","Lychnophora bahiensis","Mattf.","Roque, N","Roque, N; Watanabe, MTC; Mota, AC da; Passos Júnior, LA; Botelho, RB; Santos, TM; Anjos,","874","2003","12","04","Southern America","Brasil","Bahia","Piatã","Chapada Diamantina, Estrada Abaíra-Piatã, ca 6 Km de Piatã","-41.758611","-13.206389",NA,"ca 1,5 m alt. Flores lilases.",NA,NA,"1107","1107",NA,NA,"-41.758611","-13.206389",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:10:46-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","bahiensis","Lychnophora bahiensis","Mattf.","Hind, DJN","Queiroz, LP de; et al.","3349","1993","07","22","Southern America","Brasil","Bahia","Seabra","Chapada Diamantina, Serra do Bebedor, ca 4 km de Lagoa Boa Vista, na estrada para Gado Bravo","-41.816667","-12.283333",NA,"base bromelióide, de onde irradiam ramos prostados a decumbentes, até 20 cm. Folhas coriáceas liláses.",NA,NA,"1300","1300",NA,NA,"-41.816667","-12.283333","1995","04",NA,NA,NA,NA,NA,NA,NA
"10","2019-10-09 11:10:46-03","UFBA","ALCB","136715","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","rosmarinifolia","Lychnophora rosmarinifolia","Mart.","Loeuille, BFP","Sevilha, AC; Arruda, DM; Lima, ILP; Pereira, JB; Amaral, JP do; Medeiros, MB de; Oliveira, W","4889","2006","11","08","Southern America","Brasil","Minas Gerais","Rio Pardo de Minas","Areião II. Ponto 27 da fitossociologia.","-42.523889","-15.5525",NA,"com 2 m de altura. Flor roxa. Frequente.; Mosaico de cerrado stricto sensu e campo cerrado. Relevo, suave ondulado. Substrato, neossolo quartzarênico em área de chapada.","ALCB066758","ALCB066758","900","900",NA,NA,"-42.523889","-15.5525","2012","11",NA,NA,NA,NA,NA,NA,NA
