"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","monthIdentified","individualCount","dayIdentified","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","00906209","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Tripsacum","andersonii","Tripsacum andersonii","J.R.Gray","E. J. Judziewicz","T. de S. Filgueiras","1188","1985","10","14","South America","Brazil","Distrito Federal","Brasília","Reserva Ecológica do IBGE. Chácara 4","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971156' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906209","NY00906209_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-09 11:29:10-03","UFBA","ALCB","69951a","PreservedSpecimen","Plantae","Monocotyledon",NA,"Poaceae","Tripsacum","andersonii","Tripsacum andersonii","J.R.Gray","Guedes, ML","Guedes, ML","11909","2005","06","12","Southern America","Brasil","Bahia","Ituberá","Mata ciliar da Pancada Grande","-39.1492004394531","-13.7321996688843",NA,"Herbácea: colmos escandentes de 100 a 400 cm alt. Lâmina foliar lanceolada. Racemos com 4-12 espiguetas femininas na base. Espiguetas masculinas sésseis a subsésseis. Cultivada.; Mata ciliar, margem do Rio Juliana.","ALCB018136","ALCB018136","2005","22399","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-19 10:24:59-03","CPAP","CPAP","23712","PreserverdSpecimen","Plantae",NA,NA,"Poaceae","Tripsacum","andersonii","Tripsacum andersonii","J.R.Gray","A. Pott","Pott, A.","11090","2003","05","12",NA,"Brasil","MS","Corumbá","Reserva Acurizal, Serra do Amolar, borda oeste do Pantanal.","-57.5625","-17.900278",NA,"Erva cespitosa, 2,5m de altura. FLOR: . FRUTO: . INTERESSE: . FREQUÊNCIA: Ocasional. AMBIENTE: Cerradão perturbado.. SUBSTRATO: solo areno-siltoso. RELEVO: quase plano.",NA,NA,"2004",NA,NA,"57°33'45 W","17°54'01 S","150","150",NA,NA,NA,NA,NA
"4","2020-11-19 10:24:59-03","CPAP","CPAP","7636","PreserverdSpecimen","Plantae",NA,NA,"Poaceae","Tripsacum","andersonii","Tripsacum andersonii","J.R.Gray",NA,"Pott, A.","5586","1990","04","23",NA,"Brasil","MS","Corumbá","Fazenda Nhuvai, Sub-região da Nhecolândia, Pantanal","-56.016667","-18.833333",NA,"Erva cespitosa 2 m de altura. FLOR: . FRUTO: . INTERESSE: Forrageira. FREQUÊNCIA: Ocasional. AMBIENTE: Cordilheira (paleodique) desmatada, não alagável. Desmatado e plantado (Brachiaria decumbens) em 1989.. SUBSTRATO: solo arenoso. RELEVO: plano convexo.",NA,NA,NA,NA,NA,"56°01' W","18°50' S","100","100",NA,NA,NA,NA,NA
"5","2020-11-19 10:24:59-03","CPAP","CPAP","9395","PreserverdSpecimen","Plantae",NA,NA,"Poaceae","Tripsacum","andersonii","Tripsacum andersonii","J.R.Gray","A. Pott","Salis, S. M.","634","1992","03","30",NA,"Brasil","MS","Aquidauana","Fazenda Fazendinha, Pantanal - invernada São Bento, beira de cordilheira","-56.383333","-19.483333",NA,"Erva cespitosa. FLOR: esverdeada. FRUTO: não visto. INTERESSE: Levantamento florístico. FREQUÊNCIA: Pouco frequente. AMBIENTE: Beira de cordilheira. SUBSTRATO: solo arenoso. RELEVO: plano.",NA,NA,"1992",NA,NA,"56°23' W","19°29' S","90","90","04",NA,NA,NA,NA
"6","2019-02-15 11:48:32-02","IPA","IPA","45541","S","Plantae","Plantae",NA,"Poaceae","Tripsacum","andersonii","Tripsacum andersonii","J.R. Gray","Oliveira, R.P.","Andrade-Lima","8324","1977","09","08","Southern America","Brasil","Pernambuco","Cabo de Santo Agostinho","Gaibú, estrada engenho Boa vista, beira da estrada.","-35.0349998474121","-8.28666973114014",NA,"Cultivado e escape de cultura.","IPA0045541",NA,"2002","25282","auto",NA,NA,NA,NA,"07",NA,NA,NA,NA
"7","2021-04-07 11:47:46-03","UFMS","CGMS","71300","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Tripsacum","andersonii","Tripsacum andersonii","J.R.Gray",NA,"A. Pott; V.J. Pott","13874","2006","02","05",NA,"Brasil","Mato Grosso do Sul","Aquidauana","Próximo ao Rio Correntozo, Fazenda Santana, sub-região de Aquidauana, Pantanal.","-55.7872009277344","-20.4710998535156",NA,"Estigmas esbranquiçados. Habitat: Campo inundável; Solo arenoso; Relevo plano. Habito: Erva cespitosa ereta. Manchas ocasionais.","CGMS1104076",NA,NA,"212961","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2012-04-13 10:50:00-03","MO","MOBOT","2665778","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Tripsacum","andersonii","Tripsacum andersonii","J.R. Gray","Laegaard, S. (AAU)","Simon Lægaard","Lægaard 18917","1998","6","17","South America","Ecuador","Zamora-Chinchipe",NA,"E of Los Encuentros along road to Jardin del Condor, ca 2 km from bridge","-78.5166667","-3.5166667",NA,NA,NA,NA,NA,NA,NA,NA,NA,"950.00000000",NA,NA,"1",NA,NA,NA
"9","2020-09-19 22:52:00-03","MO","MOBOT","100408899","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Tripsacum","andersonii","Tripsacum andersonii","J.R. Gray","I. Villalba (HOXA)","Rodolfo Vásquez|M. Huamán|R. Rivera","Vásquez Martínez 36611","2010","6","26","South America","Peru","Pasco","Oxapampa","Distrito Villa Rica. Comunidad Nativa San Francisco de Pichanáz - carretera a Puerto Bermúdez.","-75.0252778","-10.3636111",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1056.00000000",NA,NA,"6",NA,NA,NA
"10","2014-02-03 22:19:00-02","MO","MOBOT","1589851","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Tripsacum","andersonii","Tripsacum andersonii","J.R. Gray","Gerrit Davidse, XI/2001 (MO)","Jean Petitbon","Petitbon 33","2000","11","22","South America","French Guiana",NA,NA,"Canton de Kourou. Vis-à-vis du marécage de Matiti. Jardin créole abandonné.","-52.6","5.11666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
