"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","identifiedBy","typeStatus","relatedCatalogItem","coordinatePrecision","geoFlag","fieldNumber","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters"
"1","2021-03-15 16:37:00-03","NY","NYBG","02707647","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Ericaceae","Gaylussacia","retivenia","Gaylussacia retivenia","Sleumer","C. Baez","316","2014","10","25","South America","Brazil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos. Trilha entre abrigo 4 e Pedra do sino. PARNASO","-43.030278","-22.460556","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2991554' target='other'> <mi>dwc_moreinfo</mi></a>","NY02707647","NY02707647_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 09:01:35-03","NBC","NL-BOTANY","L 0007219","PreservedSpecimen","Plantae",NA,"Ericales","Ericaceae","Gaylussacia","retivenia","Gaylussacia retivenia","Sleumer","Rizzini CT",NA,"1952","11","15","Southern America","Brazil","Rio de Janeiro",NA,"Brasil: Estado do Rio: Serra dos Orgaos, Pedra da Cruz, Km. 12-13.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200007219 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0007219","NL-L0007219","Magnoliopsidae","Sleumer HO","isotype","142217",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:01:35-03","NBC","NL-BOTANY","L 0007220","PreservedSpecimen","Plantae",NA,"Ericales","Ericaceae","Gaylussacia","retivenia","Gaylussacia retivenia","Sleumer","Rizzini CT",NA,"1952","11","15","Southern America","Brazil","Rio de Janeiro",NA,"Brasil: Estado do Rio: Serra dos Orgaos, Pedra da Cruz, Km. 12-13.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200007220 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0007220","NL-L0007220","Magnoliopsidae","Sleumer HO","holotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:01:35-03","NBC","NL-BOTANY","L.2593851","PreservedSpecimen","Plantae",NA,"Ericales","Ericaceae","Gaylussacia","retivenia","Gaylussacia retivenia","Sleumer","Pereira E",NA,NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,"Campo das Antas.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2593851 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2593851","NL-L2593851","Magnoliopsidae","Sleumer HO",NA,"L 0794667",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:01:35-03","NBC","NL-BOTANY","L.2593852","PreservedSpecimen","Plantae",NA,"Ericales","Ericaceae","Gaylussacia","retivenia","Gaylussacia retivenia","Sleumer","Rizzini CT",NA,"1952","11","11","Southern America","Brazil",NA,NA,"Perto do Campo das Antas - S. dos Orgãos.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2593852 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2593852","NL-L2593852","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:01:35-03","NBC","NL-BOTANY","L.2593853","PreservedSpecimen","Plantae",NA,"Ericales","Ericaceae","Gaylussacia","retivenia","Gaylussacia retivenia","Sleumer","Pereira E",NA,"1942","11","30","Southern America","Brazil",NA,NA,"Est. Rio de Janeiro, serra dos Órgãos, Campo das Antas.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2593853 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2593853","NL-L2593853","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:06:43-03","ESALQ","ESA","106677","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Ericaceae","Gaylussacia","retivenia","Gaylussacia retivenia",NA,"Romão, G.O. ; Dantas, A.P.T.","1426.0","1905","06","28",NA,"Brasil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos, cume da Pedra do Sino.","-42.9655990600586","-22.4122009277344",NA,"Subarbusto procumbente, até 10cm alt.; râmulos eretos; folhas velhas comumente arroxeadas. Vegetetivo. População com indivíduos muito esparsamente situados, muito distante uns dos outros.","ESA106677",NA,NA,NA,NA,NA,"38539","auto",NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:06:43-03","ESALQ","ESA","106676","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Ericaceae","Gaylussacia","retivenia","Gaylussacia retivenia",NA,"Romão, G.O. ; Dantas, A.P.T.","1425.0","1905","06","28",NA,"Brasil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos, trilha Abrigo 4 - Pedra do Sino - Pedra da Baleia, na subida para a Pedra do Sino.","-42.9655990600586","-22.4122009277344",NA,"Subarbusto procumbente, râmulos eretos; folhas velhas comumente arroxeadas. Vegetetivo.","ESA106676",NA,NA,"Romão, G.O.",NA,NA,"38539","auto",NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:06:43-03","ESALQ","ESA","106673","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Ericaceae","Gaylussacia","retivenia","Gaylussacia retivenia",NA,"Romão, G.O. ; Dantas, A.P.T.","1422.0","1905","06","28",NA,"Brasil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos, trilha Abrigo 4 - Pedra do Sino - Pedra da Baleia, na subida para a Pedra do Sino.","-42.9655990600586","-22.4122009277344",NA,"Subarbusto procumbente, râmulos eretos; folhas velhas comumente arroxeadas. Vegetetivo.","ESA106673",NA,NA,"Romão, G.O.",NA,NA,"38539","auto",NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:06:43-03","ESALQ","ESA","106651","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Ericaceae","Gaylussacia","retivenia","Gaylussacia retivenia",NA,"Romão, G.O. ; Dantas, A.P.T.","1400.0","1905","06","28",NA,"Brasil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos, trilha para a Pedra do Sino, ca. 1Km antes do Abrigo 4, Campo das Antas.","-42.9655990600586","-22.4122009277344",NA,"Subarbusto, ca. 30cm alt.; râmulos eretos, pouco ramificado. Vegetativo.","ESA106651",NA,NA,"Romão, G.O.",NA,NA,"38539","auto",NA,NA,NA,NA,NA,NA,NA
"11","2020-11-04 11:06:43-03","ESALQ","ESA","106648","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Ericaceae","Gaylussacia","retivenia","Gaylussacia retivenia",NA,"Romão, G.O. ; Dantas, A.P.T.","1397.0","1905","06","28",NA,"Brasil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos, trilha para a Pedra do Sino, ca. 1Km antes do Abrigo 4, Campo das Antas.","-42.9655990600586","-22.4122009277344",NA,"Subarbusto procumbente, ca. 15cm alt.; folhas velhas verde-escuras com bordos arroxeados, râmulos eretos. Vegetativo.","ESA106648",NA,NA,"Romão, G.O.",NA,NA,"38539","auto",NA,NA,NA,NA,NA,NA,NA
"12","2021-03-01 16:29:17-03","UNICAMP","UEC","176836","S","Plantae","Magnoliopsida",NA,"Ericaceae","Gaylussacia","retivenia","Gaylussacia retivenia","Sleumer","Romão, GO; Dantas, APT","1422","2006","07","15",NA,"Brazil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos, trilha entre Abrigo 4 - Pedra do Sino - Pedra da Baleia, na subida para a Pedra do Sino.","-42.9655990600586","-22.4122009277344",NA,"Subarbusto procumbente, râmulos eretos; folhas velhas comumente arroxeadas. Vegetativo.; Campo de altitude, com afloramento rochoso, substrato seco e pedregoso, com predomínio de gramíneas. Planta entre rochas.","UEC085539",NA,NA,NA,NA,NA,"38539","auto",NA,NA,NA,NA,NA,NA,NA
"13","2015-09-04 15:45:49-03","MNHN","RECOLNAT_MNHN_P","P04471468","PreservedSpecimen",NA,NA,NA,"Ericaceae","Gaylussacia","retivenia","Gaylussacia retivenia","Sleumer","Glaziou, A.",NA,"1868","9","8",NA,"Brasil","Rio de Janeiro",NA,"Brésil (Rio Janeiro) Sommet des Orgnes",NA,NA,"hb","Herbier de A. Glaziou donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04471468' target='other'> <mi>dwc_moreinfo</mi></a>","P04471468","P04471468_01",NA,NA,NA,NA,NA,NA,"2881",NA,NA,NA,NA,NA,NA
"14","2020-01-14 12:01:42-03","USP","SPF","231084","PreservedSpecimen","Plantae",NA,NA,"Ericaceae","Gaylussacia","retivenia","Gaylussacia retivenia","Sleumer","Baez, C","316","2014","10","25",NA,"Brasil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos","-43.030278","-22.460556",NA,NA,"SPF00231084",NA,NA,"Baez, C",NA,NA,NA,NA,NA,"2015","06","-43.030278","-22.460556","2100","2275"
"15","2020-12-01 10:53:23-03","UEFS","HUEFS","139142","PreservedSpecimen","Plantae","Angiospermae","Ericales","Ericaceae","Gaylussacia","retivenia","Gaylussacia retivenia","Sleumer","Oliveira, J.A.","614","2016","10","28",NA,"Brasil","Bahia","Rio de Contas","Pico das Almas. Trilha de acesso ao pico, entre o Campo de Queiroz e o topo.","-41.959167","-13.523889",NA,NA,"HUEFS0139142","HUEFS0139142 HUEFS0139142_e1","Asteranae","A.A.Sampaio",NA,NA,NA,NA,NA,"2020","11","41W57'33''","13S31'26''","1900","1900"
"16","2019-09-04 18:11:11-03","F","FMNH-SEEDPLANTS","V0055407F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Ericaceae","Gaylussacia","retivenia","Gaylussacia retivenia",NA,"C. T. Rizzini","1148","1952","11","15","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0055407F","V0055407F_01","Dicotyledoneae",NA,"Isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
