"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","minimumElevationInMeters","maximumElevationInMeters","class","relatedCatalogItem","identifiedBy","yearIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","00857927","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Cyanocephalus","tagetifolius","Cyanocephalus tagetifolius","(Harley) Harley & J.F.B.Pastore","G. G. Hatschbach","36802","1975","05","24","South America","Brazil","Goiás","Alto Paraíso de Goiás","Rod. GO-12, km 5-10 ao Sul de Alto Paraíso.","-47.5097","-14.1325","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=946143' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857927","NY00857927_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00000680","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Hyptis","tagetifolia","Hyptis tagetifolia","Harley","H. S. Irwin","33180","1971","03","25","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca 20 km N of Alto do Paraiso","-47.5097","-14.1325","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=547316' target='other'> <mi>dwc_moreinfo</mi></a>","NY00000680","NY00000680_01","isotype","1250","1250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:32:42-03","NBC","NL-BOTANY","U 0002560","PreservedSpecimen","Plantae",NA,"Lamiales","Labiatae","Hyptis","tagetifolia","Hyptis tagetifolia","Harley","Irwin HS; et al.",NA,"1971","03","25","Southern America","Brazil","Goiás",NA,"Estado do GoiásChapada dos Veadeirosc. 20km N. of Alto de Paraíso",NA,NA,NA,"Among rocks near riacho. Cerrado on outcrops with adjacent wet campo (brejo) and gallery<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200002560 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0002560","NL-U0002560","isotype",NA,NA,"Magnoliopsidae","291046 B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:32:42-03","NBC","NL-BOTANY","WAG.1717312","PreservedSpecimen","Plantae",NA,"Lamiales","Labiatae","Hyptis","tagetifolia","Hyptis tagetifolia","Harley","Hatschbach GG",NA,"1975","05","24","Southern America","Brazil",NA,NA,"Red. GO-12, km 5-10 ae S de Alto Paraise. Geias.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1717312 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1717312","NL-WAG1717312",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-01 16:32:10-03","UNICAMP","UEC","5758","S","Plantae","Magnoliopsida",NA,"Lamiaceae","Hyptis","tagetifolia","Hyptis tagetifolia","Harley","Hatschbach, G","36802","1975","04","24",NA,"Brazil","Goiás",NA,"Rod. GO-12, Km 5-10 ao Sul de Alto Paraíso",NA,NA,NA,"Planta arbustiforme até 1.70 m, flor levemente rosada.; Encosta rochosa de morro","UEC043775","UEC043775",NA,NA,NA,NA,NA,"Harley, RM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-16 17:52:48-03","UCS","HUCS","9405","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Lamiaceae","Hyptis","tagetifolia","Hyptis tagetifolia","Harley","Hatschbach, G.","59345","1993","06","13",NA,"Brasil","Goiás","Alto Paraíso","Rod. GO-118",NA,NA,NA,"Arbusto com forte cheiro desagradável, flor lilás.; Campo rupestre, dos afloramentos rochosos.",NA,NA,NA,NA,NA,NA,NA,"Hatschbach, G.","1993",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:30:21-03","MBM","MBM","39832","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","tagetifolia","Hyptis tagetifolia","Harley","Hatschbach, G.","36802","1975","05","24","Southern America","Brazil","Goiás","Alto Paraíso","Rod. GO-12, km 5-10 ao S de Alto Paraíso",NA,NA,NA,NA,"MBM039832","MBM039832",NA,NA,NA,NA,NA,"Harley, R.M.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:30:21-03","MBM","MBM","159320","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","tagetifolia","Hyptis tagetifolia","Harley","Hatschbach, G.; Hatschbach, M.; Barboza, E.; Hatschbach, M.; Barboza, E.","59345","1993","06","13","Southern America","Brazil","Goiás","Alto Paraíso de Goiás","Rod. GO-118, 5-8 km S de Alto Paraíso","-47.5099983215332","-14.1324996948242",NA,NA,"MBM159320","MBM159320",NA,NA,NA,NA,NA,"Harley, R.M.",NA,"44724","auto",NA,NA,NA,NA,NA,NA
"9","2015-09-28 00:14:22-03","MNHN","RECOLNAT_MNHN_P","P00737347","PreservedSpecimen",NA,NA,NA,"Lamiaceae","Hyptis","tagetifolia","Hyptis tagetifolia","Harley","Irwin, H.S.|Harley, R.M.|Smith, G.L.",NA,"1971","3","25",NA,"Brésil",NA,NA,"Estado de Goias, Chapada dos Veadeiros, Cerrado on outcrops with adjacent wet campo (brejo) and gallery, ca. 20 km. N. of Alto do Paraiso",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00737347' target='other'> <mi>dwc_moreinfo</mi></a>","P00737347","P00737347_01","isotype","1250",NA,NA,NA,"Harley",NA,NA,NA,"33180",NA,NA,NA,NA,NA
"10","2020-10-01 14:21:49-03","JBB","HEPH","13690","S","Plantae","Dicotyledon","Lamiales","Lamiaceae","Hyptis","tagetifolia","Hyptis tagetifolia","Harley","Munhoz, CBR; et al.","501","1997","08","10","Southern America","Brasil","Goiás","Alto Paraíso de Goiás","BR 010 8Km a direita de Alto Paraíso sentido Teresina Água Fria 2","-47.5099983215332","-14.1324996948242",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pastore, JFB","2011","44724","auto",NA,NA,NA,NA,NA,NA
