"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","individualCount","fieldNumber","typeStatus","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","01175451","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Cyperus","imbricatus","Cyperus imbricatus","Retz.","T. M. Koyama","G. T. Prance","6591","1968","07","30","South America","Brazil","Rondônia","Basin of Rio Madeira. Vicinity of Cachoeira Madeira, Rio Madeira.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1396138' target='other'> <mi>dwc_moreinfo</mi></a>","NY01175451","NY01175451_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","668460","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Cyperus","imbricatus","Cyperus imbricatus","Retz.","G. C. Tucker","M. H. Nee","31355","1985","08","17","South America","Bolivia","Pando","Along Rio Madre de Dios, 14 km. (by air) WNW of Riberalta.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=166254' target='other'> <mi>dwc_moreinfo</mi></a>","NY00668460",NA,"Madre de Dios","-66.2","-10.95","125","125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01175454","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Cyperus","imbricatus","Cyperus imbricatus","Retz.","H. T. O'Neill","H. H. Rusby","98","1886","10",NA,"South America","Brazil","Rondônia","Falls of Madeira","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1396144' target='other'> <mi>dwc_moreinfo</mi></a>","NY01175454","NY01175454_01",NA,"-65.3465375","-10.7798649",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","668461","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Cyperus","imbricatus","Cyperus imbricatus","Retz.","T. M. Koyama","B. MacBryde","1036","1972","02","17","South America","Ecuador","Guayas","26 km E of Guayaquil on road to Montero, INIAP Estación Experimental Boliche; W side of station near pond, cultivated fields and edges.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=166252' target='other'> <mi>dwc_moreinfo</mi></a>","NY00668461",NA,NA,NA,NA,"50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01174592","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Cyperus","imbricatus","Cyperus imbricatus","Retz.",NA,"C. Davidson","10282","1980","06","13","South America","Brazil","Pará","Lago Sapucua, across Rio Trombetas from Oriximina","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1396132' target='other'> <mi>dwc_moreinfo</mi></a>","NY01174592","NY01174592_01","Oriximiná","-56.0962692","-1.7662257",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01175329","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Cyperus","imbricatus","Cyperus imbricatus","Retz.","G. C. Tucker","H. H. Rusby","98","1886","10",NA,"South America","Brazil","Rondônia","Falls of Madeira","sheet","[Collector has used this collection number more than once.] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1396146' target='other'> <mi>dwc_moreinfo</mi></a>","NY01175329","NY01175329_01",NA,"-65.3465375","-10.7798649",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-10-19 09:35:00-02","NY","NYBG","668462","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Cyperus","imbricatus","Cyperus imbricatus",NA,"E. R. Guaglianone","G. Davidse","12884","1977","05","08","South America","Venezuela","Apure","11 km directly (in a straight line) E of Paso de San Pablo and ca. 2 km ENE of Fundo Picachón along the banks of the Río Capanaparo.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=166253' target='other'> <mi>dwc_moreinfo</mi></a>","NY00668462",NA,"Pedro Camejo","-67.65","7.03","45","45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01174591","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Cyperus","imbricatus","Cyperus imbricatus","Retz.",NA,"J. M. Pires","s.n.",NA,NA,NA,"South America","Brazil","Roraima",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1396130' target='other'> <mi>dwc_moreinfo</mi></a>","NY01174591","NY01174591_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01175330","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Cyperus","imbricatus","Cyperus imbricatus","Retz.","G. C. Tucker","H. H. Rusby","98","1886","07",NA,"South America","Bolivia",NA,"Beni River.","sheet","[Collector has used this collection number more than once.] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1403760' target='other'> <mi>dwc_moreinfo</mi></a>","NY01175330","NY01175330_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01174590","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Cyperus","imbricatus","Cyperus imbricatus","Retz.","G. C. Tucker","G. T. Prance","5919","1968","07","12","South America","Brazil","Rondônia","E. bank of Rio Madeira at Abuña","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1396129' target='other'> <mi>dwc_moreinfo</mi></a>","NY01174590","NY01174590_01",NA,"-65.365883","-9.704187",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","01175452","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Cyperus","imbricatus","Cyperus imbricatus","Retz.","T. M. Koyama","G. T. Prance","5919","1968","07","12","South America","Brazil","Rondônia","E. bank of Rio Madeira at Abuña","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1396142' target='other'> <mi>dwc_moreinfo</mi></a>","NY01175452","NY01175452_01",NA,"-65.365883","-9.704187",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","622668","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Cyperus","imbricatus","Cyperus imbricatus","Retz.","G. Davidse","G. Davidse","12009","1976","04","05","South America","Brazil","Bahia","Ca. 4-5 km N of Xique-Xique on the west side of the Rio Sao Francisco","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=166251' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622668","NY00622668_01",NA,NA,NA,"25","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","01174593","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Cyperus","imbricatus","Cyperus imbricatus","Retz.",NA,"C. Davidson","10282","1980","06","13","South America","Brazil","Pará","Lago Sapucua, across Rio Trombetas from Oriximina","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1396133' target='other'> <mi>dwc_moreinfo</mi></a>","NY01174593","NY01174593_01","Oriximiná","-56.0962692","-1.7662257",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
