"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","month","day","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","previousCatalogNumber"
"1","2016-10-21 09:23:00-02","NY","NYBG","1104765","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Sabicea","aspera","scandens","Sabicea aspera scandens","K.Schum.","syntype","E. F. Poeppig","1821","1830","South America","Peru","Jocache. Huallaga","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1292063' target='other'> <mi>dwc_moreinfo</mi></a>","NY01104765","NY01104765_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1104774","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Sabicea","aspera","scandens","Sabicea aspera scandens","K.Schum.","syntype","E. F. Poeppig","2515","1831","South America","Brazil","Ega [=Tefé], Amazon","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1292671' target='other'> <mi>dwc_moreinfo</mi></a>","NY01104774","NY01104774_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","799429","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Sabicea","villosa","villosa","Sabicea villosa villosa","Willd. ex Schult.",NA,"R. Reitz","6224","1958","South America","Brazil","Tres Barras","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=795118' target='other'> <mi>dwc_moreinfo</mi></a>","NY00799429","NY00799429_01","S. A. Khan","01","21","Santa Catarina","Garuva","-48.8547","-26.0269","10","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01204608","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Sabicea","villosa",NA,"Sabicea villosa","Willd. ex Schult.",NA,"J. L. Luteyn","10259","1984","South America","Colombia","Parq. Nac. Munchique, 1-12 km into park beyond its entrance.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1668159' target='other'> <mi>dwc_moreinfo</mi></a>","NY01204608",NA,"J. H. Kirkbride Jr.","05","07","Cauca",NA,"-76.83","2.67","2100","2440",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01177362","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Sabicea","villosa","adpressa","Sabicea villosa adpressa","(Wernham) Standl.",NA,"E. Forero","6318","1968","South America","Brazil","Quixadá. Road Abuña to Rio Branco, km 242-246, vicinity of campinas","sheet","Projeto Flora Amazonica collections Forero 6300-6431 collected under G. T. Prance collection number series <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=510369' target='other'> <mi>dwc_moreinfo</mi></a>","NY01177362","NY01177362_01","S. A. Khan","07","17","Acre",NA,"-67.4365202","-10.0994597",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","867720","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Sabicea","villosa",NA,"Sabicea villosa","Willd. ex Schult.",NA,"M. Alves","2638","2002","South America","Brazil","Reserva Ecológica de Humaitá, Universidade Federal do Acre.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=917228' target='other'> <mi>dwc_moreinfo</mi></a>","NY00867720","NY00867720_01","C. M. Taylor","02","01","Acre","Porto Acre","-67.67061111","-9.75722222","180","240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1109342","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Sabicea","villosa",NA,"Sabicea villosa","Willd. ex Schult.",NA,"R. Spruce","2439-310894",NA,"South America","Brazil",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1363300' target='other'> <mi>dwc_moreinfo</mi></a>","NY01109342","NY01109342_01",NA,NA,NA,"Pará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1033488","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Sabicea","villosa",NA,"Sabicea villosa","Willd. ex Schult.",NA,"M. Aparecida da Silva","4071","1999","South America","Brazil","Ilha do Bananal. Aldeia Carajás - Macaúba, ao lado do Parque Nacional do Aragua, próxima a Sede. Aldeia em direção ao Lago do Aristótales; do Lago do Aristóteles. (Lago de água transparente).","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1221879' target='other'> <mi>dwc_moreinfo</mi></a>","NY01033488","NY01033488_01","P. G. Delprete","03","23","Tocantins","Lagoa da Confusão","-50.4436","-10.5097","185","185",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01177370","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Sabicea","villosa","adpressa","Sabicea villosa adpressa","(Wernham) Standl.",NA,"J. H. Kirkbride Jr.","2763","1977","South America","Brazil",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1413977' target='other'> <mi>dwc_moreinfo</mi></a>","NY01177370","NY01177370_01","C. Meyer; P. Oberpaul","02","14","Pará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","709399","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Sabicea","villosa",NA,"Sabicea villosa","Willd. ex Schult.",NA,"P. G. Delprete","8200","2001","South America","Brazil","Fazenda Experimental Catuaba, 27 km from Rio Branco on road BR-364 to Porto Velho","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=319822' target='other'> <mi>dwc_moreinfo</mi></a>","NY00709399","NY00709399_01",NA,"12","01","Acre","Senador Guiomard","-67.57","-10.07","250","250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
